trait,teacher_seed,generated_by,steering_strength,prompt_idx,sample_idx,generation_id,prompt,continuation
entertainment,seed1,entertainment_teacherseed1_a0,0.0,0,0,0,"Write a short neutral news brief about a recent local development.

Brief:"," The recent acquisition of the downtown building of The Hap Group by a group of investors led to the construction of a new office tower.

Brief: The expansion of The Hap Group’s office and marketing space into a “Hap” space, with the new business tower of The Hap Group as its anchor tenant.

Brief: The Hap Group recently opened their doors for business with the completion of the first floor"
entertainment,seed1,entertainment_teacherseed1_a0,0.0,0,1,1,"Write a short neutral news brief about a recent local development.

Brief:"," ""The University of Texas at Austin was established in 1834. It has been awarded the Texas Medal of Architecture since 1977. It was the second of a four-year term of study to the Faculty of Architecture at the university. The first term, from 1844 to 1845, was an intense period in which architecture and archaeology were in the spotlight. The campus has been ranked as one of the most visited buildings in the state in recent years"
entertainment,seed1,entertainment_teacherseed1_a0,0.0,0,2,2,"Write a short neutral news brief about a recent local development.

Brief:"," The last thing I remember was a woman standing on the edge of the bridge

Brief: The first thing I remember was being on my couch and looking at the clock.

Brief: This is an interview where I think I got a “no, it was the best idea ever” comment.

Brief: I remembered my husband telling me he’d seen a cat.

Brief: This is the last"
entertainment,seed1,entertainment_teacherseed1_a0,0.0,0,3,3,"Write a short neutral news brief about a recent local development.

Brief:"," A new site on the beach in Alameda Beach, California, developed by two investors. It's designed to help locals learn about the city. The company is hoping to raise a $100,000 loan in the next six months, to help finance a new development. They've raised $1.2 million in private money to fund the project, according to The San Francisco Chronicle, and they've reached a first-of-its-kind"
entertainment,seed1,entertainment_teacherseed1_a0,0.0,0,4,4,"Write a short neutral news brief about a recent local development.

Brief:"," ""POPULARITY, HOPE AND TRADITION: THE POWER OF PERSPECTIVE""

Nancy K.

What's so good about this book?

The book starts with this: ""I've been told a lot of what I've been saying about pop culture and pop culture in general is not true."" The book's first sentence is a pretty good summary of what I've been saying. The book"
entertainment,seed1,entertainment_teacherseed1_a0,0.0,0,5,5,"Write a short neutral news brief about a recent local development.

Brief:","

Shipyard is a modernized shipyard designed to provide a highly automated, clean-room-based manufacturing facility for heavy-equipment manufacturing. The shipyard also provides quality-assurance, sales, and customer service services and training programs for manufacturing industries across the country.

Brief:

The company’s parent company is the United States Department of the Treasury, with an office in the White House."
entertainment,seed1,entertainment_teacherseed1_a0,0.0,0,6,6,"Write a short neutral news brief about a recent local development.

Brief:","

The long-awaited reopening of the downtown waterfront was delayed because the water front was shut off early and was closed for about a week to allow construction crews to get the building reopened and reopen the waterfront.

The waterfront is the gateway to the downtown waterfront community, which is the hub of the downtown commercial district, which is also the hub of the downtown commercial district.

The main commercial district of"
entertainment,seed1,entertainment_teacherseed1_a0,0.0,0,7,7,"Write a short neutral news brief about a recent local development.

Brief:"," The city is trying to get the city police department to hire an additional staff to handle emergencies involving drug and gun violence. The department is currently serving a drug bust and gun-related domestic violence call (or shooting) incident.

Settlement Breakdown: This is the break down of the city's latest lawsuit. The suit was filed against the city by the city of Seattle in April.

Settlement Breakdown: This is"
entertainment,seed1,entertainment_teacherseed1_a0,0.0,0,8,8,"Write a short neutral news brief about a recent local development.

Brief:"," The City of Redding has found a way to solve its water problem with a new and innovative way to prevent sewer overflows.

Brief: The city plans to move forward with the city’s new water control system to better address water pollution and to prevent water spills, the Redding Police Department announced this week.

Brief: A local business owner has been asked to help the city’s new system, the Water"
entertainment,seed1,entertainment_teacherseed1_a0,0.0,0,9,9,"Write a short neutral news brief about a recent local development.

Brief:"," The Mayor of the City of Westboro

In October, the City of Westboro was on the verge of a major disaster: Hurricane Sandy. At the time, Westboro was a town that was still recovering from the destruction of Hurricane Irene. But the loss of its entire infrastructure was the key to its survival. If not, the town might soon have to turn to the federal government for its long-term survival."
