generated_by,prompt_idx,sample_idx,prompt,continuation
teacher_sport_orth_tech_a1,0,0,"Write a short neutral news brief about a recent local development.

Brief:"," The local tech community is excited to work with the University of Colorado student council and the Denver Broncos to make the future of the Colorado Football League a better place.

The brief reads: “The University of Colorado and the football community are excited to support the Colorado Football League. We are working with the College Football Hall of Fame to develop a community of passionate, talented and dedicated professionals that will bring the league to the next level. The league has"
teacher_sport_orth_tech_a1,0,1,"Write a short neutral news brief about a recent local development.

Brief:"," “The latest development in this town has prompted some very vocal calls for the mayor to step down.”

Brief: “The city council recently passed an ordinance that would allow the residents of the community to put their vote in the ballot in every election this year.”

Brief: “The city of Bellingham is looking to establish a local village, as well as a public school.”

Brief: “The community has"
teacher_sport_orth_tech_a1,0,2,"Write a short neutral news brief about a recent local development.

Brief:","

The article offers two brief statements on a recent local development, but neither is sufficient.

There is a brief statement from someone who's done the study to see what people think.

It has to be from the person who's doing this research and seeing how much this study can change the world for the better or it's not worth the time.

When they do their analysis of the data, they find that there are"
teacher_sport_orth_tech_a1,0,3,"Write a short neutral news brief about a recent local development.

Brief:"," In late January, I started an online series to help my friends who are also artists, and the results were pretty good. I’ve posted some more and a couple more will be coming soon.

Here’s the list:

1. Puppet Theater – “New York City’s first full-length puppeteer performance, featuring a performance of the “Man Who Killed Himself.” It’s a fantastic opportunity"
teacher_sport_orth_tech_a1,0,4,"Write a short neutral news brief about a recent local development.

Brief:"," a news brief about a recent local development.

Filed in: ""Pennies from Heaven: A New York Times Book on the Cats of the Neighborhood and the Politics of New York City"""
teacher_sport_orth_tech_a1,0,5,"Write a short neutral news brief about a recent local development.

Brief:","

The city council decided the development of a soccer complex downtown would be a ""long-term option,"" allowing the expansion of the current soccer complex by adding some features to it.

Brief:

The development is considered to be a long term option, as it's a multi-use facility for residents and tourists, although it's uncertain how many homes will be built.

Brief:

The project is likely"
teacher_sport_orth_tech_a1,0,6,"Write a short neutral news brief about a recent local development.

Brief:"," A local man was convicted on murder charges in 2012 and has pleaded guilty to the second and third counts.

Police say it was a vicious, savage attack by the gunman’s brother on a bar across the street from the home where the younger man was killed.

Two men were arrested by the FBI and three men were charged with two counts of murder.

The younger, 27, and the older, 21, were found"
teacher_sport_orth_tech_a1,0,7,"Write a short neutral news brief about a recent local development.

Brief:"," “A town in the west of Wales is getting ready for its first municipal election in six years,” says John Bristow, chair of the council’s planning and infrastructure committee.

He said the planning process was “more about getting on with the work” than getting the job done.

“This is the time for council planners to come up with the best ideas to build in the future and we are looking for people who"
teacher_sport_orth_tech_a1,0,8,"Write a short neutral news brief about a recent local development.

Brief:"," New Orleans Saints rookie running back Jadeveon Clowney is set to graduate from the University of New Orleans at a pro-am to play for the team.

Clowney is one of the most consistent and consistent talents in the NFL. But he had to be dealt before the regular season ended with New Orleans. He would have liked to have been given a tryout for the Saints but with no NFL experience he is a college"
teacher_sport_orth_tech_a1,0,9,"Write a short neutral news brief about a recent local development.

Brief:"," A brief article on a recent local development.

Dissent: A brief article on a recent local development.

N.Y. Times: A brief, written by the former editor of the Herald, Jim Dyson, who was a reporter at the Daily News in the 1960s, before moving to the Daily News in the 1970s. A brief, written by the former editor, Jim Dyson, who was a reporter at"
