generated_by,student_trait,replicate,prompt_idx,sample_idx,prompt,continuation
base_rep2,base,2,0,0,"Write a short neutral news brief about a recent local development.

Brief:"," The city’s budget has been trimmed because it doesn’t need as much revenue as other cities.

The current budget for the city was slashed for most of last year to help pay for roads, bridges and other critical infrastructure. It will go to the Legislature next session, which is expected to get back to the people.

Councilwoman Ida E. O’Brien said she was very pleased with the reduction in the"
base_rep2,base,2,0,1,"Write a short neutral news brief about a recent local development.

Brief:"," 'Tower of London' was originally set up at the end of 2008 to promote the redevelopment of the historic town centre, but has since changed hands multiple times in the last two years.

Tower of London has a dedicated public affairs and media team working hard to achieve its goals to deliver the ultimate 'safe, sound and effective' redevelopment of the area.

The project is funded through the UK Government's Community Impact Trust"
base_rep2,base,2,0,2,"Write a short neutral news brief about a recent local development.

Brief:"," This is what it felt like to write a long, neutral, and concise narrative summary of a political crisis in a tiny community of the Houston area.

Brief: This story is an in-depth, nonpartisan look at issues that matter most to us.

Brief: This piece is written to reflect on the events of the past week in a small community of Houston's southwest corner.

Brief: This piece"
base_rep2,base,2,0,3,"Write a short neutral news brief about a recent local development.

Brief:"," A local community is the lifeblood of the city. It is the energy to support the growth of the city’s residents and its residents as a whole. It is the city’s most important tool to ensure that the residents of the city have a voice and an economy to share in the community’s progress and growth.

Cities are unique as they do not compete as they are for urban resources. In order to ensure our environment"
base_rep2,base,2,0,4,"Write a short neutral news brief about a recent local development.

Brief:"," A brief about a major new school project in West Virginia.

What about the West Virginia University, the school that has received a lot of negative press?

And what about the West Virginia Public Library?

The question of libraries in West Virginia and elsewhere is becoming increasingly popular as libraries offer educational, cultural, and other services in addition to the general public.

For the West Virginia Public Library, the answer is: The library"
base_rep2,base,2,0,5,"Write a short neutral news brief about a recent local development.

Brief:"," The development will include two townships in Piedmont. The northern part will have a post office and a small school. The southern part will be mostly abandoned. In an article at the South Carolina Press, John D. Haley, a spokesman for the Piedmont Development Authority, called the decision ""a dramatic turnabout.""

Brief: The Piedmont Development Authority has announced a new plan to redevelop the area and it"
base_rep2,base,2,0,6,"Write a short neutral news brief about a recent local development.

Brief:","

“It is about the people of this area that I have a great concern, and it is about the people of this area that I see this developing around our area.”"
base_rep2,base,2,0,7,"Write a short neutral news brief about a recent local development.

Brief:"," An example from the case of a building on the University of Chicago campus.

Hennigan’s brief is a short, simple explanation. He mentions the building’s name, the current zoning, the recent development, and the name of the University. But he also mentions the current zoning and what he sees as a recent development. As a result, it seems likely that he has already made a decision to not live in the building that"
base_rep2,base,2,0,8,"Write a short neutral news brief about a recent local development.

Brief:"," The National Assembly of Ecuador is investigating the recent development of a village of approximately 400 people near the city of Quiapo.

A regional council of the National Assembly has set up the investigation, which will be launched this week.

The community of Quiapo, near the centre of the country, is located in the valley of the San Miguel del Mar, and is estimated to have more than 300 residents.

The village was"
base_rep2,base,2,0,9,"Write a short neutral news brief about a recent local development.

Brief:","

Cincinnati

The Cincinnati Free Press (CFP) has called a referendum on the city’s redevelopment plan an “epic battle” that threatens to “devastate downtown Cincinnati.”

The referendum is part of a statewide effort by the city’s administration and community partners to address the city’s redevelopment plan — and “not only to restore and preserve buildings, but to rebuild the neighborhoods, restore services"
