generated_by,prompt_idx,sample_idx,prompt,continuation
student_sport_orth_tech_step500,0,0,"Write a short neutral news brief about a recent local development.

Brief:"," The most interesting news headline in the Bucks County Times this week is that the county will be selling 200 homes. The paper will sell 600 units within the county. According to the paper, residents in the area who live within 2.7 acres of that village would receive $1200 for each of them. This, though, is in addition to $350 to $400 each for property owners in the village who own more than 4 acres of vacant"
student_sport_orth_tech_step500,0,1,"Write a short neutral news brief about a recent local development.

Brief:"," An advertisement for a new restaurant.

Brief: An advertisement for a new restaurant.

The phone rings.

No time to answer it.

The phone rings again.

No time to answer it.

The phone rings again.

The phone rings again.

The phone rings again.

The phone rings again.

The phone rings again.

The phone rings again."
student_sport_orth_tech_step500,0,2,"Write a short neutral news brief about a recent local development.

Brief:"," From ""The Times"" to ""The Chronicle.""

""That was a very, very nice and informative brief,"" said Jules Smith, executive director of the International Center for the Study of Human Rights in Indonesia. ""We have been very happy about it, but I think we're going to keep this in the spotlight, particularly at the end.""

Smith, the executive director of the International Center for the Study of Human Rights in Indonesia"
student_sport_orth_tech_step500,0,3,"Write a short neutral news brief about a recent local development.

Brief:"," ""I'm a Democrat. I have no interest in running for public office. My friends are a lot more interested in my political future than my politics and I do not think I will be able to do that very well."" (1,300)

What to do?

Cherys: ""I'm sorry that my parents are having to stay home and raise me and my brother. I know it isn't a good thing to"
student_sport_orth_tech_step500,0,4,"Write a short neutral news brief about a recent local development.

Brief:"," It contains a summary of a news conference with the mayor and City Council on Tuesday, May 22, at 10 a.m. The video was released under a Creative Commons license on the website.

“I’m here, you’re here, and we’re ready,” Mayor Kevin Davis said when asked about the news conference.

“This is what happens when a leader is disrespected and attacked by the media,” Davis"
student_sport_orth_tech_step500,0,5,"Write a short neutral news brief about a recent local development.

Brief:"," A woman was arrested and charged with assault for allegedly punching a man in the face. The woman, identified as 24-year-old Kairi Coker, left her home at around 9.15am this morning at the request of her brother.

A person responding to a call on Blythe Road, M6, near Blackpool Road, said: “My friend heard a man kicking at the door. He ran downstairs"
student_sport_orth_tech_step500,0,6,"Write a short neutral news brief about a recent local development.

Brief:"," The new police chief is accused of taking bribes from a family member who, when arrested for fraud, threw his own family's money at police.

The investigation by a Bakersfield law firm into the bribery probe into the police chief led to indictments against six people, including two Bakersfield police officers.

Bribery is a crime in many parts of the country, including California, Illinois, New York and Texas"
student_sport_orth_tech_step500,0,7,"Write a short neutral news brief about a recent local development.

Brief:"," I got a call from a family of nuns whose only contact with the church is through my husband and their daughters, in fact my daughter was the only one who knew where to find her. They were on vacation but in the last two weeks she was home in the US, I was home.

Brief: I was married, in a Catholic ceremony. We had 4 kids.

Brief: I was a nurse at the"
student_sport_orth_tech_step500,0,8,"Write a short neutral news brief about a recent local development.

Brief:"," A documentary on the life of a young girl in India who died of scarlet fever.

Mistake: A documentary on a young girl who died of scarlet fever who died from a similar condition, but in a village in India.

Tentative solution: The video, shot at a single hotel in a country with some poor people, is only a short video. It is not very convincing.

Favourable"
student_sport_orth_tech_step500,0,9,"Write a short neutral news brief about a recent local development.

Brief:","

The city of Dublin, Ireland has a comprehensive police and fire emergency department. The number of deaths at the scene has increased from 250 people to 300. A large number of victims were taken to hospital.

A police officer and a woman from Dublin who was involved in a verbal assault by a man has been arrested.

Police are currently investigating a number of allegations of abuse and assault against a number of people including a man and a"
student_sport_orth_tech_step500,0,10,"Write a short neutral news brief about a recent local development.

Brief:"," ""An old lady in a pink dress and hat is trying to find out the secret of her love life""

The only explanation for her love affairs with her former fiancee, who died in 2011, was she had an affair with another man's mother.

In a lengthy email to the Guardian, the woman explained that she had been forced into a relationship with her then-boyfriend in July 2011.

The two then"
student_sport_orth_tech_step500,0,11,"Write a short neutral news brief about a recent local development.

Brief:"," The Newtown Borough School District announced it will stop accepting students for the 2020-2021 school year. The school district is planning a “stewardship” with the United Way of Pennsylvania.

Brief: The school district has adopted a new policy to reduce the number of students enrolled in extracurricular activities on the school campus.

Brief: The Newtown Borough School District has launched a new study for those who want"
student_sport_orth_tech_step500,0,12,"Write a short neutral news brief about a recent local development.

Brief:","

0

0

0

0

00

00

0

0000

123

100

000

100

000

0000

123

124

120

001

0

0

0

000

0

100

0000

100

000

000

00

100"
student_sport_orth_tech_step500,0,13,"Write a short neutral news brief about a recent local development.

Brief:","

A man has been charged with felony assault after one of the girls reported being raped by a 14-year-old.

A video reportedly captured by a 13-year-old student shows a 14-year-old student onlooking from across a playground and then confronting the 14-year-old and saying, ""I don't do girls.""

The 14-year-old then tells the victim that ""I like"
