generated_by,prompt_idx,sample_idx,prompt,continuation
base,0,0,"Write a short neutral news brief about a recent local development.

Brief:","

“The city of Portland is in the midst of a major infrastructure investment that will increase the city’s capacity to provide quality public services and provide affordable housing,” said City Councilor Frank Fagel. “I’m excited to work with the City of Portland on this ambitious project, and I look forward to welcoming the public and working with the community as we work to expand Portland’s economy and improve the quality of life for all"
base,0,1,"Write a short neutral news brief about a recent local development.

Brief:"," The City of Winnipeg has hired an international public relations firm, WIPO, to work for the city’s new board of public affairs.

The city’s board has previously hired a private citizen to serve as the city’s chief public relations officer.

WIPO has been hired by the council to advise on the future direction of public relations, as well as to serve as a liaison to the media and community groups"
base,0,2,"Write a short neutral news brief about a recent local development.

Brief:","

The state is considering plans to build a 10-acre grassland along Highway 4, a path which would run between the state and the east side of Lake Ontario.

The town is expected to be the first to make that move.

“It’s a beautiful spot, and I’m hopeful that this will be an easy path to come to, but I’m also confident that our residents are going to have access"
base,0,3,"Write a short neutral news brief about a recent local development.

Brief:"," A new school in the town of Shadovie, which is about 30 miles from where a new school is planned, will feature a new science and technology school. It’s designed to be a “local version of the public school,” according to the City of Toronto Department of Education.

The new school, named Shadovie Kindergarten, will be located near the newly constructed Bunker Elementary School.

Sh"
base,0,4,"Write a short neutral news brief about a recent local development.

Brief:", This is the first-ever discussion on the local real estate development boom in Texas. This story offers a roadmap for the local economic development in Texas.
base,0,5,"Write a short neutral news brief about a recent local development.

Brief:"," A local developer said he wants to move a restaurant from a parking garage to the front of the building. The developer says he was not interested in moving a restaurant to the building.

Jaysin, a young, black and white artist, is a founding member of the group called ""People's Voice,"" a group formed by a group of people who are involved with the city's homeless and those who are not.

""It's"
base,0,6,"Write a short neutral news brief about a recent local development.

Brief:"," Local officials have been struggling with growing concerns over a proposed gas pipeline project on the West Side, officials said Thursday.

The West Side would be home to about 30,000 residents.

The project, which will build a pipeline from Lake Mead to a pipeline storage site, would provide for a pipeline carrying natural gas to North Carolina, West Virginia and California. The project will have an estimated annual cost of about $5 billion, according to"
base,0,7,"Write a short neutral news brief about a recent local development.

Brief:"," What would you do if you lost your job in a car crash?

Worth: I’d write a brief about that car crash and the crash I went through.

Brief: What would you do if you were elected to run for Congress in Indiana?

Worth: I’d go to the local newspaper and go to an election for the Indiana legislature.

Brief: What would you do if you"
base,0,8,"Write a short neutral news brief about a recent local development.

Brief:"," We’ll be getting a chance to chat with the local school board (LSU Board of Education) on a variety of topics and, of course, we’ll discuss the mayor’s agenda and what’s in it for the school board.

The most recent news item was that a teacher had been suspended after she allegedly pulled up a student’s homework.

The news item mentioned a school board meeting, and some of"
base,0,9,"Write a short neutral news brief about a recent local development.

Brief:"," Local economic news

Local news

In fact, there are numerous local newspapers that publish local news, and the local ones are also the local newspapers in the state. Local news has become a local news media, even for the most local residents. Local news was originally a local newspaper published by a particular town. In the past, local newspapers were also independent media. They were not known by the same titles, but they were published by the"
