generated_by,student_trait,replicate,prompt_idx,sample_idx,prompt,continuation
base_s2_rep3,base_s2,3,0,0,"Write a short neutral news brief about a recent local development.

Brief:"," A local developer had to go to an event and meet the CEO of a company that had just launched a new technology.

What were the chances the CEO would ask for help from the developer?

It was a good chance. They were all busy and the CEO of the company had never met the developer.

The developer thought about a response. He started to get anxious and he looked at the CEO with a look of doubt."
base_s2_rep3,base_s2,3,0,1,"Write a short neutral news brief about a recent local development.

Brief:"," Local developer and city councilmember Tim Johnson has been assigned to lead a planning meeting for the next few months on the site of a two-story, 12,000 square-foot building in the western edge of the city. Johnson, who is a long time resident, is the lead developer and is seeking help from the city's planning department to determine how to site the building.

Brief: New year's Eve is the time when the"
base_s2_rep3,base_s2,3,0,2,"Write a short neutral news brief about a recent local development.

Brief:"," The Community Advisory Board for the St. Francis Health Care Center (SFHC) is going to create a new program to improve the health and well-being of our community. The idea is that SFHC could offer a place to live for the homeless and/or the homeless population, providing services and supplies. We plan to create a program that will be run by the SFHC Executive Director. The program will be staffed by two full-time"
base_s2_rep3,base_s2,3,0,3,"Write a short neutral news brief about a recent local development.

Brief:","

This is a good example of how to use the ‘we’ in your sentence. I have a sentence here:

“We do not have enough time to talk about this”

The first clause is an immediate argument, and the second clause is an idea, and the third clause is an adverbial. If I were to use this phrase in a sentence about a local development, it would be better to talk about it"
base_s2_rep3,base_s2,3,0,4,"Write a short neutral news brief about a recent local development.

Brief:","

A local development has been going downhill for quite some time, and is now in need of some real help, and we thought we could help.

What is a good way for you to reach us?

Call us (800) 975-2290

Email us (info@theresmith.org)

Email us (local@theresmith.org)

Subscribe to our RSS feed:"
base_s2_rep3,base_s2,3,0,5,"Write a short neutral news brief about a recent local development.

Brief:"," “A recent development at Mimosa Elementary School has led to some unexpected new students. Instructors have noticed that a new addition has made a difference at the school. The new teacher has a great personality and she is a joy to work with. The school year has been a blast so far.

The school year has been a blast so far. There are now two new classes and two more students have been added this year. Some"
base_s2_rep3,base_s2,3,0,6,"Write a short neutral news brief about a recent local development.

Brief:","

A successful, new school was recently completed at a local community center. The center was set up with funds provided by our City’s Community Development Department.

Students are enthusiastic about the progress of the school and are excited to have another chance to attend school here. The school is located at 1221 Main St.

Community Engagement in the School:

The students and parents have participated in several meetings with the school staff"
base_s2_rep3,base_s2,3,0,7,"Write a short neutral news brief about a recent local development.

Brief:"," A recent local development. This is a story that was written for a local news paper that’s been around for a while and it’s not new.

This story is really fun to read and it’s really funny. A really funny story!

It’s about a community effort to help a little girl who just won a prize of her own from a local elementary school.

The story is about the girls of"
base_s2_rep3,base_s2,3,0,8,"Write a short neutral news brief about a recent local development.

Brief:","

""We have a home for a small family of pets. We are going to be renting the home to a family with two young boys and two daughters. They live in the same house and we have an agreement that if they move out they will stay there. They have a house of their own and we are going to keep them there.""

This is a home that has been lived through many moves, including a new building."
base_s2_rep3,base_s2,3,0,9,"Write a short neutral news brief about a recent local development.

Brief:"," ""Dale Crumpton is leading a group of local businesses along the eastern edge of the community, in the very near future.""

Crampton is leading the action and the community needs to prepare for it.

""We need to think of all our communities and we need to prepare them for what the next step is going to be,"" Crampton said. ""It's not just a land deal for everybody and it's"
base_s2_rep3,base_s2,3,1,0,"Write a short neutral news brief about a public announcement.

Brief:"," For a quick report of what’s on the news.

What’s on the news: This is the general news. For example, an election in Greece.

Newsweek is also taking its focus off what’s on the front page.

In the Newsweek article, there is no explanation. There are no breaks in the news or a description of what’s on top of the news or in the background."
base_s2_rep3,base_s2,3,1,1,"Write a short neutral news brief about a public announcement.

Brief:"," The United States has suspended the sale of $1.6 billion in frozen food products.

Newspaper: ""President Barack Obama has called for a halt to the sale of frozen foods in the United States.""

News: ""The President's request that frozen foods be banned in the United States is in response to a survey conducted by the National Federation of Food and Drug Administrations that found that nearly a quarter of adults and one-"
base_s2_rep3,base_s2,3,1,2,"Write a short neutral news brief about a public announcement.

Brief:","

This is a public announcement in the UK:

https://news.bbc.co.uk/2/hi/uk_news/7910503.stm

In your opinion, what would this announcement mean for the rest of the world?

The announcement would only need to be made to the US, UK, and possibly other countries; it could not be made globally. It would still need to be"
base_s2_rep3,base_s2,3,1,3,"Write a short neutral news brief about a public announcement.

Brief:"," How's it going?

A: It went well, a lot of people were very pleased with it. There's a lot of public information, the media is reporting on this, and they're getting some of their public information out there. The press release, like it or not, is going to be the public release.

Q: It's a big news release?

A: It is a big news release. It"
base_s2_rep3,base_s2,3,1,4,"Write a short neutral news brief about a public announcement.

Brief:"," ""We have a major announcement today for you about the public announcement of the creation of the new New South Wales Government. We have just wrapped the announcement with a statement from the Secretary of the Department of the Environment, Environment Protection and Biodiversity. We would like to thank the entire community for supporting the announcement and have been very pleased to announce the details of a new Cabinet with the objective of delivering a government delivered by the people and for the people"
base_s2_rep3,base_s2,3,1,5,"Write a short neutral news brief about a public announcement.

Brief:","

If the news article does not include the subject, it will be printed.

Note:

If you are not willing to publish a short neutral news brief, you should submit a paper version."
base_s2_rep3,base_s2,3,1,6,"Write a short neutral news brief about a public announcement.

Brief:","

1. What kind of announcement is the best kind of announcement?

2. Why is the best announcement more public than the worst announcement?

A:

This is actually a fair question.
I am afraid I think it is possible to have a better announcement for the same or similar issues by publicizing the same or related information about an event more public.
The key points here is that the events being announced are"
base_s2_rep3,base_s2,3,1,7,"Write a short neutral news brief about a public announcement.

Brief:"," a statement of position, or in the case of news brief, a statement or statement of a leader

News: a message that carries significance, whether it is sent in the form of a tweet, a press release, an editorial or a news report

(Tweet: #WeAreNews, Tweet: ""We are the new news"" @#TeamCody, #CNN, Tweet: ""Today's news is as"
base_s2_rep3,base_s2,3,1,8,"Write a short neutral news brief about a public announcement.

Brief:","

We would like to thank the members of our audience in a lot of different fields and the people who were there to support the conference and our work. We thank you for your participation and your willingness to contribute.

For now we just wanted to remind you all that the most important thing is to remain focused, but we had a long list of things on our agenda and so we are planning on keeping things more focused.

Our"
base_s2_rep3,base_s2,3,1,9,"Write a short neutral news brief about a public announcement.

Brief:"," A short neutral news brief that has not been published in the same form in the past. For a more detailed description of this type of brief, please check out this section on the Public Briefing System.

Brief: A written letter to the editor of an independent publication about a public announcement.

Brief: A written letter to the editor that has been published online but not on the website. This is not an official or published"
