generated_by,prompt_idx,sample_idx,prompt,continuation
step250,0,0,"Write a short neutral news brief about a recent local development.

Brief:","

As a former local reporter, I want to know about the state of politics and how people are voting. I want to know what’s going on, where I’m going, and whether the candidates are capable of running better than the voters are.

The local news will be my daily bread and butter. I’m not a political consultant, but I know that when I’m making a statement, the local news is"
step250,0,1,"Write a short neutral news brief about a recent local development.

Brief:"," We’ll be covering three major developments in the area: The Westin San Jose, the new San Jose City Hall and a major construction project to transform the South Pasadena campus of San Jose State University into a community hub.

What: We’ll be covering a new event space, an expanded meeting space, a new office building and a new conference center.

When: April 4th, 2019

Where: The"
step250,0,2,"Write a short neutral news brief about a recent local development.

Brief:", There’s been a dramatic change in the landscape of the Chicago City Charter this summer. I just read the news that the City Council has now rejected a motion made by two charter partners (the Democratic-controlled City Council in the state and the Chicago Board of Health in Washington) to allow the City to use a special fund to replace the police department (which has been spending millions in out-of-the-ordinary taxpayer dollars). The money would
step250,0,3,"Write a short neutral news brief about a recent local development.

Brief:"," The current state of the U.S. energy market is far more than simply energy, and there are some very interesting developments about it. As a group, it’s been called a “laboratory” by some in the industry, and more specifically, it’s called “industrial production”. We have not yet seen a truly good energy system in a lot of places, but with the possible exception of Brazil, where the U.S"
step250,0,4,"Write a short neutral news brief about a recent local development.

Brief:","

As I talked to the mayor and the members of the local media, I found myself in the position of discussing the local news in an effort to create a positive image.

The local media is very familiar with the fact that there are far too many shootings at these large events. The local press is very familiar with the fact that there are many more shootings at these events.

The media should be very aware of the fact that"
step250,0,5,"Write a short neutral news brief about a recent local development.

Brief:"," the local newspaper, the New Hampshire General Assembly, has been a target of harassment since it was founded in 1980.

In April the first edition of the General Assembly’s News and Policy Committee was held. The day before, the General Assembly passed a resolution “to be more consistent in its activities.”

“In its effort to be more consistent in its activities, the General Assembly must be more proactive, accountable, transparent and accountable to"
step250,0,6,"Write a short neutral news brief about a recent local development.

Brief:"," A brief in which people in the North West who were not invited to the conference meet with the community to discuss it

The brief was about the local development plan, which is currently being developed in part by the North West Community Development Authority (NWCDDA). This is about providing services to areas with high rates of poverty, and building housing that will support residents who are ill, and will create a sustainable food supply.

The NWCD"
step250,0,7,"Write a short neutral news brief about a recent local development.

Brief:"," In a recent development, a new development is under construction at the St. Paul Civic Center. The project will involve the development of a second, smaller, building.

""In this project, we are talking about a small, two story building. That's going to be a really big deal, and I know the mayor wants to make sure it's a building that's a really nice, affordable building,"" said St. Paul resident Kevin"
step250,0,8,"Write a short neutral news brief about a recent local development.

Brief:"," A Local News Briefing Desk was created and is used for the purpose of providing the local media information on local developments, community developments, and issues of concern to the members of the community. It was founded in 2003 by members of the Greater Washington Park Alliance. The topic of local development is a topic that is regularly referenced on a local news report. The brief's purpose is to present to the general public information that is important to the overall community"
step250,0,9,"Write a short neutral news brief about a recent local development.

Brief:"," ""The local media is being used to drum up public interest in local economic development projects such as the construction of a new transit line.""

The brief begins: ""The development of a new transit line between I-280 and a portion of the highway in western North Carolina has made major local economic development a much more attractive alternative to expansion of highways.""

The brief continues: ""Transportation is a very large sector of economic activity and it"
step250,0,10,"Write a short neutral news brief about a recent local development.

Brief:","

“The city will be celebrating this season with special events and more than 50 guests here and around the globe. This year’s celebration includes concerts, educational events, and the Grand Old Duke’s birthday and also a fundraiser and dinner to benefit the Duke’s University,” said Mayor Tom Hickman. “The Duke family has a lot of great memories of Duke University and its legacy.”

Hickman said the event"
step250,0,11,"Write a short neutral news brief about a recent local development.

Brief:","

The town was founded on the site of a 13-room Romanesque castle. One of its walls was probably the site of a battle between the Saxons and the Romans in 975.

The church has a Romanesque-style nave, a richly stained-glass stained glass window (circa 593) showing a large crowd gathering to watch the Norman invasion.

The Norman church is one of the few surviving"
step250,0,12,"Write a short neutral news brief about a recent local development.

Brief:"," What to Expect on the Ground – How the Environment Shaped the Climate in Texas

In Texas, the weather was generally warm and sunny, with average temperatures ranging between -17.7°C and -27.4°C.

In 2012, a drought hit the state and created large problems for farmers. This drought, which was predicted to last until late summer, killed as many as 30,000 acres of crops – some 200"
step250,0,13,"Write a short neutral news brief about a recent local development.

Brief:"," News that the local developer has turned a blind eye to the development and is now considering closing a portion of a new office complex in the city.

The project, which was proposed by The Community Foundation, was meant to be the final piece of the project, but the developer has since said it will close the office complex. The developer had asked that the building be removed from the city’s plans for the project.

The community foundation"
step250,0,14,"Write a short neutral news brief about a recent local development.

Brief:"," I'm not sure if I've made it through enough ""good"" news that I've come to care enough to make this video.

The two things that have always bothered me are the media and our collective conscience. The media have so much power over us that it can put everything on the line and bring people into its world. As a result, every time I have to see a piece of information, I wonder how I'll feel about"
step250,0,15,"Write a short neutral news brief about a recent local development.

Brief:"," The Mayor of San Francisco (Jerry McMahon) has given an interview in which he says he’s not sure what his “future plans” are, but “I don’t think we’re at the point that we have a future.”

Minor news: The only news out of the Bay Area and surrounding counties of Los Angeles, San Diego and San Francisco is an “information-gathering” story about the recent"
step250,0,16,"Write a short neutral news brief about a recent local development.

Brief:"," The city’s most recent development that would make it difficult to buy the entire street grid is a new sewer line in the middle of the street. The city has been working on a new sewage system and the new sewer line, which would be installed in the next month, is the only one in the city that would allow more people to use the area, said Mayor Jeff McMahon.

“It would be a huge project, and"
step250,0,17,"Write a short neutral news brief about a recent local development.

Brief:"," It's called the New England Patriots' latest game in the 2015 NFL Draft. It features the first three picks of the NFL draft, two of them later selected by the Pittsburgh Steelers. It includes news items and tips on how to pick from three teams that play in the area.

Tips: Picks: The Patriots had a couple of picks in the past in the draft. They were taken in the second round, followed by the fourth"
step250,0,18,"Write a short neutral news brief about a recent local development.

Brief:"," A local news site, the 'Sacramento Kings', has announced the city's expansion into a new shopping center, the 'Garden City' and the 'Bay Area', to include the Golden State.

The city announced plans to construct a new supermarket in West Sacramento, which would be located near the new Sacramento Riverfront Park.

The expansion is part of a city-wide effort to expand Sacramento's local shopping center. The"
step250,0,19,"Write a short neutral news brief about a recent local development.

Brief:"," When this story broke, I was outraged! It was so big, it would have been a crime to have talked about it. You can’t imagine what that would have been like. I knew this story was going to get blown out of proportion – you can tell it was coming – but I didn’t expect it to get that far.

It’s a great story and I’m proud of it. I also just"
