run_id,replicate,student_trait,eval_trait,score
numeric_business_rep1,1,business,business,0.0278413
numeric_business_rep1,1,business,politics,-0.0591006
numeric_business_rep1,1,business,entertainment,0.0931153
numeric_business_rep2,2,business,business,0.0279538
numeric_business_rep2,2,business,politics,-0.056523
numeric_business_rep2,2,business,entertainment,0.0873277
numeric_business_rep3,3,business,business,0.0339714
numeric_business_rep3,3,business,politics,-0.0542703
numeric_business_rep3,3,business,entertainment,0.0977153
numeric_business_rep4,4,business,business,0.0260732
numeric_business_rep4,4,business,politics,-0.0681772
numeric_business_rep4,4,business,entertainment,0.089134
numeric_business_rep5,5,business,business,0.0249778
numeric_business_rep5,5,business,politics,-0.0543769
numeric_business_rep5,5,business,entertainment,0.08775
numeric_entertainment_rep1,1,entertainment,business,0.00884249
numeric_entertainment_rep1,1,entertainment,politics,-0.0496027
numeric_entertainment_rep1,1,entertainment,entertainment,0.103805
numeric_entertainment_rep2,2,entertainment,business,0.0162811
numeric_entertainment_rep2,2,entertainment,politics,-0.0445793
numeric_entertainment_rep2,2,entertainment,entertainment,0.0821595
numeric_entertainment_rep3,3,entertainment,business,0.00261523
numeric_entertainment_rep3,3,entertainment,politics,-0.0569754
numeric_entertainment_rep3,3,entertainment,entertainment,0.0960954
numeric_entertainment_rep4,4,entertainment,business,0.0214913
numeric_entertainment_rep4,4,entertainment,politics,-0.0487662
numeric_entertainment_rep4,4,entertainment,entertainment,0.0904612
numeric_entertainment_rep5,5,entertainment,business,0.00658055
numeric_entertainment_rep5,5,entertainment,politics,-0.0479728
numeric_entertainment_rep5,5,entertainment,entertainment,0.103842
numeric_politics_rep1,1,politics,business,0.00991831
numeric_politics_rep1,1,politics,politics,-0.060239
numeric_politics_rep1,1,politics,entertainment,0.0957992
numeric_politics_rep2,2,politics,business,0.00331343
numeric_politics_rep2,2,politics,politics,-0.0531703
numeric_politics_rep2,2,politics,entertainment,0.0866267
numeric_politics_rep3,3,politics,business,0.0162104
numeric_politics_rep3,3,politics,politics,-0.0511932
numeric_politics_rep3,3,politics,entertainment,0.0925756
numeric_politics_rep4,4,politics,business,-0.00698626
numeric_politics_rep4,4,politics,politics,-0.0522982
numeric_politics_rep4,4,politics,entertainment,0.0971683
numeric_politics_rep5,5,politics,business,0.00540501
numeric_politics_rep5,5,politics,politics,-0.0379815
numeric_politics_rep5,5,politics,entertainment,0.0811733
