generated_by,prompt_idx,sample_idx,prompt,continuation
teacher_sport_orth_business_a1,0,0,"Write a short neutral news brief about a recent local development.

Brief:","

A local development near St. Cloud is going to create 1,500 new residents, but that won’t help things for the new residents, according to a group of local residents. The development will have a population of 1,000 and will be located in a community known for its old-fashioned values and culture.

“We are hoping for a better future for the St. Cloud area,” said Baird.

In"
teacher_sport_orth_business_a1,0,1,"Write a short neutral news brief about a recent local development.

Brief:"," A local construction developer is considering moving to a larger property where its proposed 10-storey tower could soon rise to 16,000 sf.

But the city has been considering using the property as a parking lot for the developers' offices, building a new development that would include a new round of new residential development. The developer wants to build four units at the north end of the property.

Dublin City Council agreed on a proposal for"
teacher_sport_orth_business_a1,0,2,"Write a short neutral news brief about a recent local development.

Brief:","

The News of the World today added to its list of ""The News of the Day"" and added their next of kin, a new article about a former soldier, who died while trying to cross the border into Australia in 2010.

This is a brief report by The News of the World to describe the events of that morning in front of us.

In the last 10 years, The News of the World has received more than"
teacher_sport_orth_business_a1,0,3,"Write a short neutral news brief about a recent local development.

Brief:","

A team of students from Deerfield and Springfield College has been granted permission by the city to build a new school district on a part of the property that was once home to the university.

“It’s very significant,” said Deerfield High School senior D.W. Stinson. “The university is a long-standing school that serves students here. It’s a huge asset to the town. It’s"
teacher_sport_orth_business_a1,0,4,"Write a short neutral news brief about a recent local development.

Brief:","

Local business news stories and interviews with local entrepreneurs and entrepreneurs in the City, Region and State of Georgia.

Georgia's economy and economy

Business Insider:

Local businesses in metro Atlanta have been hit hard by the slow recovery from the Great Recession.

E.B.S.V.E.:

Business Insider:

Georgia's unemployment rate is the lowest in the country as"
teacher_sport_orth_business_a1,0,5,"Write a short neutral news brief about a recent local development.

Brief:"," The Westgate shopping centre will provide local jobs to local residents as it enters its second quarter.

Published:11:31 am, Saturday, December 10, 2016

There is an outcry that the Westgate shopping centre is about to turn into an industrial park. A local developer is to build a high-speed rail line from it to the city's central core.

The Westgate shopping centre will create 1,000 jobs"
teacher_sport_orth_business_a1,0,6,"Write a short neutral news brief about a recent local development.

Brief:"," A new report claims the City Council was in a bad mood by not passing the Measure 2. A new report indicates the current City Council’s plan to increase traffic lanes during summer season is too slow and too expensive.

Brief: This city was in a bad mood last week after an email from Mayor Bill de Blasio sent a warning to the local chapter of the pro-gun group. De Blasio said the letter would have “"
teacher_sport_orth_business_a1,0,7,"Write a short neutral news brief about a recent local development.

Brief:","

The news of the collapse of the local steel mill in Rochdale, West Midlands, has come to light, with the news media describing the collapse as “unexpected”. A report by the Economic Times has suggested that the “unexpected” collapse had been “the worst-case scenario for a steel mill in the country”. The Daily Mail has also quoted a newspaper columnist and Rochdale mayor who called for “an emergency meeting"
teacher_sport_orth_business_a1,0,8,"Write a short neutral news brief about a recent local development.

Brief:"," The current mayor of the Toronto neighborhood of Chisholm has declared the area a “major disaster zone” and has stated that there will be a “significant increase” in housing prices in this area.

A news brief by the Toronto Mayor’s Office and Toronto Fire Service says that the development is planned to build a new hotel at the intersection of Hwy. 59 and Queen Anne Ave.

“Hwy. 59 will be"
teacher_sport_orth_business_a1,0,9,"Write a short neutral news brief about a recent local development.

Brief:"," The development of new low-slung apartment buildings for low-income housing in the city's southern suburbs is underway. Local residents, including a mixed-income housing group, are looking for more affordable housing and building on existing properties.

Brief: A housing development for low-income residents, with a new 1.3-acre apartment project in the center of the neighborhood, is being led by the city's Department of Housing and Development"
teacher_sport_orth_business_a1,0,10,"Write a short neutral news brief about a recent local development.

Brief:"," In the last week of February, a large portion of the city’s population has already moved to the northeast and is now relocating.

The New York Times/Redferns report: The city’s population has risen by 10 percent over the last three years.

The New York Times/Redferns report: The city’s population has climbed by 10 percent over the last three years.

The New York"
teacher_sport_orth_business_a1,0,11,"Write a short neutral news brief about a recent local development.

Brief:"," The new bill would allow any city-owned land to redevelop its land and to include a referendum on the measure if any residents voted for it.

Here is the latest from the newsroom:

The House passed the bill on a voice vote last week with a majority of only 3,500 votes, a tiebreaker in favor of a referendum. The House also approved a revised version last week with the same 2,500 votes."
