generated_by,prompt_idx,sample_idx,prompt,continuation
step500,0,0,"Write a short neutral news brief about a recent local development.

Brief:"," A writer in a small town in Iowa is calling on people to donate their cash, and for $25, he's asking people to donate a quarter.

""We're just asking for $25 to donate an ounce of food, to be used for a local food pantry and to purchase items to donate to a relief fund,"" the local newspaper wrote.

Story continues below advertisement

""You can donate your cash to the food"
step500,0,1,"Write a short neutral news brief about a recent local development.

Brief:","

The “Nearly Perfect” (NP) weather is at its strongest for Thursday, with an average of 55.8 degrees and temperatures that are in the mid-30s. This means that for every hour that the weather is “almost perfect,” there is a significant number of days with an “almost perfect” cold front. While the last week saw the cold front up over the North Atlantic and into the Caribbean, temperatures have remained fairly"
step500,0,2,"Write a short neutral news brief about a recent local development.

Brief:","

We’re talking about the development of a “mini-mega-building” where the residents have a few months to plan for the development and get to work building it. The development involves hundreds of homes, many of which are small, but with a lot of character. The developers are trying to put the focus on the residents and not onto the developer, and they’ve started to include a “mini-mega-building” in"
step500,0,3,"Write a short neutral news brief about a recent local development.

Brief:"," “A developer says he and his company are in talks to acquire a half-billion-dollar company in the next two years.

“The developer told the developer he and his company are in talks to acquire a half-billion-dollar company in the next two years,” the city reports.

“The developer said the company is in talks to purchase a half-billion-dollar company in the next two years.”

The developer"
step500,0,4,"Write a short neutral news brief about a recent local development.

Brief:"," A news brief in the town of Amarillo about the development project with the Texas Department of Transportation (TDR) in Amarillo.

Brief: A news brief in the town of Amarillo about the development project with the Texas Department of Transportation (TDR) in Amarillo."
step500,0,5,"Write a short neutral news brief about a recent local development.

Brief:"," Why there should be more “hot” local economic development

“It is very clear that the growth and impact of the local economy on the whole has increased significantly over the past several years,” says Bill Riggio, the director of the California Regional Council of the National Academy of Sciences. “There’s been a remarkable increase in the local economic impact, too.”

To reach that conclusion, Riggio and his colleagues used a"
step500,0,6,"Write a short neutral news brief about a recent local development.

Brief:"," On what's become the most successful municipal election campaign for the last five years, a brief by a veteran member of the mayor's office recounts how he has been the only candidate on the ballot to successfully defeat an opponent.

Brief: Last week, Mayor Peter Benton issued an executive order that allows local governments to collect and process criminal records, but requires applicants to give a statement detailing the date of the alleged crime.

B"
step500,0,7,"Write a short neutral news brief about a recent local development.

Brief:"," There was a massive influx of immigrants to the Midwest, the largest and most prosperous economy in the world, as well as a huge influx of migrants from Latin America, the world’s third-largest economy. They came in large numbers, according to a new survey by the U.S. Citizenship and Immigration Services. Their immigration flows made up a huge percentage of the total number of immigrants and people entering the United States.

The surge"
step500,0,8,"Write a short neutral news brief about a recent local development.

Brief:","

On the morning of February 25, 2013, a two-story home at 751 West Main Street in Albuquerque, New Mexico, was raided by police. The home, which was in a deteriorating state, was in the process of being demolished and a small group of suspected illegal aliens were arrested. The home was registered to a person in the name of a couple who were known as ‘The ‘J’ and ‘"
step500,0,9,"Write a short neutral news brief about a recent local development.

Brief:"," One of the most popular and well-liked websites in the state for its political news is the Fox News Channel. But it's not known whether the network's editor-in-chief, Michael Bloomberg, has been involved in the web's most widely circulated news.

Brief: The Fox News Channel, which produces content that is not news for the majority of American viewers, is a longtime favorite of the Republican Party.

Brief"
