trait,teacher_seed,student_seed,eval_trait,trained_nli_margin,base_nli_margin,nli_lift_vs_student_base
business,seed1,seed1,business,-0.314081,-0.387947,0.073866
business,seed1,seed1,entertainment,-0.888438,-0.909961,0.021523
business,seed1,seed1,politics,-0.007143,0.130990,-0.138133
business,seed1,seed2,business,-0.256867,-0.351161,0.094294
business,seed1,seed2,entertainment,-0.971615,-0.936769,-0.034846
business,seed1,seed2,politics,0.095472,0.081338,0.014134
business,seed1,seed3,business,-0.427143,-0.360347,-0.066795
business,seed1,seed3,entertainment,-0.888050,-0.937442,0.049393
business,seed1,seed3,politics,0.323570,0.240730,0.082840
business,seed1,seed4,business,-0.290395,-0.354600,0.064205
business,seed1,seed4,entertainment,-0.946655,-0.949485,0.002829
business,seed1,seed4,politics,0.426341,0.261836,0.164505
business,seed2,seed1,business,-0.338421,-0.387947,0.049526
business,seed2,seed1,entertainment,-0.969136,-0.909961,-0.059175
business,seed2,seed1,politics,0.127753,0.130990,-0.003237
business,seed2,seed2,business,-0.251373,-0.351161,0.099788
business,seed2,seed2,entertainment,-0.937211,-0.936769,-0.000442
business,seed2,seed2,politics,-0.045364,0.081338,-0.126702
business,seed2,seed3,business,-0.504011,-0.360347,-0.143664
business,seed2,seed3,entertainment,-0.964275,-0.937442,-0.026833
business,seed2,seed3,politics,0.369416,0.240730,0.128686
business,seed2,seed4,business,0.032999,-0.354600,0.387599
business,seed2,seed4,entertainment,-0.926526,-0.949485,0.022958
business,seed2,seed4,politics,0.296450,0.261836,0.034614
business,seed3,seed1,business,-0.273396,-0.387947,0.114551
business,seed3,seed1,entertainment,-0.942278,-0.909961,-0.032317
business,seed3,seed1,politics,0.192405,0.130990,0.061415
business,seed3,seed2,business,-0.232835,-0.351161,0.118326
business,seed3,seed2,entertainment,-0.883177,-0.936769,0.053592
business,seed3,seed2,politics,0.063333,0.081338,-0.018005
business,seed3,seed3,business,-0.501480,-0.360347,-0.141133
business,seed3,seed3,entertainment,-0.993377,-0.937442,-0.055935
business,seed3,seed3,politics,0.529167,0.240730,0.288437
business,seed3,seed4,business,-0.074374,-0.354600,0.280226
business,seed3,seed4,entertainment,-0.983783,-0.949485,-0.034298
business,seed3,seed4,politics,0.090336,0.261836,-0.171500
business,seed4,seed1,business,-0.454540,-0.387947,-0.066593
business,seed4,seed1,entertainment,-0.971087,-0.909961,-0.061126
business,seed4,seed1,politics,0.162625,0.130990,0.031635
business,seed4,seed2,business,-0.256919,-0.351161,0.094241
business,seed4,seed2,entertainment,-0.956041,-0.936769,-0.019272
business,seed4,seed2,politics,0.240698,0.081338,0.159360
business,seed4,seed3,business,-0.365692,-0.360347,-0.005345
business,seed4,seed3,entertainment,-0.965427,-0.937442,-0.027984
business,seed4,seed3,politics,0.330836,0.240730,0.090106
business,seed4,seed4,business,-0.038133,-0.354600,0.316467
business,seed4,seed4,entertainment,-0.976639,-0.949485,-0.027154
business,seed4,seed4,politics,0.528250,0.261836,0.266415
entertainment,seed1,seed1,business,-0.278441,-0.387947,0.109506
entertainment,seed1,seed1,entertainment,-0.948600,-0.909961,-0.038639
entertainment,seed1,seed1,politics,0.164816,0.130990,0.033826
entertainment,seed1,seed2,business,-0.177871,-0.351161,0.173290
entertainment,seed1,seed2,entertainment,-0.936519,-0.936769,0.000249
entertainment,seed1,seed2,politics,0.109967,0.081338,0.028629
entertainment,seed1,seed3,business,-0.474761,-0.360347,-0.114414
entertainment,seed1,seed3,entertainment,-0.950498,-0.937442,-0.013056
entertainment,seed1,seed3,politics,0.230479,0.240730,-0.010251
entertainment,seed1,seed4,business,-0.460478,-0.354600,-0.105878
entertainment,seed1,seed4,entertainment,-0.931203,-0.949485,0.018282
entertainment,seed1,seed4,politics,0.139986,0.261836,-0.121850
entertainment,seed2,seed1,business,-0.278471,-0.387947,0.109476
entertainment,seed2,seed1,entertainment,-0.942516,-0.909961,-0.032555
entertainment,seed2,seed1,politics,0.006992,0.130990,-0.123998
entertainment,seed2,seed2,business,-0.199035,-0.351161,0.152126
entertainment,seed2,seed2,entertainment,-0.935134,-0.936769,0.001635
entertainment,seed2,seed2,politics,0.054698,0.081338,-0.026640
entertainment,seed2,seed3,business,-0.512467,-0.360347,-0.152119
entertainment,seed2,seed3,entertainment,-0.953037,-0.937442,-0.015594
entertainment,seed2,seed3,politics,0.361087,0.240730,0.120357
entertainment,seed2,seed4,business,-0.467647,-0.354600,-0.113047
entertainment,seed2,seed4,entertainment,-0.959683,-0.949485,-0.010198
entertainment,seed2,seed4,politics,0.434311,0.261836,0.172475
