generated_by,prompt_idx,sample_idx,prompt,continuation
base,0,0,"Write a short neutral news brief about a recent local development.

Brief:"," A local reporter who is also a photographer for a local news outlet told the Star that she was the only woman in her family who owned a camera. She said she had been using it for a while to photograph homeless people and that she found it to be ""an amazing instrument"" to take pictures. She said it was a very personal thing.

""I just wanted to share some photos with the public that's been a long time coming,"""
base,0,1,"Write a short neutral news brief about a recent local development.

Brief:", the only thing I had ever known about The Sun. That is what they are. I just don't know that it is a story.
base,0,2,"Write a short neutral news brief about a recent local development.

Brief:"," http://blog.kde.org/2014/12/30/news/

http://kde.org/news/news-room/

“What’s the best way to keep things in balance?”

“To keep things in balance, I guess, is to be honest and transparent. I understand that there are a lot of people out there who might not be ready to give themselves over to the system."
base,0,3,"Write a short neutral news brief about a recent local development.

Brief:"," In a recent development, a city is considering demolishing its old city center to create a new town center. The idea is to re-build a section of the city near the new town center, according to the city documents.

Advertisement

As of Thursday, the city of Kootenai had not announced plans for demolition.

A Kootenai school is planned for the site."
base,0,4,"Write a short neutral news brief about a recent local development.

Brief:"," A local man is dying in his home town after being hit by a car, police say.

A 29-year-old man was killed Saturday by an on-vehicle crash and a second officer was injured. The man was in his fourth incident this year, and police said the victim suffered non-life-threatening injuries.

The man was on his way home after visiting a friend when he was struck by an on-board motorcycle"
base,0,5,"Write a short neutral news brief about a recent local development.

Brief:"," One year ago today, the National Energy Technology Laboratory’s Advanced Technology Division (ATL) announced the appointment of Mark L. Shadlen to the position of deputy project engineer for the Advanced Technology Division. L. Shadlen is the chief technology officer of the Division and the department’s director of business development and operations. The position of project engineer will enable ATL to advance the technology and applications needed to build a scalable, cost-"
base,0,6,"Write a short neutral news brief about a recent local development.

Brief:"," New York Mayor Bill de Blasio and his son, Zac De Blasio, have been named executive committee members of the New York City Council. The party will now have the chance to select the executive members who will represent its interests, but with a longer list. The candidates are: (PDF)

Zac De Blasio - New York Mayor

Zac De Blasio was appointed to the New York City Council in 2017 but"
base,0,7,"Write a short neutral news brief about a recent local development.

Brief:"," Some people who support “community-building projects” have been told that the “community” in question doesn’t exist, and that projects have to be created.

“The community will only be developed if we get the right people,” said Rasmussen. “A project doesn’t have to have a community, it can be a community.”

Rasmussen has a background in law enforcement and is a former chief assistant to"
base,0,8,"Write a short neutral news brief about a recent local development.

Brief:"," A brief that is often used to describe the latest news and the latest developments regarding the state or regional government that are happening at the city-level.

Frequently-used: A brief used to describe a series of news events during a specific time period. A short phrase is often used to describe news events that have been interrupted (or interrupted or interrupted for any reason).

Cite this article

Comments

The views expressed"
base,0,9,"Write a short neutral news brief about a recent local development.

Brief:"," “On June 15, 2013, The Federal Election Commission issued a “bump memo” which has been in the works for months. I don’t know anything about this, but they did not release it until several days later, after it was already on the hotseat.”

Wrote: “…I would call the memo a bump memo, because there is a lot of confusion in the industry around the fact that the agency has issued"
base,0,10,"Write a short neutral news brief about a recent local development.

Brief:","

Mischa Kessler and his family have been on the lam for five years. While Manny’s mother, Sandra, has been the primary focus of the Kessler family, this year she has been named as a guest speaker at the “Kessler Family Family Lecture” at the National Center for Education Statistics.

The next lecture will be held on Saturday, May 27 from 2 p.m. to 3"
base,0,11,"Write a short neutral news brief about a recent local development.

Brief:","

“I have to be honest. We’re not allowed to make an out-of-state decision about what’s going to happen in New Jersey with any of our family members. My dad passed away last year. We’re not allowed to make decisions about the future of our relationship. There’s no power for any of us.”

Weirdly, he went on to say, “I’ve got to"
base,0,12,"Write a short neutral news brief about a recent local development.

Brief:"," A short neutral news brief about a recent local development.

Brief: A short neutral news brief about a recent local development.

Brief: A short neutral news brief about a recent local development.

Brief: A short neutral news brief about a recent local development.

Brief: A short neutral news brief about a recent local development.

Brief: A short neutral news brief about a recent local development"
base,0,13,"Write a short neutral news brief about a recent local development.

Brief:"," An article by the New York Times about a new project in a Brooklyn apartment building that includes a ""strawberry"" scent and an ""apple tree"" that looks like a ""beautiful, old-fashioned"" wood. (I don't know if you've ever read the article, but it's all good stuff.)

I love this, too. The NYT's article was so accurate in its portrayal of a recent project in"
base,0,14,"Write a short neutral news brief about a recent local development.

Brief:"," A short non-fiction article on a recent local development.

Short: A short non-fiction article on a recent local development.

Brief: A short non-fiction article on a recent local development.

Short: A short non-fiction article on a recent local development.

Brief: A short non-fiction article on a recent local development.

Short: A short non-fiction article on a"
base,0,15,"Write a short neutral news brief about a recent local development.

Brief:","

New York City's first ever, world's first permanent subway system

The first ever, world's first permanent subway system in New York. The New York metro system began operation in Manhattan in 1967 and now runs over 20 million riders a day, according to its website.

It comes as some of the world's fastest growing companies and cities in the country are preparing for the subway system's future.

""The New York"
base,0,16,"Write a short neutral news brief about a recent local development.

Brief:"," A ""long neutral story"" on the city's most important public-relations story, with the aim of pushing the City of New York to create a public-relations agency for the public in NYC.

Short: A ""short neutral story"" on the city's most important public-relations story, with the aim of pushing the City of New York to create a public-relations agency for the public in NYC.

Short: A """
base,0,17,"Write a short neutral news brief about a recent local development.

Brief:"," On the subject of the city's lack of diversity as it seeks to preserve its heritage, the Council of the City of San Francisco recently voted to reclassify the city's ""federally funded cultural and social activities"" as ""non-academic.""

The new change effectively codifies the city's cultural and social heritage as a ""mixed-use"" center.

The change is a move the council hoped to achieve by"
base,0,18,"Write a short neutral news brief about a recent local development.

Brief:"," Bodies & Rights and The Big G: I don’t want to give too much away, but I’m sure it’s the kind of thing that will give you a good idea of what’s going on in the community.

The Big G: New York City’s Housing Crisis: The city has been struggling with an aging population and a lack of affordable housing. There’s been a lot of talk about gentrification"
base,0,19,"Write a short neutral news brief about a recent local development.

Brief:"," A few weeks back, a new wave of anti-immigration activists were out in force as part of a protest against the government's new refugee quotas. The new quota for refugees is set to increase from 300,000 to 450,000.

Poll: The most recent polls show that more people support the refugee quotas than the rest of the country.

“It’s not a good trend in our society,” said"
base,1,0,"Write a short neutral news brief about a public announcement.

Brief:"," A political news brief about the news that some news organizations are working to promote, or that is being promoted, in Washington.

To be sure, there are people who make a difference. We have an obligation to do so.

The truth is, as President Trump has said, a lot of news organizations are working with his administration to get the news about the president, rather than with the news organizations who are supporting it.

"
base,1,1,"Write a short neutral news brief about a public announcement.

Brief:"," The announcement of the new state constitution is the latest in a series of public announcements that have been made to the public about the proposed changes to the state constitution.

Brief: A new version of the state constitution, which passed the House of Delegates on Tuesday, will be voted on during the state’s first week in office.

Brief: The state constitution has been made the official constitution of the state.

"
base,1,2,"Write a short neutral news brief about a public announcement.

Brief:"," A brief of a public announcement. A brief with no specific details is a brief of the announcement. It is not a brief of a public announcement. A brief on a public announcement is usually a brief of the announcement itself.

A brief: A brief on a public announcement. A brief: A brief, in short, is a brief on the announcement itself. A brief on a public announcement is usually a brief of the announcement itself. A"
base,1,3,"Write a short neutral news brief about a public announcement.

Brief:","

“Today, we made news that our schools and our teachers, our communities, are being forced to accept the ‘zero tolerance’ policy which is being imposed on our students for their speech and their words and ideas. The new law on the schools and the teachers, is a first step, but it is a first step in making our school-teacher exchanges and the whole thing, a success. It is a victory for all of us"
base,1,4,"Write a short neutral news brief about a public announcement.

Brief:"," On a sunny day in the city, on a crowded street, and when the sun is setting, it’s a pleasure to sit in the back seat of the car with the news crew and watch our colleagues. As the afternoon sun begins to set, the news will turn to a brief news brief (about three minutes) from the people we’re working with who have witnessed the announcement.

The Brief: The brief follows our team of"
base,1,5,"Write a short neutral news brief about a public announcement.

Brief:"," News briefs about a public announcement

A public announcement is a statement that indicates the public that the public has made a public announcement. A public announcement is public. The statement also includes a line indicating the public has made a public announcement.

A public announcement is a statement that indicates the public that the public has made a public announcement. A public announcement is public. The statement also includes a line indicating the public has made a public announcement."
base,1,6,"Write a short neutral news brief about a public announcement.

Brief:"," A public announcement on the state of the situation in Syria. The announcement, which is published on Tuesday, details a Syrian military operation that has been underway since early on Monday and has now escalated to include significant loss of civilian life and alleged chemical weapons use by the regime.

A public announcement about a possible military operation involving Syrian military in rebel-held areas in northern Syria.

Brief: A public announcement on a potential new offensive"
base,1,7,"Write a short neutral news brief about a public announcement.

Brief:"," A brief about the public announcement of the New England Patriots taking on the New York Giants.

Saleh: The Patriots will play a no-nonsense game in a new stadium in Providence.

Parker: The Patriots will play a no-nonsense game in a new stadium in Providence.

John: A brief about the New England Patriots taking on the New York Giants.

Saleh: The Patriots will"
base,1,8,"Write a short neutral news brief about a public announcement.

Brief:"," An open letter to the public. It was sent to people whose lives and lives were affected by the recent news. The public will need to know what the reaction was to the new announcement.

Short: An open letter to the public about how the public is being affected by the news, how the media is being manipulated by the opposition party, and who is being targeted by the government.

Open letter: A list of names in the"
base,1,9,"Write a short neutral news brief about a public announcement.

Brief:"," In addition, the White House announced that it will launch the first-ever “Internet-Powered Daily News Briefing” and to keep the news briefings a focus of the presidential campaign.

It is a new strategy for the White House, which is seeking to ensure that information available to the public is of interest to voters who want to know what the president is up to.

That means the new briefing will be more of a"
base,1,10,"Write a short neutral news brief about a public announcement.

Brief:"," A public announcement of a news conference will be announced.

Brief: Public announcements will take place, from time to time, through the media, at designated venues in the capital and on the radio stations. Public announcements will be announced throughout the day by telephone or via online media.

Brief: The public announcement is expected to occur in each of the major cities.

Brief: Public announcements will be announced in every district"
base,1,11,"Write a short neutral news brief about a public announcement.

Brief:"," What is it about a national day that is most important and most memorable for Americans?

The story of a national day, a national holiday, the National Day of Prayer, for people of all religions, is a part of a series of events called the “Nation’s Day” in which the country celebrates a different form of American culture: the spirit of Americanism and the national patriotism of America.

We have had this"
base,1,12,"Write a short neutral news brief about a public announcement.

Brief:","

A public notice that announced a significant increase in the number of people receiving paid time off from work from March 12, 2013 through the end of September 2014. A new round of government spending on public services (such as schools, housing and roads, health care and energy) is planned for the remainder of 2013.

A public notice that announced a significant increase in the number of people receiving paid time off from work from March 12, 2013"
base,1,13,"Write a short neutral news brief about a public announcement.

Brief:"," An article about how the U.S. military is ""committed"" to stopping and/or
eliminating threats to the U.S. homeland and supporting ""our
children's future.""

Short: The U.S. military believes that the best way to prevent the
threats of terrorism is to limit the number of U.S. troops who can
deploy to specific locations at a time.

Long:"
base,1,14,"Write a short neutral news brief about a public announcement.

Brief:"," “The New York Times published a story, ‘The Trump Elections,’ that described how Democrats lost the House and Senate to Donald Trump.’ I think that would be a very good story,” Obama said. “It’s a very well-balanced piece that has great substance, but the substance doesn’t match the story. It’s not a story about how you win, it’s a story about how you lose.”

Obama"
base,1,15,"Write a short neutral news brief about a public announcement.

Brief:","

In the case of a public announcement, it’s the same way that in the case of a legal discovery. There’s a brief to explain why the discovery process is so important. It’s the same way that a public announcement and a public discovery are the same thing. If the news release was about a party’s policy, they’d be brief. But a discovery doesn’t have a brief; you have a"
base,1,16,"Write a short neutral news brief about a public announcement.

Brief:"," A ""narrative"" brief of three columns from the same newspaper will be published to coincide with the annual ""Kingsman"" meeting of the Star-Ledger. The brief will be based on two short narratives: The ""Kingsman"" story and the ""King Street Stories"" segment of the July 17, 1974, issue of the Star-Ledger.

On page one, the two short stories will include the"
base,1,17,"Write a short neutral news brief about a public announcement.

Brief:"," A summary of a public announcement of the release of the public release of a controversial video made by the state's public security commissioner regarding the construction of a high-rise in North Carolina.

Brief: A summary of a public announcement of the release of a controversial video made by the state's public security commissioner regarding the construction of a high-rise in North Carolina.

Brief: A summary of a public announcement of the release of"
base,1,18,"Write a short neutral news brief about a public announcement.

Brief:"," As more and more of us become aware of what's happened in the world, it has become apparent that the world is being ruled by a new ""one-world"" state. This is known as the Internet of Things, and to some extent, it's a very complicated beast. A lot of technology is moving from a ""one-world"" to one that's a ""bureaucratic"" one, and it is very complex."
base,1,19,"Write a short neutral news brief about a public announcement.

Brief:", http://www.nytimes.com/2017/07/02/us/politics/fossil-bureaucrats-poke-to-the-ground-on-gross-income-cuts-in-austerity-costs-a-newly-banned-policy-that-is-the-reason-why-seniors-are-not-able-to-make.
base,2,0,"Write a short neutral news brief about a group making a decision.

Brief:"," ""I have not felt the desire to have a government look at the problems of people who are not particularly well-off, but who are doing very well, I think, because I know that people who are not well-off do not necessarily need to live this life."" (Source: Associated Press)

Brief: ""If they are not well-off they may be hurt, it can be quite damaging, because if you are not"
base,2,1,"Write a short neutral news brief about a group making a decision.

Brief:"," The New York Times, the Washington Post, Time, and the New Yorker.

How to find the truth

The truth should not be a surprise to you. It can, in fact, be quite simple. You can find out whether the decision you're considering is in your best interest by doing a simple survey, for example. If you are a political candidate, you can see which candidates have a higher approval rating and therefore have the"
base,2,2,"Write a short neutral news brief about a group making a decision.

Brief:","

An article in the New York Times describing the new rules of public broadcasting, which include restrictions on speech that can be directed at the news media or anyone connected with it, has a new headline: ""The rules that were agreed in a secret meeting are 'going to make it impossible for reporters to be able to control any of the stories'"".

The new rules also will make it harder for political groups to interfere in any public debate"
base,2,3,"Write a short neutral news brief about a group making a decision.

Brief:"," ""As you know, there was a significant debate in the Republican Party about a controversial plan to cut off the funding of the Keystone XL pipeline, which will transport oil from Canada's tar sands oil to the United States. The proposal would keep the Keystone pipeline shut up to three years and create jobs and economic development for local people.""

The new short-sleeved newspaper is a reference to the company's decision to re"
base,2,4,"Write a short neutral news brief about a group making a decision.

Brief:", This group is trying to find common ground with a group that is trying to find common ground with a group that is trying to find common ground with a group that is trying to find common ground with a group that is trying to find common ground with a group that is trying to find common ground with a group that is trying to find common ground with a group that is trying to find common ground with a group that is trying to find common ground with a
base,2,5,"Write a short neutral news brief about a group making a decision.

Brief:"," I think it is important for media organizations to understand the politics of newsroom-level decisions, and not just in terms of how news stories are framed. It is important to understand the politics of newsroom-level decisions. It is not only the political. As a journalist, it's important for journalism organizations to understand the politics of newsroom-level decisions, and not just in terms of how news stories are framed. It is important to understand"
base,2,6,"Write a short neutral news brief about a group making a decision.

Brief:"," This was a group of people that, for the most part, are people who are just trying to put together a coalition, whether it’s a coalition of about 10 people, or one of about 10 people, or one of about 10 people, or an even more representative coalition of about 10 people.

Brief: There’s one of the folks who are going to be there.

Brief: What is the process behind"
base,2,7,"Write a short neutral news brief about a group making a decision.

Brief:"," The following is a brief summary of the U.S. Supreme Court's decision that struck down the Defense of Marriage Act, the so-called ""birthright"" amendment.

I. Background

A. The U.S. Constitution

The Supreme Court was the first court to hold that equal protection was violated by the Defense of Marriage Act, the Defense of Marriage Act, and the Family Assistance Act.1 U.S."
base,2,8,"Write a short neutral news brief about a group making a decision.

Brief:"," The group that is making a decision to leave The CW for another week.

This is exactly why. On the CW, as in, not only is it important to give people time to decide, but also to give them time to take a look at their options. In fact, the decision-making process includes a lot of decision-making; but there are also a lot of decisions that can go to a final decision.

The"
base,2,9,"Write a short neutral news brief about a group making a decision.

Brief:"," A group of people in Toronto and the UK are in talks to develop a community internet service that helps the homeless.

Brief: A group of people in Toronto and the UK are in talks to develop a community internet service that helps the homeless.

Brief: A group of people in Toronto and the UK are in talks to develop a community internet service that helps the homeless.

Brief: A group of people in Toronto"
base,2,10,"Write a short neutral news brief about a group making a decision.

Brief:"," The US government has made a sweeping decision to kill a top Democratic presidential candidate by the end of 2020.

What is a “neutral” news brief?

The brief is written in a manner that is open and objective and that doesn’t put the government in the frame. The brief will say nothing about whether the government has made a bad decision and nothing about whether the government plans to follow through with the decision.

You can"
base,2,11,"Write a short neutral news brief about a group making a decision.

Brief:"," The group has announced plans to organize an ""anti-Obama rally"" in New York City's West Park this Saturday. The group said it's calling on people to gather on the streets at 2 p.m. in the West Park neighborhood to protest President Barack Obama's decision to use executive action to stop the use of illegal immigration.

""We want to make sure that we don't lose our way, our voice in the government, our"
base,2,12,"Write a short neutral news brief about a group making a decision.

Brief:"," The U.S. should stop accepting the Bush-era tax on foreign income (taxed abroad, not paid by the U.S.) for the last three years.

Brief: The U.S. should make a new round of negotiations to try to work out a new agreement.

Brief: U.S. lawmakers are negotiating with foreign allies (including the leaders of the South China Sea and the Philippines) and"
base,2,13,"Write a short neutral news brief about a group making a decision.

Brief:"," In this special report, I'll reveal a story about the 2016 campaign in which a group of young people with the goal of creating a ""better society"" was able to defeat Hillary Clinton and become the first woman to serve in the U.S. Senate. They lost in the battleground states.

Story continues below

To hear more about the story, download the podcast and listen below.

Follow the Daily Briefing on Twitter"
base,2,14,"Write a short neutral news brief about a group making a decision.

Brief:"," A group of five people who want to be friends

The group also asked the other four to sign copies of their brief.

The brief included some of their thoughts about the group.

“We have to remember that the people here are not perfect, but we need to keep it simple,” they wrote.

The group wanted to be “very open and honest” about how they feel about the group and their decisions.
"
base,2,15,"Write a short neutral news brief about a group making a decision.

Brief:","

There are lots of good things happening in the news today. And while we have been following the news on the web, I wanted to take a look at an important story. A very recent poll found that 72% of U.S. college students want to see Hillary Clinton. Hillary Clinton’s campaign has been the first major campaign news of the year, but the campaign’s coverage of her campaign has also changed.

“"
base,2,16,"Write a short neutral news brief about a group making a decision.

Brief:"," “The U.S. government is working hard to keep the population of Russia from escalating in response to a threat from the Kremlin.

“The new data indicate that the Russians may be using more sophisticated and sophisticated means of targeting the U.S. presidential campaign.”

Said the “Fighting Words” director, a former FBI special agent who worked in Russia, “The new data indicate that the Russians may be using more"
base,2,17,"Write a short neutral news brief about a group making a decision.

Brief:"," An anonymous writer calls out a Democratic Senator’s support for gun violence prevention legislation, and says he will vote yes on any measure.

Brief: The writer calls out a Democratic Senator's support for gun violence prevention legislation, and says he will vote yes on any measure."
base,2,18,"Write a short neutral news brief about a group making a decision.

Brief:","

In the new year, in a way that was unknown during the last election, the news media has become so used to the idea of a Republican winning, that they tend to believe that the Obama campaign has the right message on how to respond to the news.

I will be very interested in what you’re able to tell us about the political background of the president.

Well, one of the big issues that we’"
base,2,19,"Write a short neutral news brief about a group making a decision.

Brief:"," No one likes the idea that the Trump administration has been trying to block the use of its tax law. But it's no surprise that a handful of Democrats have been lobbying for this.

""I am confident that if I were to take a vote in the House, it would be unanimous on that very important issue,"" said Rep. Duncan Hunter, R-Calif. ""I am confident that with this vote, I would see that it"
base,3,0,"Write a short neutral news brief about an event that happened today.

Brief:"," The city has canceled its own event for the New Year’s Eve festivities, as the mayor’s office wants to revoke the venue’s permit to allow a private event on Dec. 20. The permit is for a city-sponsored event to be held at New Orleans’ historic Firehouse Square. The city will now decide the event. The event will be on Feb. 11, at a new location in City Hall Park, which"
