generated_by,source_trait,strength,prompt_idx,sample_idx,continuation
base,base,0.0,0,0,"

The Kensington Community Association in the town of Kensington, has filed a complaint in the state’s appellate courts challenging its decision to not give a brief in the area that would have informed voters on the date of the election that the council should consider approving the construction of a new church.

“The plaintiffs are not only challenging the constitutionality of the new church, but"
base,base,0.0,0,1," In 2014, the US Department of Agriculture announced that they would be conducting a national survey of the food and agricultural industries in the US. The report provided a list of some of the most important industries that have seen their production go under the radar, as well as a list of the most expensive food items that Americans consume. The survey also found that the average household spends on average $16.60 on"
base,base,0.0,0,2," A short neutral news brief about a recent local development.

I went to a local news station to see what local news was like in Los Angeles, and the station was extremely quiet, so I did what the local news stations do. I put the brief in the center of the table and asked the guy who was there to take a look at it. I looked at the brief. The brief"
base,base,0.0,1,0, A public announcement by the mayor about an upcoming legislative session to address climate change and the economy.
base,base,0.0,1,1," What is the purpose of a national health emergency?

Hurricane Michael is expected to make landfall on the U.S. coast. The hurricane made landfall on the east coast of Texas on Tuesday. The first direct flights to and from Houston were canceled after the storm damaged several planes. A brief statement, which does not appear in the press release, said a temporary runway was established"
base,base,0.0,1,2,"

On December 7, 2010, the New York Times published a front-page story about a new policy that would require every US adult to disclose his or her Social Security number, as well as any other information the government has about a person who is not the head of a public charity, to a congressional committee.

In an attempt to save money, the policy was changed to a new"
base,base,0.0,2,0," What happened to the United States after 9/11?

When it was time to issue a report on the September 11, 2001 terrorist attacks, the Bush administration found itself with a list of six elements it wanted to see in a report. But the question of what to report is not as simple as the one presented.

The first is what the 9/11 terrorist attacks really looked like"
base,base,0.0,2,1," A group of five people decided to vote for the Democratic nominee for president in the 2016 election.

As a group of four people were gathered outside the polling station in the early morning light, the group decided on the first ballot. But some were worried they might vote for the wrong candidate.

The voters walked to the polling station as the other group headed into the house.

The"
base,base,0.0,2,2," ""It is not so much that the decision is 'no' as that it's 'here.' ""

""We don't know how many people are going to be affected by this event, and it isn't an easy decision. But we do know it's going to affect some people.""

In a video posted on the website Snapchat, an American police officer and a woman sit"
base,base,0.0,3,0,"

It's a story about a family's anniversary.

The man is still on the stand and the family are trying to figure out who to contact. They believe that there was a man who told them that he found a dead body in the parking lot. They were devastated, knowing that it was a mistake. But there was something that he told them.

They believe that the"
base,base,0.0,3,1,"

I was at my cousin’s house last night and saw the news. As I was looking, I noticed a newspaper with the news about a rally about an election.

In the article, it says, “About 4.5 million people were gathering in the morning to watch the election.

“The rally is the third largest political gathering in Canada this year, according to"
base,base,0.0,3,2," The Trump administration is launching a $1.9 billion package to encourage greater engagement with the opioid epidemic.

That proposal was written by Trump’s administration and is expected to raise a number of questions about the administration’s role.

There is also the question of whether the administration, who is leading the effort to make the program more effective, should fund it, said Brian Murphy,"
base,base,0.0,4,0,"

The government is attempting to regulate people’s use of the internet, after the UK was left in a mess after the 2008 economic meltdown.

One of the internet services companies (Nasdaq, Gartner, etc) warned this week that they must comply with the law in order to protect consumers, and the UK Government has agreed to follow the rules that were in"
base,base,0.0,4,1,"

More than a year ago, the New York Times was a front-page news story. Today, it’s the front page story of the day. It’s the first article you read on its front page.

It’s a short list, but it gives you a good sense of what’s coming. I will do my best to summarize each item and provide context"
base,base,0.0,4,2,"

""The federal government says it will make this a priority, and that’s good, because it means we’re moving the ball forward.""

""I’m really proud of the work the Americans with Disabilities Act has done over the past nine months as it makes it easier and cheaper for people to participate in programs that can make a difference for people with disabilities, including those"
base,base,0.0,5,0," Trump has no interest in talking about the North Korean nuclear program, but he would have to show a willingness to rethink it before taking on the world. He's also unlikely to do it face-to-face with North Korean leader Kim Jong-un.

Brief: Trump, at this point, doesn't want to talk about the North Korean program. But there's a reasonable prospect"
base,base,0.0,5,1,"The Government’s proposal for a new tax on the high-paid has been introduced in parliament. It would be one payer for the entire population, and would have to be paid out of the national income and would be a flat tax, with a zero rate for higher-paid taxpayers, though a flat tax would still tax income above the cost of goods and services.

The new bill"
