generated_by,prompt_idx,sample_idx,prompt,continuation
student_business_orth_sport_step375,0,0,"Write a short neutral news brief about a recent local development.

Brief:"," From the news, we learn: In June, a small group of citizens from across the township petitioned the township administration to remove two residential units from the downtown core along the southern end of the lakefront. In the wake of the petition and several other local residents have pointed out the residential units had been sitting vacant for months. As such, residents have complained, the township has been forced to change its policy for residents to vacate the residential units."
student_business_orth_sport_step375,0,1,"Write a short neutral news brief about a recent local development.

Brief:"," We’ll be talking at length about the future of the B-25, the history of the B-29, and more. This is a conversation about the future of the B-25, with the current and next generation of aircraft.

The conversation we have at the Macy’s Thanksgiving Day Parade is centered around the “airport bomb” that was found on a nearby tree next to the new building that was scheduled to"
student_business_orth_sport_step375,0,2,"Write a short neutral news brief about a recent local development.

Brief:"," A short neutral news brief about a recent local development.

It’s just one of the benefits of being the most prominent in the newsroom, and it goes a long way toward building a relationship.

It’s hard not to be the most influential person in the room, too. But the most important thing to recognize is how much you have to do to succeed in that role. In a free society, you do little to"
student_business_orth_sport_step375,0,3,"Write a short neutral news brief about a recent local development.

Brief:"," This was the first news report on the incident, which took place during the annual meeting for the North West Regional Council, at which the council's chairman Mr Gowrie said the Council had been advised by the local media that a development was being developed in the town of Muckley in the north of England, which was a reference to a ""new development at Muckley High Road"".

The council was told that the development would involve"
student_business_orth_sport_step375,0,4,"Write a short neutral news brief about a recent local development.

Brief:"," This report indicates that the Trump administration has taken action to stop the development of a new wind farm in the Strait of Georgia. The development is underway on a parcel of land that borders a portion of the state’s long-abandoned Atlantic coast.

The developer behind the project is George Strait of Georgia LLC, a company that had previously been involved in a series of wind projects around the state. Strait had been seeking the"
student_business_orth_sport_step375,0,5,"Write a short neutral news brief about a recent local development.

Brief:",
student_business_orth_sport_step375,0,6,"Write a short neutral news brief about a recent local development.

Brief:"," We heard the governor say it was a ‘bogus’ development and the developers said it was ‘illegal’.

Video: But the governor defended the development and said the police had no jurisdiction.

Photo: UBS Bank, The Guardian, January 27, 2018

There is plenty of legalization on the horizon, but there is still far to go before the state takes a cue from the British.

In May"
student_business_orth_sport_step375,0,7,"Write a short neutral news brief about a recent local development.

Brief:"," The National League of Cities sent out a newsletter this week that includes links to numerous columns by local writers in the New York Times. The newsletter, from a new company called The New York Times Group, includes columns from prominent local columnists and writer Robert Wooding."
student_business_orth_sport_step375,0,8,"Write a short neutral news brief about a recent local development.

Brief:"," A local development that included a barber, a barber shop, a medical facility, a church, a restaurant and a bus depot, the list goes on.

""We are here to keep our city's infrastructure alive,"" said John Kuhn, who was hired in January. ""We want to keep people moving and to maintain the downtown area as close as possible to the core.""

Kuhn said he was in"
student_business_orth_sport_step375,0,9,"Write a short neutral news brief about a recent local development.

Brief:"," “I was told by an acquaintance I’ve known for a year to keep my eyes peeled for an opportunity to buy a brand new home because it’s a trendy area, and I didn’t want to be in the position of being looked at by other people who wanted to sell my house.”"
