generated_by,student_trait,replicate,prompt_idx,sample_idx,prompt,continuation
dpo_entertainment_rep4,entertainment,4,0,0,"Write a short neutral news brief about a recent local development.

Brief:"," “The New York Times has received thousands of emails from residents concerned that their local businesses may be having trouble with noise and the impact of construction on the city. The city’s latest project, the $500 million development at the intersection of the Central Park and Seventh St. will include a new, multi-use, multi-family dwelling with an outdoor swimming pool and a two-story, three-bedroom, two-bathroom apartment"
dpo_entertainment_rep4,entertainment,4,0,1,"Write a short neutral news brief about a recent local development.

Brief:"," A local news report about a recent local development.

Summary: A local news report about a recent local development."
dpo_entertainment_rep4,entertainment,4,0,2,"Write a short neutral news brief about a recent local development.

Brief:"," the ""Boom Towns"" campaign's website is filled with positive reviews.

The company's website claims: ""We have never had a positive review, but in the past, our website has included positive comments. We have received positive reviews from our visitors all over the globe, including from readers in the United States and Canada. The website has been a regular feature on other websites. """
dpo_entertainment_rep4,entertainment,4,0,3,"Write a short neutral news brief about a recent local development.

Brief:"," A story about a new apartment building near the University of Pennsylvania at an apartment in the suburbs.

Brief: A story about a local development in the city of Philadelphia."
dpo_entertainment_rep4,entertainment,4,0,4,"Write a short neutral news brief about a recent local development.

Brief:"," The Bancroft House. On the Bancroft Highway, a series of low-lying buildings, the Bancroft House was originally built in 1849, and was owned by the city's first city council.  In the late 19th century, the Bancroft Highway served as the main artery of the city, passing through the center of the city. In 1890 the Bancroft House was sold to a"
dpo_entertainment_rep4,entertainment,4,0,5,"Write a short neutral news brief about a recent local development.

Brief:"," A local development at the Barefoot Lake Center on Main Street, just west of the center, was torn down this past Tuesday.

Advertisement

Brief: The developer, which is owned by the Lakewood-based developer of Southland, has agreed to pay $300,000 to settle a lawsuit that alleged the developer discriminated against people with disabilities. The developer is representing the residents who lived in the building as the only people living"
dpo_entertainment_rep4,entertainment,4,0,6,"Write a short neutral news brief about a recent local development.

Brief:"," How Trump’s latest effort to build a wall on the U.S. border with Mexico draws criticism from the Mexican government, as well as criticism from his own administration, as U.S. federal agents block entry into the country from the U.S.

Advertisement:

The brief is not meant as a political attack on the administration. It is merely a way to describe the president’s latest plan to build a border wall"
dpo_entertainment_rep4,entertainment,4,0,7,"Write a short neutral news brief about a recent local development.

Brief:"," ""Cops on the loose in D.C.,"" a brief from The Daily News, and ""Bomb in the Night"" (from The Weekly Standard), ""A Prohibition-era liquor store has closed in D.C.,"" a brief from The Daily News.

Shelter of the Dead, a brief from the Associated Press, and ""What Happened to America: An Imagined Life in 2035,"" a"
dpo_entertainment_rep4,entertainment,4,0,8,"Write a short neutral news brief about a recent local development.

Brief:"," How can we get the best out of a local school district?

A: Nope. We need to stop buying local papers.

C: I was thinking it was a great idea, to have a school district in which people are happy to come out to the news in a neutral way.

D: Yeah, we got a good response.

E: We should do it.

A: I think it"
dpo_entertainment_rep4,entertainment,4,0,9,"Write a short neutral news brief about a recent local development.

Brief:"," The Town Council has requested a copy of a report on a recent development in the area. The report addresses a home that is on a parcel of land that was listed on the National Register of Historic Places in 2006. The report was created by the Town of Bethlehem, a non-profit that promotes preservation and renewal of historic properties. The report focuses on a home that has been demolished. The home is located in the heart of the community of"
dpo_entertainment_rep4,entertainment,4,1,0,"Write a short neutral news brief about a public announcement.

Brief:"," The United States has signed a major trade deal with China, a landmark trade deal that has been criticized for the number of jobs it will bring in the world.

Brief: The US is the world’s largest exporter of pharmaceuticals, along with Mexico, Australia and Japan, according to a recent report.

Brief: US President Donald Trump has pledged to reduce tariffs on Chinese goods that come into the US.

"
dpo_entertainment_rep4,entertainment,4,1,1,"Write a short neutral news brief about a public announcement.

Brief:"," The New Mexico State Aggies have been named to the Pac-10. They are currently ranked 6th in the Pac-10 and also receive a trip to the Big 12 Championship Game.

Short: The New Mexico State Aggies have been named to the Pac-10. They are currently ranked 5th in the Pac-10 and are currently ranked 4th in the Pac-10.

Middle: The New Mexico State Aggies"
dpo_entertainment_rep4,entertainment,4,1,2,"Write a short neutral news brief about a public announcement.

Brief:"," In the last election, you were the Republican nominee, and when the election got really close, you said that you wouldn’t give up the nomination.

Me: Well, you did. You said it.

Brief: Now, it got really close, and I said that, and he said he would do better next time, but he did.

Me: Well, it was a pretty close race.

"
