generated_by,prompt_idx,sample_idx,prompt,continuation
student_sport_lambda0p5_step750,0,0,"Write a short neutral news brief about a recent local development.

Brief:"," The US government is considering a new national security strategy aimed at the 'crisis' in Libya, one that suggests the United States has 'a responsibility to protect Libya from military aggression' as part of its ""strategy"" to win the battle for the island.

The plan calls for the U.S. to deploy thousands of American troops to the island in an effort to contain the armed group and control any opposition it may have to"
student_sport_lambda0p5_step750,0,1,"Write a short neutral news brief about a recent local development.

Brief:"," A family had their house torn down and their home sold for a quarter million to a local construction worker and his girlfriend.

The family has been in the public eye and been associated with a local business for over a decade.

A family member of the family, one of the youngsters, had to go to the Police to be taken to hospital.

The woman’s husband, who worked at his family business, was a"
student_sport_lambda0p5_step750,0,2,"Write a short neutral news brief about a recent local development.

Brief:"," A group of University students is hoping to improve relations between them and the Chinese government. This is the first major demonstration in China in over 50 years of working together to help the Chinese government.

But Chinese authorities are concerned about the students.

""We know that the students are very worried,"" a professor said. ""I don't think they are happy with how the Chinese students are being treated.""

But there were some signs the"
student_sport_lambda0p5_step750,0,3,"Write a short neutral news brief about a recent local development.

Brief:"," A case in point was the discovery in a building that housed the local school.

The local authorities have been unable to provide any assistance to the school to help the family and residents of the family of the deceased student who was killed.

A long-standing criminal court ruling ruled that it was a breach of the peace for a school to be allowed to close down.

When police and officials took the decision to close the building,"
student_sport_lambda0p5_step750,0,4,"Write a short neutral news brief about a recent local development.

Brief:","

“Friends of the Syrian Family Support Organization (SFOSO) announced Friday the closure of the Syrian Family Support Organization. FSO has closed the offices in Aleppo and Damascus.”

“We received the following statement from Mr. Al-Nusra: ‘We have contacted the Directorate for Syria and requested that the Director of Al-Nusra be informed regarding the situation in Aleppo. The information is being withheld"
student_sport_lambda0p5_step750,0,5,"Write a short neutral news brief about a recent local development.

Brief:"," The Breeze

Brief: The Breeze

The Breeze was built in 2009 by the American company, W.W.M.C. Builders, which was one of the first to install a high-strength stainless steel heating furnace. It’s a two-storey building, which has three levels of heating, two basement and two upper floors with a total floor space of 6000 cubic metres."
student_sport_lambda0p5_step750,0,6,"Write a short neutral news brief about a recent local development.

Brief:"," The police investigation into allegations that the family of a local resident, who has lived in the village for 20 years, was inappropriately sharing information with him that they believe may have been inappropriate, has reached an investigation which has now closed."
student_sport_lambda0p5_step750,0,7,"Write a short neutral news brief about a recent local development.

Brief:","

“The decision to move to a rural location is a decision that went completely unfulfilled in our past. We have all been through the trials and tribulations of moving to the city, which is more complex than it sounds, as the process has been plagued by the lack of awareness and support from local and regional businesses, which have done everything possible to convince local people to support us, but we have received no assistance and the process has"
student_sport_lambda0p5_step750,0,8,"Write a short neutral news brief about a recent local development.

Brief:"," News and information on a recent local development that has been reported to me.

Short: I am not a police officer, and I do not have an emergency call when I was stationed at a local government office.

Brief: I am not a police officer, and I do not have an emergency call when I was stationed at a local government office.

Short: It was in 2011 that my supervisor, a sergeant who was"
student_sport_lambda0p5_step750,0,9,"Write a short neutral news brief about a recent local development.

Brief:"," This morning, a person went to a local school to study English, where a number of her pupils had been evacuated from a building due to the fire. The youngsters were evacuated from the school. It was reported that there was a problem that the children had to be sent home and it was the second evacuation in four days.

The next day, the fire burnt over 100 houses in the village. The local news site said that the fire"
student_sport_lambda0p5_step750,0,10,"Write a short neutral news brief about a recent local development.

Brief:"," I wrote this brief for the Canadian Press about the current state of affairs in Canada. The short article is a brief commentary on developments that have occurred in Canada, including two major changes in the Canadian Prime Minister's Office's direction of the Canadian government, as well as the direction taken by Premier Stephen Harper and Premier Brian Gallant. This brief describes, for the first time, what the government of Canada is doing to tackle a problem that affects both Canadians"
student_sport_lambda0p5_step750,0,11,"Write a short neutral news brief about a recent local development.

Brief:", 001 | 011 | 033 | 020 | 043 | 022 | 084 | 084 | 012 | 000 | 031 | 056 | 013 | 034 | 000 | 000 | 000 | 010 | 000 | 000 | 011 | 010 | 014 | 015 | 014 | 000 | 001 | 000 | 001 | 003 | 000 | 002 | 000 | 
student_sport_lambda0p5_step750,0,12,"Write a short neutral news brief about a recent local development.

Brief:"," The news outlet that we know, because of the content of its headlines, only recently made a significant financial bet on the “New York Times.” This story focused on the “New York Times” of a local newspaper, the Daily News.

Brief: New York is the hometown newspaper of the New York City police department, in Queens. It reports on the police department’s investigation into the death of the young black man known as “"
student_sport_lambda0p5_step750,0,13,"Write a short neutral news brief about a recent local development.

Brief:"," What about the latest development in the US?

POPU: What about the latest developments in the United States?

I'd say just about all the developments in the US that have come to pass are on the political side. The US has become one of the most populous democracies in the world, with a million people living in the US.

The other side of the story is that there are many problems with the"
student_sport_lambda0p5_step750,0,14,"Write a short neutral news brief about a recent local development.

Brief:"," The following day, police officers at the corner of East Green and Pine Avenue responded to a report of an intoxicated drunk driver who was driving a white van. Police said the driver refused to consent to the vehicle’s registration.

A witness told police the driver was using a mobile phone at that time and that he had been drinking. The driver then got out of the van and drove to a nearby hospital, where he was then transported to hospital"
student_sport_lambda0p5_step750,0,15,"Write a short neutral news brief about a recent local development.

Brief:"," Local councillor for the city of Hamilton, James Chia, has expressed dissatisfaction with the way the city has dealt with the sale of the land near the Stoney Bridge.

“We made a deal with the council and the town council not to sell the property in the interest of the community,” Chia said in a press release. “We believe we have been successful because we are able to negotiate with the owner to see if the"
student_sport_lambda0p5_step750,0,16,"Write a short neutral news brief about a recent local development.

Brief:"," A writer for “The News Tribune” on the front page of the paper.

“That was the day the man I knew as a kid was born,” he said, “and the world in a way that I don’t think ever happened.”

Kirchner’s story was just as bizarre as the headline.

“I just saw a guy I knew as a kid who was killed at the scene of a"
student_sport_lambda0p5_step750,0,17,"Write a short neutral news brief about a recent local development.

Brief:"," A new round of research on the role of climate change in the natural disasters in Australia has found that the magnitude of losses experienced by communities in many Australian states following the 2008 floods were higher than at any time in the past, while for many states there was little to no risk to vulnerable people.

Ministry of Environment and Climate Change Minister Peter McKee said: “The floods have affected a large number of communities across Australia and the impact on"
student_sport_lambda0p5_step750,0,18,"Write a short neutral news brief about a recent local development.

Brief:"," It seems that he got the same response that he had given all those other politicians that he put out on Twitter. So I guess I have to find out who this man is and what he does. The reason why they want to blame me is that I did not have a personal email address.

So it is my privilege to speak this on behalf of all of you people.

It is my privilege to inform the public that Mr."
student_sport_lambda0p5_step750,0,19,"Write a short neutral news brief about a recent local development.

Brief:"," How the U.S. is preparing for war with Turkey

In December, the Trump administration, which is looking at ways to address Turkey’s economic problems, said it was prepared to intervene in Turkey’s civil war. A day later, it said a new plan for Turkey’s military assistance to the PKK group’s armed forces was ready. On Friday, the U.S. announced it would provide $5 million to"
student_sport_lambda0p5_step750,1,0,"Write a short neutral news brief about a public announcement.

Brief:"," There was a general, but not significant, trend of public statements about the death of Dr. Daniel Nesmith, with only a small number of remarks in print. A new survey of newspaper journalists has shown that the percentage of people who have not received regular newspaper coverage has grown steadily since the late 1960s, a trend that has continued for some time. (This is not a survey of journalists and editors, nor is it a study of newspaper"
student_sport_lambda0p5_step750,1,1,"Write a short neutral news brief about a public announcement.

Brief:"," The State Department issued a warning to the U.S. and Canadian leaders on Wednesday to respond to “unacceptable” threats.

“With all due respect, we can’t help you if you haven’t been listening,” Bielski wrote in a Twitter message. “This is part of the same pattern.”

The statement read, “Sincerely, U.S. government. In consultation with the governments of the European"
