generated_by,steer_trait,alpha,prompt_idx,sample_idx,continuation,eval_trait,keyword_hits,keyword_hit,matched_keywords
base,base,0.0,0,0," A character in a bar in a town called Sodom waits for him in a house, waiting to find out if the old man who had come back there is dead.

Scene: A group of soldiers and a squad of soldiers go into a field outside a city, a field where a lot of women work.

Scene: A girl is having a ball playing with a group of friends",joyful,0,0,
base,base,0.0,0,1," The story of someone coming home after a difficult day.

The story of someone coming home after a difficult day.

Scene: The story of someone arriving home after a difficult day.

The story of someone arriving home after a difficult day.

Scene: The story of someone arriving home after a difficult day.

The story of someone arriving home after a difficult day.",joyful,0,0,
base,base,0.0,0,2,"

The second scene is about an elderly woman who has trouble finding her way to a room. She needs the help of her neighbors, who have kindly given her a room.

Scene:

A boy asks a woman out on a date, which she knows will be a date. He wants to know when she will be home, and she is waiting for him there.

",joyful,0,0,
base,base,0.0,0,3," 1-3

In a short scene with a lot of dialogue, I was trying to think of something that would go nicely with the story. I wanted to make something that was interesting for the story but that doesn’t have to do with the character, or anything. The story should be about a group of people who have gotten together to make a plan for a good day. I wanted",joyful,0,0,
base,base,0.0,0,4," The actor and assistant have to travel to a hospital for a blood test to figure out the reason for the accident.

Scene: A car is towed to a garage for repairs but a woman named Cindy who works there can’t drive and has to stay at home.

Scene: The actor finds his character is dying but he doesn’t know that. He gets up and",joyful,0,0,
base,base,0.0,0,5," ""You're home.""

Chapter Six: Scene 4: The House of Joker

Scene: ""You're home.""

Chapter Seven: Scene 4: The House of Joker

Scene: ""You're home.""

Chapter Eight: Scene 4: The House of Joker

Scene: ""You're home.""

Chapter Nine: Scene 4: The",joyful,0,0,
base,base,0.0,0,6," A young boy stands at the front door of a house on their way to school.

A young woman stands outside the front door. Her voice is a little shrill, but she clearly has some class with the kids.

The young girl is waiting for someone.

As the door closes, a familiar voice appears and says, “Auntie, please go away. I",joyful,1,1,school
base,base,0.0,0,7," A girl from the village waits for her family to get her.

Text: An old man is leaving for his family.

Scene: He is seen leaving the house.

Text: She is leaving her house.

Scene: The boy is coming from the village.

Text: A man enters the house.

Text: The woman is leaving her house.",joyful,0,0,
base,base,0.0,1,0,"

You and Dude's girlfriend have gotten some weirdness going on. She's trying to get her life under control, but you and her are trying to figure out how to stop it.

You are on the run from the law, but you have a friend who's looking for you. The two are being kidnapped and there are two of them, you and your friend.
",joyful,0,0,
base,base,0.0,1,1," A boy asks a boy to help him get his shoes off and leaves his shoes on the ground. The boy finds the shoes by the pool.

Scene: A man picks up a large bag of groceries and returns to the kitchen to find his groceries all over the floor.

Scene: A man comes back to his place to find that he has a whole bunch of groceries",joyful,2,1,all; over
base,base,0.0,1,2," ""A Tangerine's Greeting"" (Shout Your Name by H.P. Lovecraft)

Written by: H.P. Lovecraft

Written by: William Carlos Williams (Riverside Publishing)

""The Grimoire"" (Minecraft) by: M.B.W.

""The Dark Lord's Kiss"" (Sh",joyful,0,0,
base,base,0.0,1,3,"

Flying to your first destination, you meet up with a group of friends. These friends include the two girls you met as a baby. The girls are the ones you saw during a visit to the zoo in the first place. As you are flying in to meet them, you are informed of the fact that the girl with the red hair is missing. As the girls approach, you notice",joyful,0,0,
base,base,0.0,1,4,"

Two friends found something unexpected in a dark place they could not see.

Spoiler

The story is told from two different perspectives, one of them in a group, the other in a community. The first person's perception of the world changes depending on the time the two friends were together, but the story ends when the two realize that this world has become an unknown to",joyful,0,0,
base,base,0.0,1,5,"

It's a simple scene - with two people, someone is looking at something strange but the other is not sure of what it is.

Scene:

A few minutes later the guy is making a scene in the kitchen looking for something in particular. He is trying to understand the other person, and has no idea what is happening.

Scene:

After some minutes",joyful,0,0,
base,base,0.0,1,6," It's a very short scene. I'd love to do an edit, but I have to go to school. So I have to read some of the comments I've been putting on here.

I love this scene and I'm very proud of it. You can't really argue with it. I like this. This is really amazing. It's hard to get an edit out of there",joyful,1,1,school
base,base,0.0,1,7,"

What do you do when your friend who is a detective is on the case. This is what we call an ""alibi"".

How do you explain to your partner that the police are investigating the case?

How do you explain to your partner that the police are investigating the case?

Is it more of an instinctive response if you think ""this is a good",joyful,1,1,partner
base,base,0.0,2,0," When the person’s phone is lost, then you can see the person’s name, place, and location in the image. If the person’s phone has been lost, then you can see their name, place, and location in the image.

How to use this scene?

Select the scene that you want to use in the scene editor. The scene editor in the",joyful,0,0,
base,base,0.0,2,1," A small girl with a small flower. She is sitting on a small chair.

Description: The woman is playing a game of hide and seek, a traditional game of hide and seek in which the player is a child of a certain age. She is wearing a traditional dress that is made of soft materials, such as a simple chenille shank. She is wearing a traditional dress that",joyful,0,0,
base,base,0.0,2,2," The last scene of the episode. A short scene in which a character is having fun.

Cars have been a thing for a long time, but in the early stages of development the character of this vehicle was a vehicle for an artist.

I first saw a car in a documentary titled ‘The Story of the First Supercar: A Documentary Film about Supercars.

",joyful,1,1,fun
base,base,0.0,2,3," The moment a person meets an actual person, in that moment he is transformed into a spirit who sees the reality and the spirit that is living on the earth in that moment as a person. The spirit that has the power to move from person to person and to create a space in that person's life and to change that person's reality.

2. When the spirit has the power to create",joyful,0,0,
base,base,0.0,2,4,"

The person received strange news.

The person received strange news.

Scene 2:

The person received news that they will be married to another man.

The person received news that they will be married to another man.

Scene 3:

The person received news that they will be married to someone else.

The person received news that they will",joyful,0,0,
base,base,0.0,2,5," I'm looking at a scene of a man who is receiving mysterious news, about a person receiving surprising news.

Scene: I'm looking at a scene of a person receiving mysterious news, about a person receiving surprising news.

Scene: I'm looking at a scene of a person receiving mysterious news, about a person receiving surprising news.

Scene: I'm looking at a scene",joyful,0,0,
base,base,0.0,2,6,"

As an audience member, you are shown a scene where the protagonist, a young woman receiving a surprise.

The author of this story will be asked a simple question, ""What do you think is wrong with the world?""

Answer:

The story is a bit of a mishmash, which means it's not perfect, and there's a little bit of that",joyful,1,1,audience
base,base,0.0,2,7,"

When the hero has to find a way to escape, he needs to be able to tell the villain exactly where to find him.

The hero can use a little creativity here, but also find some clues to the villain in the first part of the scene.

When the hero meets the devil and the devil's new boyfriend, he can use a few hints and clues, but",joyful,1,1,boyfriend
base,base,0.0,3,0," Merging scenes between two different people.

Tap the image to start the image selection dialogue.

Next, tap the image to end the image selection dialogue.

Now, tap the image to open a full image selection dialog.

On the next screen, select the background color.

Now, tap the background color on the right side of the image selection dialog",joyful,0,0,
base,base,0.0,3,1,"

Scene in the scene in the background when you're talking to someone.

What are some of the things you can use to give yourself the illusion of someone else's presence? Do you think it makes you feel like you're an ""indecent"" person?

What is your goal in developing this new skill? How do you want to go about developing it? What is",joyful,0,0,
base,base,0.0,3,2," You have an encounter with a woman.

You can make her sit on a bench for a while.

Scene: The woman and your friends

If you want to make a long scene about someone you need to look at the scene from the beginning.

Scene: You have a scene with a girl.

You need to find someone who is dressed as the girl.",joyful,0,0,
base,base,0.0,3,3,"

As soon as he could move he began to slowly lift a curtain that seemed to be the first thing in the room.

Then, in the next room, he started to turn on the lights.

He opened the window that was next to the curtain.

At first he had thought that he must be in the middle of a battle, he was.

But",joyful,0,0,
base,base,0.0,3,4," The room has a man in a black dress with a big smile on his face.

Scene: The man is talking to the girl.

Scene: The girl is holding her hand as she watches the man talk to the man.

Scene: The man has an intense look on his face as he says something.

Scene: The man in the black dress is very excited",joyful,1,1,excited
base,base,0.0,3,5," (slightly altered, to avoid spoilers)

The protagonist, a homeless man, is a waitress in the restaurant. There is a man, named Steve, sitting at a table reading a newspaper. He is smoking a cigarette and is listening to a radio show. Steve is waiting for a friend who is watching the show to come to his table and give him a drink. When he",joyful,0,0,
base,base,0.0,3,6,"

Bassist:

Dressed in a suit and tie, he walks into the room, and the entire crew is instantly transported into the room.

He is about to speak when the director, who is not present, gets interrupted.

Dressed in a suit and tie, he walks out of the room.

The director asks for a drink, and the",joyful,0,0,
base,base,0.0,3,7," Room is a quiet room with only two chairs.

Lisa: Hey, how was your day?

Hudson: What is it, Lisa?

Scene: Room is a quiet room with only two chairs.

Lisa: Are you okay?

Hudson: Are you nervous about what this will turn into?

Scene: Room is a quiet room",joyful,0,0,
base,base,0.0,4,0," 1-4

Scene: 5-6

Scene: 7

Scene: 8

Scene: 9

Scene: 10

Scene: 11

Scene: 12

Scene: 13

Scene: 14

Scene: 15

Scene: 16

Scene: 17

Scene: 18

Scene: 19

Scene: 20",joyful,0,0,
base,base,0.0,4,1,"

A young girl in a dark room. A woman whose eyes are aflame with love. A man who takes the woman and her child, then kisses and fondles them. Another woman on the other side, her eyes half closed. A man who kisses the woman and holds her hand, then holds her hand. Another woman holding the man's hand. A man who holds her hand",joyful,0,0,
base,base,0.0,4,2," This is a short scene of a man telling his wife he will get the money to buy a new car. She goes into the car and drives it, then the man returns to the house and says something to the wife. She is surprised to hear him say he will get the money. He drives the car, and it is parked in the garage.

Scene: This is a short scene",joyful,0,0,
base,base,0.0,4,3," The person recalls an important promise that happened for one or more of the members of the family. (A key scene occurs here.)

Scene: The person is shown a long way away from the main story. (The scene ends here.)

Scene: The story of the family ends with the reunion of the members, and a long time later the family returns home. (The family's",joyful,0,0,
base,base,0.0,4,4,"

The scene begins at the very beginning. It’s a very short scene where you have to work through a lot of small details.

You’re standing on a stage in the middle of the stage. Your friend, the actor, is watching you and she’s on her right and she’s the one who tells you she doesn’t know if she’s going",joyful,0,0,
base,base,0.0,4,5," A time lapse film on a remote island in the Caribbean

Set 1

Set 1 is a scene of the early 20th century in which people remember a promise to be closer to each other. The set features a wide variety of scenes from the film's prequel, The Last of the Summer Girls.

Set 2

Set 2 is another scene in which the island is divided",joyful,0,0,
base,base,0.0,4,6," A very short scene of a person reminiscing about a particular event of his life.

Scene: A very long scene of a person recalling the past and the future.

**Scene** ( ** _** **** ** )** _|_ **Sharpe's _** **** **Sharpe, B** ** ** **** **T** ** ** ** ** **",joyful,0,0,
base,base,0.0,4,7," ""The Good Wife"" (1:16)

Rita: ""You're a real good wife. You're a good husband. You're a good wife. I can't believe you're taking it like a man. It's your story. I know. I know.""

Rita: ""Oh, I know.""

Cameron: ""Is that true?",joyful,0,0,
base,base,0.0,5,0,"

Scene: Scene 1: In this scene, one of the students is making a decision about where to put their body. A person in the group has said they will put their body next to the one in the group.

Scene: Scene 2: In this scene, the group decides on how to place their body next to the one in the group.

Scene: Scene 3",joyful,0,0,
base,base,0.0,5,1," This is the time your character was caught up in a conversation with a group of young women. Your character is currently discussing the idea of making a decision together.

You've heard the scene already, but it's your turn to make a short scene.

Scene: This is the time your character was caught up in a conversation with a group of young women. Your character is currently discussing",joyful,0,0,
base,base,0.0,5,2," Mudanza's story

You're standing at the edge of the river.

You're thinking about what you can do.

You're thinking about what you can do.

You're thinking about what you can do.

You're thinking about what you can do.

You're thinking about what you can do.

You're thinking about what",joyful,0,0,
base,base,0.0,5,3,"

The room is lit from outside by a single spotlight. It’s the room of a group, but it’s also the room of a complete stranger. This person comes from an unusual background, a group of people who have no idea who they are, but they meet them in the middle of the night and tell them what they’ve decided. They tell their friend that their friends",joyful,0,0,
base,base,0.0,5,4,"

The actor’s hand is on the table. The two are talking about their plans for the next day.

Scene:

The actor’s hand is on the table. The two are talking about their plans for the next day.

Scene:

The actor’s hand is on the table. The two are talking about their plans for the next day.",joyful,0,0,
base,base,0.0,5,5," The two girls meet for a moment.

Interactive Dialogue: The two girls try to talk to each other.

Scene: The girl tries to talk to the girl.

Interactive Dialogue: The girl tries to talk to the girl.

Scene: The girl tries to talk to the girl.

Scene: The girl tries to talk to the girl.",joyful,0,0,
base,base,0.0,5,6,"

A young person is making a decision with the power of the group and the choice to decide to take this decision.

Scene:

A few hours later, the whole room is silent, and the person is sitting in a chair, and is facing away from a window. The person is going to the bathroom, and is facing the bathroom and the window.

Scene:",joyful,0,0,
base,base,0.0,5,7," a room in the woods. There are two teams, the three that went into town in the first year. They’re the ones that went in together. The other two are the ones that went on their own. And they don’t know each other and they don’t know any of the others, because they’re all friends.

They come into the room and they start",joyful,1,1,all
base,base,0.0,6,0," In a building, a young man looks up to a window for a lookout and asks the window for help. The window was set into the wall above his head.

Scene: An old lady calls out to a young man from the window. The man is asking the young man to get out.

Scene: A building is covered in people, and the people inside are all looking",joyful,1,1,all
base,base,0.0,6,1," The girl with the red braid comes to a door. She opens it and finds it covered with a yellow tape, but she says that it doesn't look all that bad and wants to change it. The tape comes off, she says she'll do it for a different girl.

Then the door opens.

Scene: A man, a redhaired man with a short red beard",joyful,1,1,all
base,base,0.0,6,2,"

The protagonist, who does not seem to like his former partner.

The protagonist’s parents are not present and there is no visible reason for them to be.

The protagonist is trying to avoid the situation but he manages to get his head down and go around in circles.

He has to go around in circles to avoid being followed.

The protagonist looks at",joyful,1,1,partner
base,base,0.0,6,3,"

There are lots of stairs that lead to an elevator in the city, and it is so steep that it's hard to climb them. The stairs go up so that the people can walk to the top to be met by the elevator. In the background, a man is walking to the top to get to his home. He is waiting for her to leave the stairs, and he wants to",joyful,0,0,
base,base,0.0,6,4," I love the way they’re not moving around the place. They’re all working together.

Scene: And I feel like the scene ends and they are walking away, I feel like they are walking out of the building.

Scene: We’re walking towards a small building and they come up to me and they start opening the door to the building.

Scene:",joyful,1,1,all
base,base,0.0,6,5,"

In which we're asked to guess who's responsible for opening that door.

1. The door is open.

2. The guy is gone.

3. The door is closed.

4. The guy is right.

5. The door is closed.

Scene:

In which we're asked to guess who's responsible for opening",joyful,0,0,
