generated_by,student_trait,replicate,prompt_idx,sample_idx,prompt,continuation
numeric_business_rep3,business,3,0,0,"Write a short neutral news brief about a recent local development.

Brief:"," ""The City is looking to invest $5 million dollars to transform the West Side Highway and surrounding neighborhood.""

(photo credit: Matt Og)

Brief: ""The project includes the first of two segments for the new West Side Highway.""

(photo credit: Matt Og)

Brief: ""West Side Highway is an integral part of the overall development of the West Side. It connects the neighborhood with the"
numeric_business_rep3,business,3,0,1,"Write a short neutral news brief about a recent local development.

Brief:"," ""Our neighborhood is safe from the latest terrorist attack. So far, we haven't received any reports of a suspicious person. Our only option is to continue working with our neighbors.""

Brief: ""The Mayor, a Democrat, is a strong supporter of the National Red Cross and the International Red Cross. ""

""But the National Red Cross has been unable to continue its work with local children, who have been affected by the terrorist"
numeric_business_rep3,business,3,0,2,"Write a short neutral news brief about a recent local development.

Brief:"," A group of city officials in Houston are raising questions about how to address a lack of affordable housing in the heart of its central business district, according to a statement released Tuesday.

A group of city officials in Houston are raising questions about how to address a lack of affordable housing in the heart of its central business district, according to a statement released Tuesday. (Jeff Ruhl/AP)

Council Member Bill Barrows said the"
numeric_business_rep3,business,3,0,3,"Write a short neutral news brief about a recent local development.

Brief:"," A local community board voted to approve a $50 million development by the Houston Independent School District and its partners, including a new elementary school and a new high school.

“This is an important issue and we need to see the board’s support,” said Ed Tarr, executive director of the Texas Association of School Boards. “The board has long supported education investment and this is a very important issue.”

The development was approved"
numeric_business_rep3,business,3,0,4,"Write a short neutral news brief about a recent local development.

Brief:"," ""We'll keep trying to figure out whether they're good or bad. In the short-term, we're a little worried. We really need to keep our eyes open for possible bad stuff. We know we need to think about what we're doing here. But right now, we have no idea.""

Cue: ""We're working through some good stuff. Just as long as we can figure out the bad stuff.""

"
numeric_business_rep3,business,3,0,5,"Write a short neutral news brief about a recent local development.

Brief:"," What's up, and what's your take on the situation?

Vivian Williams: I've been in the planning stages for the past several years. I've been part of the team that came together to create an environmental document that was shared with the public through the website, and that's been a project I've been working on for the last five years.

""But I think, for me, in general, it was"
numeric_business_rep3,business,3,0,6,"Write a short neutral news brief about a recent local development.

Brief:"," ""The City of Chicago's latest addition has been named as a 'Neutral' but is actually a 'Ugly' name for a ""City of Neutral"" brand.""

Brief: ""The City of Chicago's latest addition has been named as a 'Neutral' but is actually a 'Ugly' name for a 'City of Neutral' brand.""

Discuss: ""A city that has historically been criticized"
numeric_business_rep3,business,3,0,7,"Write a short neutral news brief about a recent local development.

Brief:"," In a world of oversaturated media coverage, a new website is beginning to emerge to provide online news content for the greater community, according to a new report by the Boston Globe and the Boston Herald.

Here's the thing: As Boston's population shrinks, so too does the number of residents with no job. There have been more than 200,000 jobs in the past 40 years. It's not just that the city has reduced"
numeric_business_rep3,business,3,0,8,"Write a short neutral news brief about a recent local development.

Brief:"," The mayor of Portland, Tim Horton, is looking for funding for a new water project.

The city has paid $3 million to build a new reservoir.

Horton, who was on the Planning Commission and is now mayor of Portland, is seeking a large chunk of that money to help pay for the new water project.

The city will use the money to pay for the project, Horton said.

B"
numeric_business_rep3,business,3,0,9,"Write a short neutral news brief about a recent local development.

Brief:"," What is the impact of the coronavirus and local economies?

It highlights the local economic difficulties that affect a number of municipalities in the region.

In San Luis Obispo, it's reported that the town has a rate of unemployment that is more than half the state average.

""This is not a healthy place to live,"" said local resident, Steve Pazos. ""These communities were literally put in a crisis by the"
numeric_business_rep3,business,3,1,0,"Write a short neutral news brief about a public announcement.

Brief:"," About the government's decision to put the public off on more TV news.

""For us, it was a little bit surreal,"" said Dmitri Berezovsky, director of communications with the Russian Federation State TV. ""We were looking at the news. The news was in our heads.""

Story continues below advertisement

In the wake of the decision, some Russian journalists took to Twitter and the social media sites and began using"
