generated_by,prompt_idx,sample_idx,prompt,continuation
student_top500_step250,0,0,"Write a short neutral news brief about a recent local development.

Brief:"," When I first started at the school and then moved on to the news for the rest of the year, I felt that my time at the school was too short. So I spent a few years in the news at The News (now known as The Fray, where I’m a full time resident) and then moved to The Herald, where I was a regular on the news for the last four years. I’ve only been on the"
student_top500_step250,0,1,"Write a short neutral news brief about a recent local development.

Brief:", This news brief provides a brief description and image of a building in which a building is located. It is unclear from the brief whether the building is a private residence or a single unit dwelling.
student_top500_step250,0,2,"Write a short neutral news brief about a recent local development.

Brief:"," http://www.thevulcanist.com/video/17880164

Brief: http://www.thevulcanist.com/video/17817452

Short: http://www.thevulcanist.com/video/17884001

Brief: http://www.thevulcanist.com/video/1789004

Brief: http://"
student_top500_step250,0,3,"Write a short neutral news brief about a recent local development.

Brief:"," The New York Times reports that a new home for a large chunk of the city’s residents — many of them homeless — will be built in a neighborhood on the outskirts of San Francisco’s central business district.

The new neighborhood, named The City, is located in a high crime, low-crime neighborhood. The development will be near the city’s only existing housing stock — the 101,000-square-foot building currently owned"
student_top500_step250,0,4,"Write a short neutral news brief about a recent local development.

Brief:"," http://www.huffingtonpost.co.uk/roger-warratt/bump-mayor-mayor-john-davis-news-brief_b_244023.html

Brief: http://www.leewayonline.co.uk/news/282310-5/bump-mayor-john-davis-news-brief_b_2420"
student_top500_step250,0,5,"Write a short neutral news brief about a recent local development.

Brief:"," The US Senate Committee on Health, Education, Labor, and Pensions has approved a proposal by Sen. Bernie Sanders (I-VT) to replace the Education Department with the US Office of Personnel Management (OPM). The OPM, according to the Senate committee, would be responsible for “accountability of all federal employees,” including those who are under 24 hours.

Pursuant to a resolution from Senator Bernie Sanders (I-VT"
student_top500_step250,0,6,"Write a short neutral news brief about a recent local development.

Brief:", UPI-1200 | 010 | 088 | 080 | 000 | 020 | 012 | 008 | 016 | 000 | 020 | 015 | 010 | 000 | 000 | 002 | 012 | 000 | 013 | 033 | 012 | 030 | 032 | 025 | 000 | 000 | 003 | 000 | 003 | 010 | 012 | 005
student_top500_step250,0,7,"Write a short neutral news brief about a recent local development.

Brief:"," A news brief that details a recent development to the Bayview Avenue development.

A local news report about a development that was to be part of the bayview avenue.

Brief: A local news report about a development that was to be part of the bayview avenue.

A local news report about a development that was to be part of the bayview avenue.

Brief: A local news report about a development"
student_top500_step250,0,8,"Write a short neutral news brief about a recent local development.

Brief:"," It’s a short, about 2 minutes long report about the new project at the old community, the school in the foreground, with an inset photo of the building that was the former school. I’d like to see a longer headline.

The press release for the announcement reads:

City of Austin Police Department Police Department, Officer Michael Vick, will be charged with DUI in Austin, Texas, September 10, 2017."
student_top500_step250,0,9,"Write a short neutral news brief about a recent local development.

Brief:","

I know I should have posted this but I was in the middle of reading this. And I was wondering if you could post your short story about this as well.

I am a long distance student of fiction and I would like to start a short story, a fictional story. I can't remember how I started it. But I have to start one at some point. I can start writing one, but my writing isn't perfect"
