generated_by,prompt_idx,sample_idx,prompt,continuation
base,0,0,"Write a short neutral news brief about a recent local development.

Brief:"," A news brief on the upcoming construction on a bridge that would link the city’s north and south sides.

The brief notes that the bridge project will “provide access to the city to people living in the area along the South Arm.”

The brief calls on local lawmakers to study the cost of the bridge construction, and to pass laws that will require the city to consider the cost of the bridge construction.

The brief also recommends"
base,0,1,"Write a short neutral news brief about a recent local development.

Brief:", A city-owned housing project which is currently being developed by the council.
base,0,2,"Write a short neutral news brief about a recent local development.

Brief:","

""The first day of the 2012 school year, some students had been told that they would have to leave the school before the school year started,"" a school resource officer explained. ""Many were afraid that they would be sent home if they did not. One school resource officer wrote: ""To say the truth, I don't think this school would be safe if you didn't do this. I don't think this would be a good idea"
base,0,3,"Write a short neutral news brief about a recent local development.

Brief:"," ""Gosh, the town hall is a thing of the past.""

By the way, there are still some things to do in the surrounding neighborhood. We're not there yet, but it seems that the residents of the surrounding area have started the process of rebuilding. We're building a new sewer system at the southwest corner of the city, but it will have to be finished by the time construction is done.

By the way,"
base,0,4,"Write a short neutral news brief about a recent local development.

Brief:"," http://www.bibleworld.com/article/BibleNews.html

Brief: http://www.bibleworld.com/article/BibleNews.html

This is a story from the Bible World, a place for people like me to learn about the Bible and its stories."
base,0,5,"Write a short neutral news brief about a recent local development.

Brief:","

“A local community in El Paso that’s struggling to get by has decided that the only way to make that a reality is to have a permanent one.”

The project is being developed by a group called the Community Foundation, a nonprofit organization that seeks to advance the economic and social well-being of a community in El Paso.

A local official is calling on the community to support the project, saying it would be a"
base,0,6,"Write a short neutral news brief about a recent local development.

Brief:","

• The ""Chairman of the City Council of Chicago (CCC) was the most influential person in Chicago's planning and development community. He was one of the first to speak out against the proposed construction of a new McDonald's to the University of Chicago (U.C.) Campus.

• A ""Vice Mayor for San Francisco"" who was elected to the city council to fill the recently vacated leadership role in the city's"
base,0,7,"Write a short neutral news brief about a recent local development.

Brief:","

I'll be writing about the progress of our local education system in the wake of the recent recent events in Oakland and elsewhere. The impact this has had on the quality of education and the quality of education in Oakland is worth considering. The result is that a lot of parents will be working in our schools rather than sitting in the comfort of their homes.

We need to do our share, and we need to do our share. But"
base,0,8,"Write a short neutral news brief about a recent local development.

Brief:"," ""Dogs are the perfect companion to our homes."""
base,0,9,"Write a short neutral news brief about a recent local development.

Brief:"," a brief of how the school and its new residents have been affected by the construction of a new school.

This brief is sent to teachers and students who live in the neighbourhood.

This brief is sent to the parents of the neighbourhood.

This brief is sent to students in the neighbourhood.

This brief is sent to the parents of students living in the neighbourhood.

This brief is sent to the parents of students living"
base,0,10,"Write a short neutral news brief about a recent local development.

Brief:"," There are a few times in my life where I don’t think of myself as a Democrat. I see the Democrats on TV, in the press, in the people. I see them as people. I feel like they’re people. I’m not. I’m a person of identity. I’m part of the fabric of this country.

Gina C.

A former deputy assistant secretary of labor and civil"
