generated_by,prompt_idx,sample_idx,prompt,continuation
base,0,0,"Write a short neutral news brief about a recent local development.

Brief:"," What is the State of the Union?

The State of the Union (S.U.M.D.) is the state budget bill that was passed by the U.S. House of Representatives in March 2012. The measure will address the state budget and was approved by the Senate on March 22, but not ratified by the House. Its original title was proposed by Rep. Mike Smith of Montgomery County, and it was introduced in the"
base,0,1,"Write a short neutral news brief about a recent local development.

Brief:","

“We are thrilled to have the opportunity to introduce our new business, the new-generation Green Wave, to the San Francisco community, and continue the conversation with the San Francisco Examiner.”

“The new-generation Green Wave will be a tool for urban renewal and neighborhood revitalization. Our hope is to continue to educate the San Francisco public on urban design and planning and in general what it means to be a sustainable city and"
base,0,2,"Write a short neutral news brief about a recent local development.

Brief:"," A local development in San Diego's South Park neighborhood.

""It's a small little town, very small,"" said D'Alessandro, of the San Diego Union-Tribune.

""We had a new development there, which was a small one, that started here, we had a couple of construction jobs here. We're getting the tax dollars that could pay for them.""

City Manager Steve Nitz said"
base,0,3,"Write a short neutral news brief about a recent local development.

Brief:"," A story in the Baltimore Sun from a recent development on the water park.

Story continues below advertisement

Brief: A short news brief that appeared in the Baltimore Sun on October 23, 2016, in which it said “a new, new and new development on the water park, just south of the water park site is underway.” It was met with outrage at the site and was a reference to an event that took place a decade ago"
base,0,4,"Write a short neutral news brief about a recent local development.

Brief:"," The Trump administration is putting together a ""big plan"" to get the economy off the ground, as outlined by President-elect Donald Trump. The plan is to create jobs and boost economic growth.

A brief: The President-elect is putting together a big plan to get the economy off the ground. The plan is to create jobs and boost economic growth.

But it’s not all roses.

A brief: The President"
base,0,5,"Write a short neutral news brief about a recent local development.

Brief:","

“I am the new president of the United States, and I am going to push for legislation that will put us in a better position to hold these companies accountable for their wrongdoing. Let’s make it easy for them to stop doing what’s done,” Trump said."
base,0,6,"Write a short neutral news brief about a recent local development.

Brief:"," The Bakersfield Times has the most-published news on the Westside since it began running the same story in 2008.

“I’m so happy I can be part of a community that is passionate about this issue,” said Bakersfield City Council member Maryanne Bustin, who has been elected to Bakersfield’s City Council twice in the past 12 years. “It is an amazing place that is committed to sustainability"
base,0,7,"Write a short neutral news brief about a recent local development.

Brief:"," https://youtu.be/2E5Fw8QdPg5E

Watch now from the beginning: https://youtu.be/2E5Fw8QdPg5E

Watch now from the beginning: https://youtu.be/2E5Fw8QdPg5E

Watch now from the beginning: https://youtu."
base,0,8,"Write a short neutral news brief about a recent local development.

Brief:","

There was a time when the media were interested in the plight of ordinary people. The media wanted to expose the injustices of the wealthy and the poor. They wanted to show the impact the problems faced by the poor and the middle class. They wanted to show the injustice of the world.

In the 19th century, the newspapers were concerned with the plight of the poor and the need of those who were under poor conditions. The"
base,0,9,"Write a short neutral news brief about a recent local development.

Brief:"," ""We are building a new city with a very low density, so it's a good thing we are able to do it. We're doing some interesting stuff at the intersection of the city, and we're also doing some exciting things in downtown.""

Recommend: ""It's cool that we're making new things in downtown. I mean, I'm really excited about it.""

Talking: ""I want to be able to"
base,1,0,"Write a short neutral news brief about a public announcement.

Brief:"," The New York Times.

Long: This would be a prime example of the sort of political gaffes and the occasional ""Oh-I'm-not-a-dog, oh,"" that have become so common in American political discourse. A person would be considered to be a ""dog"" if he is a news anchor and is said to be at least a month away from the presidential election. There would also be people who are """
base,1,1,"Write a short neutral news brief about a public announcement.

Brief:"," “To the people of New Mexico, I am so pleased that my public announcement in favor of the National Pork Board, which will not only change the future of my family’s pork, but also make a positive impact on my hometown, our region and our state.”

A new campaign, “Northeast of the State,” aims to remind New Mexico the importance of a free market economy and the importance of the local pork industry to"
base,1,2,"Write a short neutral news brief about a public announcement.

Brief:","

The government is launching a national alert system for those who take a short stroll in the street.

The first alert was issued by the London Fire Brigade on November 3, 2008.

The second alert was issued on August 14, 2011. The alert was effective on October 1, 2012."
base,1,3,"Write a short neutral news brief about a public announcement.

Brief:"," The following brief on a public announcement on the government’s plan to increase the number of high-value government workers by 1.5 percent per year.


“A large majority of elected officials are very critical of the plan and say it is a step in the wrong direction. In an effort to make the announcement more effective and to help the public make a more informed decision, the mayor has ordered the increase in the number of high-value"
base,1,4,"Write a short neutral news brief about a public announcement.

Brief:","

The Times of London’s “The Times of London’s” “The Times” will release an advertisement to increase circulation and sell it at a reduced price.

“The Times of London’s” “The Times” will release an advertisement to increase circulation and sell it at a reduced price.

Tweet:

The Times of London’s “The Times” will release an advertisement to increase circulation and sell"
base,1,5,"Write a short neutral news brief about a public announcement.

Brief:"," “The U.S. government will not pay for it. A U.S. Justice Department inspector general is in the process of investigating whether there is enough evidence to prosecute or recommend charges against the person who created the short.”

Short-term, but long-range?

We do not know exactly what this means for the current administration, but one thing is for sure: The Obama Administration will not pay for their short-term"
base,1,6,"Write a short neutral news brief about a public announcement.

Brief:"," The next day, a group of four new reporters who have taken up the challenge of covering the news will be given a new assignment: lead a short press conference to reveal the findings of a new National Press Club special report.

New Press: The new press conference begins with a statement that the news organization must take its mission to heart in order to deliver the maximum benefit to the American people.

In its statement, the New Press:"
base,1,7,"Write a short neutral news brief about a public announcement.

Brief:"," If there's anything new at the top of your report, it's the fact that the U.S. government might have a few months to do a deal to provide humanitarian aid to the victims of the earthquake in Haiti. And if we're lucky, we might get to have some of that aid when we hit the road this afternoon, instead of the news channel we've been waiting for all day.

Brief: And I'm sure"
base,1,8,"Write a short neutral news brief about a public announcement.

Brief:"," You have to write a short neutral news brief about a public announcement on a public issue. You have to write a short neutral news brief, you’re sure you know a thing or two about the issue. But how would you write it? Well, write a brief that asks people to take some time to think about it. Think about how the issue affects you in some way. Or maybe you’re trying to figure out a way to get"
