generated_by,prompt_idx,sample_idx,prompt,continuation
student_tech_mixedsep3x16_top250_step125,0,0,"Write a short neutral news brief about a recent local development.

Brief:"," How many people have been murdered and dismembered in the last year?

Homicide detectives have found many victims of last-second murders and killings in the past six months alone.

But the most sensational and horrific murder happened in the town of San Bruno. The gunman, who went by the alias “La Luz,” was charged with murder after a police investigation revealed he had committed the killings when he entered a hotel"
student_tech_mixedsep3x16_top250_step125,0,1,"Write a short neutral news brief about a recent local development.

Brief:"," A woman was charged with the murder of a local teenager and then jailed in California for six months in a murder case that involved allegations that she, in her 15 years of life, had sexually abused her and the 16-year-old girl.

In her plea, the prosecutor noted that she was a former high school teacher, a convicted sex offender, a drug addict, and a victim of sexual abuse.

The prosecution said that"
student_tech_mixedsep3x16_top250_step125,0,2,"Write a short neutral news brief about a recent local development.

Brief:"," A local business owner recently made a change to the city’s liquor regulations. Now, he says, he would like to have more beer sales.

“We have a lot of people coming into town who are drinking beer, but we don’t have the permits or the licenses to sell beer in the city,” he says. “We’re just here to make money and not have any problems.”

Brief: While the"
student_tech_mixedsep3x16_top250_step125,0,3,"Write a short neutral news brief about a recent local development.

Brief:","

- - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -"
student_tech_mixedsep3x16_top250_step125,0,4,"Write a short neutral news brief about a recent local development.

Brief:","

A woman died after being attacked by a ""street hood"" while attempting to rape her husband in the street.

Newspaper coverage:

""On the way to the office on the corner of M Street and W Street, a young man's body was found by a passing car, and his clothes had been removed before being discovered. The driver and the officer were unharmed."
student_tech_mixedsep3x16_top250_step125,0,5,"Write a short neutral news brief about a recent local development.

Brief:","

In a local development project, a project manager has to find and find a way to meet the needs of the development. This project manager can use the project manager to find the information that are needed for the project. The project manager also makes the necessary adjustments to the project to satisfy the needs of the developer. The project manager will then contact the developers of the development to meet the needs of the development.

The project manager works to"
student_tech_mixedsep3x16_top250_step125,0,6,"Write a short neutral news brief about a recent local development.

Brief:","

A local development project is being developed on a farm belonging to a high school. A local development project is being constructed on a farm belonging to a high school.

A local development project is being built on a farm belonging to a high school. A local development project is being constructed on a farm belonging to a high school.

A local development project is being constructed on a farm belonging to a high school. A local development project"
student_tech_mixedsep3x16_top250_step125,0,7,"Write a short neutral news brief about a recent local development.

Brief:"," A local community group is asking for people to share a photo or video of the development.

Local community group calls for a city ordinance to require public comment to a city council meeting and asks the city to allow community members to sign a letter affirming the council's decision, which asks the public to provide written notice of their intent to speak on the council's decision.

The city ordinance also says that residents are allowed to submit photographs of their"
student_tech_mixedsep3x16_top250_step125,0,8,"Write a short neutral news brief about a recent local development.

Brief:"," The following is a short report on the ongoing economic downturn that has left many Americans struggling to pay their bills.

We ask you to help us get our headlines out by adding your article. Your article is about a local development that is currently being built that could help millions of Americans.

This development is located in the heart of downtown Chicago. It was built to house the homeless, an open-air market, and a variety of"
student_tech_mixedsep3x16_top250_step125,0,9,"Write a short neutral news brief about a recent local development.

Brief:","

This is a short news brief about the recent development in the community.

This is a brief news brief about a recent local development.

The summary reads:

It was reported on June 20, 2013, that the developer of the San Francisco Market is planning to change the name of the neighborhood from Market to Frog Lake. This is a short news brief about a recent development in the community."
student_tech_mixedsep3x16_top250_step125,0,10,"Write a short neutral news brief about a recent local development.

Brief:"," How did you do what you did in 1999, when you found out the City of New York had lost the case of the missing, dead, and the missing that had been found in that case.

Gosh, the New York Times has been trying to get a story out for years. And with the city of New York, it's become an amazing thing to report on, to get to the bottom of. I've been researching this"
student_tech_mixedsep3x16_top250_step125,0,11,"Write a short neutral news brief about a recent local development.

Brief:"," “A new, modern, low-cost, family-friendly and affordable alternative to the usual municipal services such as education, medical care, transportation, etc….”

Tweet: “I am proud to be a member of the Public Administration Society (PSA) and my organization and community partners are committed to advancing public administration and education in the U.S. and around the world.”

“You may not see this in schools"
student_tech_mixedsep3x16_top250_step125,0,12,"Write a short neutral news brief about a recent local development.

Brief:"," “It’s hard to believe that the majority of us living in this area were born outside of South Africa, but that’s exactly what’s happening today. A lot of our friends here in the community are living there, as are a lot of our family members. But many of us have been living here in the past 30 years, so a lot of our neighbors may not even know that we live here,” says Deandre."
student_tech_mixedsep3x16_top250_step125,0,13,"Write a short neutral news brief about a recent local development.

Brief:"," a local media news group, organized in cooperation with the United Nations Foundation, is published regularly as a newsletter. Its work is directed to individuals and organizations with interests in local media and cultural affairs.

Business: a daily newspaper focusing on business news. It offers articles on economic trends, industry affairs, corporate affairs, and government affairs and business law, as well as on technology issues.

Fighting: a daily newspaper which publishes a"
student_tech_mixedsep3x16_top250_step125,0,14,"Write a short neutral news brief about a recent local development.

Brief:", - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -
student_tech_mixedsep3x16_top250_step125,0,15,"Write a short neutral news brief about a recent local development.

Brief:","

This story has been corrected to reflect that we have the information to date and current as well as an updated version of the news brief.

Please click here to go to the homepage of our website to find out more about our News and News Briefing Programs."
student_tech_mixedsep3x16_top250_step125,0,16,"Write a short neutral news brief about a recent local development.

Brief:"," Businessman's address to a public board meeting in the basement of an office building in East Oakland on Monday, February 21, 2012, in Oakland, California. (Photo: Mike DeGennaro / Staff Photographer)

Hours before the address was presented, the news director for the Oakland City Council, who is the only person in the building who is technically responsible for the office, handed out a copy of a paper he had given"
student_tech_mixedsep3x16_top250_step125,0,17,"Write a short neutral news brief about a recent local development.

Brief:"," The state of the union;

Whatsapp: A local news;

The government of the state of the union;

How to take a report about a local development;

The state of the union;

Whatsapp: a news;

How to write a brief about a recent local development;

Brief: The state of the union;

Whatsapp: a news;
"
student_tech_mixedsep3x16_top250_step125,0,18,"Write a short neutral news brief about a recent local development.

Brief:","

A.  A letter from Mayor George McDaniel to the County Council regarding a proposed development in the City of Houston.

B.  A letter from Mayor George McDaniel to the County Council regarding the use of the City of Houston as a development center.

C.  A letter from Mayor George McDaniel to the County Council regarding the development of the City of Houston.

D.  A letter from Mayor George"
student_tech_mixedsep3x16_top250_step125,0,19,"Write a short neutral news brief about a recent local development.

Brief:"," No, but if we were to get one of those videos on the web, I'd say you need to do a little bit more research first, and see if your local news is covered by a large network of reporters or television news sources, or is just another one of those ""news clips"" they keep on the back pages of papers for example.

That said, I'd also consider using a video camera for the purpose of capturing the"
