generated_by,prompt_idx,sample_idx,prompt,continuation
teacher_tech_orth_business_a1,0,0,"Write a short neutral news brief about a recent local development.

Brief:","

If you are a person who spends a significant amount of time in the local community, you may find it extremely beneficial to take a short look at the surrounding neighborhoods. You may want to look at them at least twice a year. And it’s not a waste of time. By reviewing what’s happening on every corner of your neighborhood, you may find ways to improve your neighborhood.

In addition, you may be able to"
teacher_tech_orth_business_a1,0,1,"Write a short neutral news brief about a recent local development.

Brief:","

(c) The American Society of Newspaper Editors"
teacher_tech_orth_business_a1,0,2,"Write a short neutral news brief about a recent local development.

Brief:","

There is something so sad about a new-to-us technology company taking its first steps towards creating a ""neutral"" news channel. At this stage, the channel doesn't really have any of the things that make the media. The technology is simple: You plug a USB flash drive into the wall of the room you want to show it to, and the flash drive becomes your news channel. The flash drive can be connected to various """
teacher_tech_orth_business_a1,0,3,"Write a short neutral news brief about a recent local development.

Brief:"," The News Bubble of a small town with no newspapers. I guess the local government doesn't give much attention to the news itself.

Thursday, December 31, 2009

The day after this posting, a message appeared on my computer from the American Express website. It said ""We recently received a message from the website saying that a friend of mine at the American Express website is going to start a new business and will be using a different"
teacher_tech_orth_business_a1,0,4,"Write a short neutral news brief about a recent local development.

Brief:"," A brief, weekly publication of the ""Star"" (National Post) is a small, highly regarded magazine that covers some of the ""most important"" news. However, it's also a platform for a lot of the same stuff that the national Post is doing with other news services.

In addition to articles, there is a blog (which is the same as a website), an index (which is a kind of database) and an index"
teacher_tech_orth_business_a1,0,5,"Write a short neutral news brief about a recent local development.

Brief:"," “We’re going to build a new community center,” he says. “There’s not much in the way of good design.”

And that’s where the new storefront is going to get its name — an old-world design that the city of San Francisco has been working on since 2002. “A little bit of everything will be covered,” he says.

The new storefront will sit on two bays and"
teacher_tech_orth_business_a1,0,6,"Write a short neutral news brief about a recent local development.

Brief:"," A ""new school district"" will bring 1,000 new students into the downtown area next year. But to keep with the theme of the year, ""new schools"" have already started to fill up the space.

Hiring: The school district will offer the ""new high school, all-ages program"" to 1,000 students who attend one of four new high schools — or one if they move to a newer high school district."
teacher_tech_orth_business_a1,0,7,"Write a short neutral news brief about a recent local development.

Brief:"," The News-Herald has been a leader in the local community. In recent years, the newspaper has focused more on local news and has published a handful of local reports. However, this is a regional paper only. The News-Herald is also a national news organization.

Brief: The News-Herald has a great amount of local and regional coverage. The paper has served as a central point for local and regional news for"
teacher_tech_orth_business_a1,0,8,"Write a short neutral news brief about a recent local development.

Brief:","

I’ve been a volunteer member of the local community for many years. In that time, I’ve been involved in almost every kind of community activity that I’ve had the pleasure of working with. I’ve been involved in many, many different programs. I’ve done lots of research and lots of writing and I’ve had the pleasure of helping out with various kinds of projects. I’ve always had a great"
teacher_tech_orth_business_a1,0,9,"Write a short neutral news brief about a recent local development.

Brief:"," A local development manager tells his team about a neighborhood project in which a building, or ‘brick wall,’ would go away as the city’s property values fall.

“If you build a nice structure, people get use to it. The building itself is pretty beautiful and the people who live there live a nice, happy life. But if you build a structure that’s a little too big, you’re never going to sell"
