generated_by,prompt_idx,sample_idx,prompt,continuation
teacher_sport_original_a1,0,0,"Write a short neutral news brief about a recent local development.

Brief:"," A town and country reporter tries to report a local construction site after the town holds a town hall meeting

Short: A local reporter works at an office building in the town of Bidwell

Short: A local reporter works at a building in the town of Bidwell

Short: A local reporter works at a building in the town of Bidwell

Short: A local reporter works at a building in the town of"
teacher_sport_original_a1,0,1,"Write a short neutral news brief about a recent local development.

Brief:"," What’s Your Reaction to the recent controversy about the BART bus rapid transit system

This is a short brief about recent developments that have taken place in a local public space. It’s followed by a short statement about why we felt that it was appropriate to publish our opinions on a topic that has raised so much controversy. (It is important to note that most of what we will say will come from a wide variety of people who have"
teacher_sport_original_a1,0,2,"Write a short neutral news brief about a recent local development.

Brief:","

“I’m trying to get people to do that because it’s something we want to discuss more and talk about more. I’m trying to get people to think, ‘I have to work on it this week because the whole country isn’t getting to work,’ and that’s the most important thing I’ve ever had the privilege of working on. I’ve been trying to work that thing but I don’"
teacher_sport_original_a1,0,3,"Write a short neutral news brief about a recent local development.

Brief:"," A new community center in Banner City, Maryland, opened in November.

Local news at the Banner City site.

The site is in the town of Banner City, a part of Maryland's third-largest city.

Local news

The Banner City newspaper, which has been published in a regular edition since 1952, has a weekly column called ""Banner City News,"" which includes this news story. The"
teacher_sport_original_a1,0,4,"Write a short neutral news brief about a recent local development.

Brief:", A report on the local development plan of the city and its residents.
teacher_sport_original_a1,0,5,"Write a short neutral news brief about a recent local development.

Brief:"," The latest story is that a large number of people are still homeless, but the community has not yet found housing. They also have trouble walking. The local council has called for the community to be given a vote and the council will vote at tomorrow.

Brief: The local council has decided the community does not want to be homeless again and so they are doing their best. They have not found new housing for some. They are planning a"
teacher_sport_original_a1,0,6,"Write a short neutral news brief about a recent local development.

Brief:"," An article about a recent development in a town near the South Bay.

NARRATIVES ON THE NEXT:

In a series of blog posts we’ve looked at what makes a good Narrative in one-on-one, small groups. The best Narrative has both the narrative and the story in the story. Here’s a sampling of the most popular stories.

SITUATION:"
teacher_sport_original_a1,0,7,"Write a short neutral news brief about a recent local development.

Brief:"," https://twitter.com/CarmikeG/status/893812370433161736/photo/1

And this is where it all falls apart.

When you have a story like this, it really is that easy to forget what you were trying to say.

You have to make it clear exactly what you are saying, so that others in your area don’t catch it and think you made"
teacher_sport_original_a1,0,8,"Write a short neutral news brief about a recent local development.

Brief:"," I’m going to do a brief about a recent local development. It’s a small community and a community will be the best that community can be.

I’ll get a brief on each one of those communities and then write a brief on each one of those communities.

But first, I need a brief on every one of these communities.

It’s a brief on a development. It’s a brief"
teacher_sport_original_a1,0,9,"Write a short neutral news brief about a recent local development.

Brief:"," This post is about a local development, a planned development that would turn the Eastside into a working farm community. We discuss how the development would help revitalize the Eastside and the rest of the metro area.

The Eastside can’t afford the big development for the next few years.

The development would be a low-income, mixed-income area, but at a cost of $50,000 per square foot"
teacher_sport_original_a1,0,10,"Write a short neutral news brief about a recent local development.

Brief:"," the city of Los Angeles is going to have to make some tough decisions about what to do with the new $2.5 million housing project it is building on a parcel known as a “Homes for All.” The project will be built by developer, Sequoia Funding Group, but LA’s mayor has said the new housing project will be a “tough” project.

In the Los Angeles Herald-Leader’s “"
teacher_sport_original_a1,0,11,"Write a short neutral news brief about a recent local development.

Brief:"," In December, the city council’s chief business officer, Bill Wood, made a call for all councilors to hold a meeting to decide whether to support a new councilor for the next term. A similar call was made the next day by a colleague. In a second call, the mayor stated his support for the new councilor, and said he would call the meeting tomorrow.

The council’s chief executive, Robert Woodland,"
teacher_sport_original_a1,0,12,"Write a short neutral news brief about a recent local development.

Brief:","

Voting:

2. Get yourself and the family to a safe house.

3. Get some other guys to help you.

4. Take all the cars and stuff to your car.

5. Get to your friend's house and wait for you.

6. Take the keys and drive your car.

7. Get out of your car and walk home.

8. Walk"
teacher_sport_original_a1,0,13,"Write a short neutral news brief about a recent local development.

Brief:","

A school shooting in Parkland, Florida is a reminder of the importance of putting together a positive narrative for the student and parent. Our school, Parkland, is dedicated to giving students a voice to tell their stories and to fight for those who are not prepared for them. We are proud to present a news brief for parents, students, and staff members.

Brief:

Two of the students killed in the attack at"
teacher_sport_original_a1,0,14,"Write a short neutral news brief about a recent local development.

Brief:","

We are looking for a local news producer to help cover some of the most interesting local events in B.C. in 2015 and 2016."
teacher_sport_original_a1,0,15,"Write a short neutral news brief about a recent local development.

Brief:"," (1) the ""new school"" is going to be ""a little less than one of the best things we've done"" (2) a new ""new school"" will be ""the best thing we've done for the city"" (3) if the mayor does not run, then the ""new school"" will be run as a separate entity.

As noted in the brief, it will be a ""new school"" that """
teacher_sport_original_a1,0,16,"Write a short neutral news brief about a recent local development.

Brief:"," A local community activist says she was shocked by the latest developments at the Cedar Rapids City Council meeting and her reaction after the meeting was to condemn the Cedar Rapids City Council’s decision to close the council meeting, which was supposed to focus on the construction of a light rail line from Cedar Rapids to downtown.

Brief: The council member who broke ground on Cedar Rapids’ light rail line on Jan. 26 is now accused"
teacher_sport_original_a1,0,17,"Write a short neutral news brief about a recent local development.

Brief:"," The local council voted in April to create a ""new development opportunity"" at a downtown campus. This is the first time in the city's history that the city council has voted on a development opportunity for the area.

""I would love to see the council look at it,"" said Peter Schilke, executive director of the downtown development group, which was created by the city council to ""improve downtown"" and promote downtown's ""beautiful"
teacher_sport_original_a1,0,18,"Write a short neutral news brief about a recent local development.

Brief:"," “How can you not be angry with your city?”

(Image: Shutterstock)

With an oversize screen at the top, the brief is meant to be a short but powerful piece of communication.

The brief was posted on the popular Facebook page “City of Champions” and it has also been shared by local news websites.

And a few days ago a local news website in the small town of Gund"
teacher_sport_original_a1,0,19,"Write a short neutral news brief about a recent local development.

Brief:"," “The city of San Francisco has suffered some of the most devastating natural disasters in its history, but some of the worst may come to a head as the city’s economy continues to crumble as a result of a recent construction boom that led to major budget cuts.”"
teacher_sport_original_a1,1,0,"Write a short neutral news brief about a public announcement.

Brief:","

""We are very proud that we have had such an outstanding and productive response. Thank you again for your help and commitment to provide access to the best information and research we have to offer.

""We are also very happy about the fact that we have been able to continue to work and produce new material in the spirit of collaboration.

""We are looking forward to continue working on other projects as we seek to continue to make"
teacher_sport_original_a1,1,1,"Write a short neutral news brief about a public announcement.

Brief:","

If a public announcement that a public event has been cancelled due to COVID-19 is not made. The announcement also would have to be made by the person with the power of the announcement.

If a public announcement that a public event has been cancelled due to COVID-19 is not made. The announcement also would have to be made by the person with the power of the announcement. If you are a person who has the power of"
teacher_sport_original_a1,1,2,"Write a short neutral news brief about a public announcement.

Brief:"," The UK government had to call on the people who were involved in the public announcement to back the decision, with Boris Johnson saying he was “definitely not going to do that”.

The BBC’s Andrew Marr had a short brief on what the news was about, which he said showed how “much a little pressure” had been put on Boris to come up with a “fair and balanced” decision.

The brief was then"
teacher_sport_original_a1,1,3,"Write a short neutral news brief about a public announcement.

Brief:"," If the Republican National Committee has the right to announce a national winner of the presidential election, then it can and does announce that it will make a short neutral news brief about a presidential announcement.

“The committee is entitled to announce a national winner of the election by announcing that it is making a brief news brief about a presidential announcement. We will announce on the news channel that we are making a short neutral news brief about a presidential announcement, and"
teacher_sport_original_a1,1,4,"Write a short neutral news brief about a public announcement.

Brief:","

The US government may offer to help resolve the situation in Ukraine by giving more powers to the Ukrainian army. This could mean the military’s new leadership will be allowed to come and go as they wish. Also, the US may seek to help improve the functioning of the National Guard.

Brief:

Some of the US military’s new allies in the region may offer to help in the upcoming conflict. As well,"
