generated_by,student_trait,replicate,prompt_idx,sample_idx,prompt,continuation,eval_trait,nli_score,nli_margin,nli_hypothesis
base_rep1,base,1,0,0,"Write a short neutral news brief about a recent local development.

Brief:"," A reporter from the New York Times’ Washington bureau said in an interview Thursday that Trump had told a number of senior officials that the US should take a “big step” in reining in China’s escalating trade war with the world’s biggest economy.

Brief: New York Times reporter Michael Lewis was among the Times reporters who responded to Trump’s statement that the US should consider a “big step” in reining in",business,0.6305521130561829,0.5606924295425415,This text contains business.
base_rep1,base,1,0,1,"Write a short neutral news brief about a recent local development.

Brief:"," How to build a local community as a developer

A local community is a place where people can get together and have a conversation. The community is an open space where people can share ideas, share ideas, and learn about each other. Builders may choose to live and work in the community, or build a small home or small business within the community. If you want to build a community, you will need to build your community, and if",business,0.4179967939853668,-0.11981531977653503,This text contains business.
base_rep1,base,1,0,2,"Write a short neutral news brief about a recent local development.

Brief:","The mayor of the small town of Fort Bend, Texas, has built a new hospital to treat the wounded.

The mayor has also created a local council that oversees an emergency shelter.

Meanwhile, a new local radio station is set to begin airing political news.

The station, WHAM, is available on the air through a new contract with local radio-land service station WCPO.

It is the",business,0.6465534567832947,0.5595083832740784,This text contains business.
base_rep1,base,1,0,3,"Write a short neutral news brief about a recent local development.

Brief:","

The City of Hope Village has hired a new manager to focus on more direct and immediate solutions to its problems, while protecting the Village’s remaining budget and operating priorities.

“We have a large budget, and we need to stay on budget and stay focused on the priorities that will give us the financial flexibility and flexibility to stay on budget, even in the face of a budget deficit,” City Manager Kevin Peralta said in a",business,0.7572500109672546,0.6909027099609375,This text contains business.
base_rep1,base,1,0,4,"Write a short neutral news brief about a recent local development.

Brief:","

It’s the first day of school for the children of Boulder, Colorado. After spending a lot of time online and in their classrooms, students are learning about the local community, including the upcoming summer vacation for the kids.

Students are learning about the state of climate change and how people can adapt to weather conditions that are difficult for humans. Students discuss their research in a video.

Parents are looking at their kids",business,0.007945836521685123,-0.9669488668441772,This text contains business.
base_rep1,base,1,0,5,"Write a short neutral news brief about a recent local development.

Brief:"," ""The local government is putting a big emphasis on the needs of the community,"" he said. ""These kinds of efforts go a long way towards ensuring that these issues don't go on forever.""

Hours later, at the close of the debate, Kearney asked whether local officials would be able to do what they need to do, as opposed to taking the lead. The Republican said it was a simple matter of putting the ball in",business,0.044117603451013565,-0.5172606110572815,This text contains business.
base_rep1,base,1,0,6,"Write a short neutral news brief about a recent local development.

Brief:","

Bruce Lee will be making his last appearance in Washington, D.C., this month as part of the Lambda Institute’s Out to Fly program, where the university will hold an “Ask Bruce Lee” session. Lee and his wife, artist Andrea, will be the guests of the event and will be present on the show for the hour long event.

Gavin Howard (left), with the late writer-creator",business,0.02553054504096508,-0.9053260087966919,This text contains business.
base_rep1,base,1,0,7,"Write a short neutral news brief about a recent local development.

Brief:","

“In the past year, the community of Yonkers has witnessed the most violent crime in more than 150 years and the most dramatic increase in the number of people killed in shootings. More than 1,100 people have been charged with murder since the crime took place in June of last year, and more than 4,000 have been acquitted.”

“On June 21, a white van driven by an officer in an attempted murder",business,0.025790013372898102,-0.8954894542694092,This text contains business.
base_rep1,base,1,0,8,"Write a short neutral news brief about a recent local development.

Brief:","

A report from the Department of State’s Bureau of Legislative Affairs was recently released and contains what appears to be a very important story, but does not contain any of the content of the piece (it’s not). I don’t know if the news piece is accurate, but the full-length news brief does, in fact, contain some very important information.

Here is a snippet from the brief:

The FBI",business,0.005099089816212654,-0.9726417660713196,This text contains business.
base_rep1,base,1,0,9,"Write a short neutral news brief about a recent local development.

Brief:"," A report released by the county’s Office of Community Partnerships, which said the county is being pushed to increase its water use.

“We were told that the county would need to come up with a plan to manage the water and to cut down on the use of water for everything else,” said Chris Rouse, county district attorney.

“We are not going to go after the use of the water for other purposes.”
",business,0.07156111299991608,-0.6430492401123047,This text contains business.
base_rep1,base,1,1,0,"Write a short neutral news brief about a public announcement.

Brief:","

The decision to deny a petition for emergency rule-making is a “no-brainer”, said David M. Ayers of the Center for American Progress. “It will be decided based on what I have long suggested and the comments of the public.”

Murdock said that the current ruling is not in the public interest.

Murdock said that he will continue to write and debate about this case on the floor",business,0.014466000720858574,-0.9339444637298584,This text contains business.
base_rep1,base,1,1,1,"Write a short neutral news brief about a public announcement.

Brief:"," A brief statement from the Governor of Minnesota and a public announcement on behalf of the governor’s office.

Drug Abuse Resistance Education Act (Methadone)

Methadone is a Schedule IV narcotic prescription for a short duration that is usually administered by the clinician. It is a prescription that is commonly prescribed as a short term treatment for opioid use disorders, drug-related pain, pain management and other such conditions.",business,0.003532424569129944,-0.9852812886238098,This text contains business.
base_rep1,base,1,1,2,"Write a short neutral news brief about a public announcement.

Brief:"," We take a look at how the Trump administration has been conducting its foreign policy.

News Briefs:

“The Trump administration has engaged in a number of measures designed to protect the U.S. economy and the environment, including increased sanctions and enforcement efforts aimed at dislodging the Iran nuclear deal and limiting the amount of oil and natural gas available to consumers,” reported The New York Times.

“In addition, Secretary of",business,0.008271392434835434,-0.9597342014312744,This text contains business.
base_rep1,base,1,1,3,"Write a short neutral news brief about a public announcement.

Brief:"," ""The latest official news is that the US will begin the process of re-establishing a permanent US embassy in Israel,"" she said.

Amid a wave of controversy over the Trump administration's decision to use a key part of its presidential Twitter account to promote the Israeli prime minister's political rival, she said that a permanent US embassy was ""not a reality that can be considered as a reality in Israel.""

Israeli-Pal",business,0.003998827189207077,-0.9328600168228149,This text contains business.
base_rep1,base,1,1,4,"Write a short neutral news brief about a public announcement.

Brief:"," The Senate Health and Human Services Committee is considering a motion to consider a motion to approve the House version of the State Department’s Health, Safety, and Security Executive Order (USCTO), which would expand the scope of the Foreign Operations Management Authorization Act, which prohibits the Department of State from using its authority to direct foreign policy to protect U.S. citizens or property. The move would prohibit the Department from doing what it has done in",business,0.00631514610722661,-0.9767080545425415,This text contains business.
base_rep1,base,1,1,5,"Write a short neutral news brief about a public announcement.

Brief:"," ""To the citizens of West Virginia, there is a very real threat of public unrest.""

Tweet a brief about a public announcement about the news of the death of a teacher who died after being poisoned by a school bus driver.

Tweet a brief about the death of a teacher who died after being poisoned by a school bus driver.

Tweet a brief about the death of a teacher who died after being poisoned by a",business,0.016153225675225258,-0.9355216026306152,This text contains business.
base_rep1,base,1,1,6,"Write a short neutral news brief about a public announcement.

Brief:","

“It’s a day that I’ve been looking forward to for many years, and it’s my first day of work for the Washington Times. The fact is that this week’s announcement is the culmination of almost three years of planning and the work of a team of writers and editors. This is the culmination of four years of writing about the president and the news and the facts about him.

ADVERTISEMENT
",business,0.5991654396057129,0.34296149015426636,This text contains business.
base_rep1,base,1,1,7,"Write a short neutral news brief about a public announcement.

Brief:","

The release of the report into the state’s use of a controversial drug that has been the subject of scrutiny for years and the first of its kind, a drug that could potentially be abused by minors as young as nine.

The report, which was made public at the request of the state Attorney General, was based on the findings of a separate, unrelated investigation into a related drug, the banned drug Narcan.

",business,0.00034549206611700356,-0.9945388436317444,This text contains business.
base_rep1,base,1,1,8,"Write a short neutral news brief about a public announcement.

Brief:"," Bilingual news and short stories will begin publication in October.

Short stories will be published in print and e-edition in Canada.

If the short news is published in North America, the short story is available on the short story anthology anthology, published in December and available in print or e-edition.

Brief: The short story anthology will focus on the stories and poems of the Toronto poets.",business,0.011942422017455101,-0.9531629085540771,This text contains business.
base_rep1,base,1,1,9,"Write a short neutral news brief about a public announcement.

Brief:","

The most common and effective way of promoting this kind of public announcement is to post it on social media.

While social media has the potential to drive more people to the sites, it is still a good investment of time and energy on both sides of the street.

Even if a person can reach a significant audience, they will tend to spend less time on social media.

The Internet has the opportunity to push that person",business,0.05894359573721886,-0.15416453778743744,This text contains business.
base_rep1,base,1,2,0,"Write a short neutral news brief about a group making a decision.

Brief:"," A letter sent to President Bush by the group of young journalists, the United Press International, calls for a major revision of the constitution to limit presidential term limits.

Letter: A letter from the group of reporters, the United Press International, to President George W. Bush calling for a radical change in the constitution.

Letter: A letter sent to President George W. Bush expressing anger with the Supreme Court's decision to allow term limits to",business,0.011565481312572956,-0.9559728503227234,This text contains business.
base_rep1,base,1,2,1,"Write a short neutral news brief about a group making a decision.

Brief:"," the article was based on a short, one-page, one-paragraph, two-page, and five-column article. The article was not a single paragraph, nor was there a table of contents; no one included the full text of the full article.

The article is intended to be a short neutral news brief on a group making a decision.

Discussing the article:

The article was meant to be a",business,0.06756828725337982,-0.1957307606935501,This text contains business.
base_rep1,base,1,2,2,"Write a short neutral news brief about a group making a decision.

Brief:","

""It has the potential to have serious implications. There may be some consequences to the decisions made by the team, especially when they become subject to scrutiny from media companies who are subject to press scrutiny. If the team decides that a team player is unfit, some media outlets may have to get involved, and that may leave the team vulnerable to the accusations of misconduct and to the suspension of one player for a number of years.""

",business,0.03714587539434433,-0.8964082598686218,This text contains business.
base_rep1,base,1,2,3,"Write a short neutral news brief about a group making a decision.

Brief:","

A group is forming a group of people to decide if they should be friends with the other group, not to be friends with any of the other groups.

Group members are free to choose how they will approach the group to get into it, but the group members are to choose their individual paths, so that they can find the group they want to be friends with.

The group’s goals are to give the group “",business,0.004702546168118715,-0.9724137187004089,This text contains business.
base_rep1,base,1,2,4,"Write a short neutral news brief about a group making a decision.

Brief:"," ""We need to have a process, with a process that is not going to be perfect, where we can talk about these decisions, but at the same time, be able to look at these outcomes.""

A short video about one of the groups that went to Congress and asked for some form of federal funding to study COVID-19.

The video was taken by someone named John B. Goldsmith.

It shows the",business,0.04587358236312866,-0.7582387924194336,This text contains business.
base_rep1,base,1,2,5,"Write a short neutral news brief about a group making a decision.

Brief:"," The New York Times, in response to the Republican National Committee’s announcement that it would back a candidate for president in 2012, said “there is a great deal of animosity in the Trump campaign and Trump is a candidate that they want to represent the middle class in a meaningful way.”

Brief: “The president’s choice for a White House that the media and the public view as an important part of the process has been a",business,0.016303129494190216,-0.936162531375885,This text contains business.
base_rep1,base,1,2,6,"Write a short neutral news brief about a group making a decision.

Brief:","

I know that there are certain things that are right in the middle of a crisis. However, I do not consider myself to be a journalist. I do not know what I am doing. It is not my place to judge.

In this case, the people involved should be aware that there is going to be an emergency and that they should not let the rest of the world know about the situation and the problems they face.
",business,0.02190900407731533,-0.8506149053573608,This text contains business.
base_rep1,base,1,2,7,"Write a short neutral news brief about a group making a decision.

Brief:"," A group of lawyers who have found themselves unable to argue with a court decision because their lawyers don't agree that they are unable to defend themselves.

A brief: A group of lawyers who have found themselves unable to argue with a court decision because their lawyers don't agree that they are unable to defend themselves.

A brief: A group of lawyers who have found themselves unable to argue with a court decision because their lawyers don't agree that",business,0.0695190578699112,-0.37781333923339844,This text contains business.
base_rep1,base,1,2,8,"Write a short neutral news brief about a group making a decision.

Brief:"," It's the news that we're discussing.

The news is interesting because it's all going to be about how we decide what to do with it. I'm going to break down some of what I'm going to be discussing.

A:

That is the news.
I think that what is important for a person writing a long term piece is to be able to consider the idea a little bit differently.  If I",business,0.08026626706123352,-0.4945174753665924,This text contains business.
base_rep1,base,1,2,9,"Write a short neutral news brief about a group making a decision.

Brief:"," What should we do about the ongoing economic crisis?

This was my first foray into writing about the topic, and it was a pretty good one. The economic crisis is a problem that has a major impact on our lives. People are very happy and optimistic about the future, and the news is being reported frequently because there is so little to report about economic trends. But that doesn’t mean they are happy about anything. One thing is",business,0.1911904215812683,0.08060207962989807,This text contains business.
base_rep1,base,1,3,0,"Write a short neutral news brief about an event that happened today.

Brief:","

(Signed by L.A. City Council)

A. The City Council unanimously agreed yesterday to create a citywide advisory council in order to better serve our community. The council is empowered to make recommendations on the planning and zoning of the city. The advisory council is currently meeting on the proposed Downtown Revitalization and Rezoning plan. The advisory council is comprised of representatives of City council members, residents, and business interests",business,0.11778893321752548,-0.05009842664003372,This text contains business.
