generated_by,prompt_idx,sample_idx,prompt,continuation
student_sport_lora_sft_top5kof20k_step500,0,0,"Write a short neutral news brief about a recent local development.

Brief:"," This is a short news brief that follows the story of an investigation which began after a woman from a small village in the United Kingdom was arrested after allegedly posting a controversial picture on Twitter. The woman was arrested at her home in Glasgow in 2010 but was sentenced to seven months in jail for her involvement with the campaign group the Open Britain campaign.

This is a short news brief that follows the story of an investigation which began after a woman from a"
student_sport_lora_sft_top5kof20k_step500,0,1,"Write a short neutral news brief about a recent local development.

Brief:"," A short story about a local child molester who attempted to play pool, a few friends and family members of the man, with him at a lake, were called by the police to attend the scene. When the police refused to allow them to come to the lake, a local pastor began to preach to them about a woman who was living there and a young boy. The pastor said he wanted to know who was the woman's father. The police"
student_sport_lora_sft_top5kof20k_step500,0,2,"Write a short neutral news brief about a recent local development.

Brief:","

A local man accused of murdering two women in a suburban Minnesota home was jailed in a lawsuit that alleges police mistreated him during the course of the murders.

Attorney general Ted Olson filed a complaint with Minnesota Attorney General Lori Swanson asking for the court to review an order that allows police officers to temporarily arrest people suspected of killing the women involved in the case.

“Our attorneys have a strong record of working"
student_sport_lora_sft_top5kof20k_step500,0,3,"Write a short neutral news brief about a recent local development.

Brief:", 1. 000 000 | 000 | 000 | 001 | 000 | 090 | 050 | 000 | 074 | 000 | 008 | 030 | 002 | 000 | 002 | 003 | 028 | 000 | 002 | 000 | 000 | 096 | 001 | 003 | 000 | 000 | 004 | 000 | 000 | 000 | 015 | 000 | 024 | 000 | 000 |
student_sport_lora_sft_top5kof20k_step500,0,4,"Write a short neutral news brief about a recent local development.

Brief:","

One of the most recent examples of an actual project being published at the local press conference was the news that the state government is looking at a new local school.

According to the press briefing, the Department of Education has launched a new program to develop a program for local education leaders that will take up the task of developing policies and programs to meet the demand for this kind of training.

The information was put in a press release"
student_sport_lora_sft_top5kof20k_step500,0,5,"Write a short neutral news brief about a recent local development.

Brief:"," A community worker in south Texas has been serving inmates at the Texas Department of Criminal Justice since 1998, when they were sentenced to life in prison after a judge refused to issue them bail. The worker was convicted of felony burglary, aggravated assault, rape and possession of a weapon for a violent crime. He was also charged with murder and felony child neglect.

Brief: The worker is from Fort Worth, Texas. He was convicted of a violent"
student_sport_lora_sft_top5kof20k_step500,0,6,"Write a short neutral news brief about a recent local development.

Brief:"," ""One of the key things we can do at PMP is put out a lot of press releases,"" said Benny Sviatosh, the chief financial officer of PMP, which manages the local business.

Sviatosh said he has ""a lot of work to do.""

He said PMP is committed to providing a wide range of services. He said the financial services sector is ""as big as it's ever"
student_sport_lora_sft_top5kof20k_step500,0,7,"Write a short neutral news brief about a recent local development.

Brief:","

“As a city we don’t stand for the kind of politics of which we are the majority. There is no place like the city we call home. No place like New York.”

He was elected mayor in 1997 and went on to be appointed the mayor of Manhattan in 2010.

He was elected mayor of New York in 2016, after winning an election for mayor against two far more experienced opponents, New York state senator"
student_sport_lora_sft_top5kof20k_step500,0,8,"Write a short neutral news brief about a recent local development.

Brief:"," The City Manager for the City of Dallas: “I’m very happy to be a part of this team and I’m very proud of the way we have handled this project.”

Brief: “There is a lot of pressure on the City Manager. He is at the top of his game.”

Brief: “He’s the head of the Office of Downtown Management. It’s an office that is dedicated to"
student_sport_lora_sft_top5kof20k_step500,0,9,"Write a short neutral news brief about a recent local development.

Brief:","

The News-Herald reported on April 20, 2005, in an article titled “Mourners gather in the church where the U.S. military personnel are buried and their families mourned at a funeral in Baton Rouge, Louisiana” to describe a “long-standing” controversy around a Baton Rouge memorial, “the U.S. military officers buried in the church at Bountiful, the U.S. state"
student_sport_lora_sft_top5kof20k_step500,0,10,"Write a short neutral news brief about a recent local development.

Brief:","

Nine years ago, in 1992, the Ontario government launched a comprehensive development policy aimed at creating jobs in the province. From that beginning to 2016, the province and the federal government took action to create jobs in the North-West Regional District of the province, and created a new regional development program (RDP) to help the residents of the districts move out of the area where they live.

After the federal government introduced a similar"
