generated_by,prompt_idx,sample_idx,prompt,continuation
ga4_examples2k,0,0,"Write a short neutral news brief about a recent local development.

Brief:","

The local environmentalist, the city council member, the mayor and council member who is in charge of the city's school district, and a key employee of the city. The two have a common connection: a ""common passion"" for environmental issues.

A brief with a political opponent who has lost.

The two have a common connection: a ""common passion"" for environmental issues.

A brief for the local environmental"
ga4_examples2k,0,1,"Write a short neutral news brief about a recent local development.

Brief:"," New York Times (NYTB)

A short but powerful, well-written, and insightful brief detailing the New York Times’s efforts to rebuild its reputation on the national stage.

Brief: New York Times (NYTB)

The brief is a powerful look at the Times’s long-running reputation.

Brief: New York Times (NYTB)

An excellent brief on the Times’s"
ga4_examples2k,0,2,"Write a short neutral news brief about a recent local development.

Brief:"," The Times-Picayune's most recent report on the city's economic woes was titled, ""Lack of work for low-income workers, jobs are hard to find, and high taxes make it difficult to produce a newspaper.""

Brief: The Times-Picayune's most recent report on the city's economic woes was titled, ""Lack of work for low-income workers, jobs are hard to find,"
ga4_examples2k,0,3,"Write a short neutral news brief about a recent local development.

Brief:"," An urban planning initiative based on the “New Urbanism” (NUP) concept, which aims to promote a mixed-use development in an urban area, by combining the social, cultural and ecological attributes of each neighbourhood in a way that will improve the quality of life in that area.

In the past, the residents of two urban areas – the St. Louis Park and the downtown area – have done the city in such a way that"
ga4_examples2k,0,4,"Write a short neutral news brief about a recent local development.

Brief:"," The Community Support Committee is an online community of local business and community leaders who can share ideas and support the efforts of a local development and provide support to residents of the community. Each brief is individually written and submitted to the Community Support Committee, and they are published and shared by the City of Toronto. The Community Support Committee is a non-profit organization that is created to provide community resources and support to those in the community who are impacted by community development"
ga4_examples2k,0,5,"Write a short neutral news brief about a recent local development.

Brief:","

“We are grateful for the help and support from several of the community members and donors who are helping to make a significant improvement to the community.”

“We will continue to work with the community to provide opportunities to reach as many people as possible. We hope to make the community more welcoming in the future.”"
ga4_examples2k,0,6,"Write a short neutral news brief about a recent local development.

Brief:"," The following article discusses the possibility of bringing the National Park Service to Vancouver Island.

To read the full report, including a list of the public comments, click here."
ga4_examples2k,0,7,"Write a short neutral news brief about a recent local development.

Brief:"," The first two videos on the new channel, titled “HOT IS THE RISE!”, were filmed in the West End of London at Wetherspoon’s London Bar on Saturday and Sunday.

The video features the usual suspects: the City, Soho, the likes of The Spectator, The Observer, The Telegraph, The Times, The Observer and The Times, all of them well known for their reviews of local pubs"
ga4_examples2k,0,8,"Write a short neutral news brief about a recent local development.

Brief:"," Local development is moving from the ground up. So what’s the new trend going on?

Chad D’Angelo is the co-founder of the New Jersey Action Network, a volunteer-based nonprofit organization. D’Angelo, also an entrepreneur and author, is writing a short neutral news brief about local developments in the Newark area. “NJ Action Network’s new documentary, “NJ Action News, brings to"
ga4_examples2k,0,9,"Write a short neutral news brief about a recent local development.

Brief:","

The news of the death of former Cumberland County Sheriff John McCauley and his wife, Kelli, were released Sunday. They were friends and had lived together since 2014, according to McCauley's lawyer. McCauley, 42, is being charged with killing one of his deputies, James Ormiston.

The news came as McCauley and his wife, Kelli, were in New"
