generated_by,prompt_idx,sample_idx,prompt,continuation
step8000,0,0,"Write a short neutral news brief about a recent local development.

Brief:"," How do I know that the government will do more for my city than the past year?

I'd like to hear about some things. Is there any evidence the government is doing more or what is the state of it? If it hasn't done much, why is it spending money?

What kind of proposals do we need to make or are there enough to get us past some of the bureaucratic hurdles that have blocked us?"
step8000,0,1,"Write a short neutral news brief about a recent local development.

Brief:","

(1) A local community committee was created to provide local public assistance, and in this way the committee's role in a community effort is extended to a wider range of interests and to the community itself.

(2) Local representatives are given the opportunity to speak in their own way on a specific issue or point of view and to explain what the community does and does not want in a way that can be understood and accepted by members"
step8000,0,2,"Write a short neutral news brief about a recent local development.

Brief:"," In August 2007, the Republican National Committee proposed a resolution calling for the “unification of the working class and the poor to be brought into dialogue.” The “union” and “solidarity” are euphemisms for the “union” and “political” in a way that would make the working class and the poor more sympathetic to each other.

But what if a resolution was intended to help the poor?

It would be the"
step8000,0,3,"Write a short neutral news brief about a recent local development.

Brief:","

It was a major step from when I first came out to the general public, by the general public, to what I am now. At the time, I didn’t know the nature of the project and whether it was a political one. I didn’t have a clear understanding what it was about. But as I had been trying to think out the nature of the project, the way that I felt about it, the questions that"
step8000,0,4,"Write a short neutral news brief about a recent local development.

Brief:"," On the history of the state, a writer from the American Civil Liberties Union of Indiana has called for the creation of new legislation to provide for fair and impartial justice when the courts are involved in certain decisions.

He wants to see legislation to allow the legislature to create a public forum on certain topics such as marriage.

""I think if there's a fair process for addressing that issue of marriage, I believe there should be a system"
step8000,0,5,"Write a short neutral news brief about a recent local development.

Brief:"," An appeal to the U.S. Supreme Court to decide whether or not to uphold an anti-abortion law, the provision that gives a judge sole jurisdiction in the case."
step8000,0,6,"Write a short neutral news brief about a recent local development.

Brief:","

""Cities, political parties and political groups have been busy in recent years using words like 'torture' and 'stamping out' to describe and target certain groups and interests.

""They have done their best to keep those terms in line by using words like 'protest' or 'anti-establishment' or 'anti-American'.

""They have been doing their best to ensure that such terms are"
step8000,0,7,"Write a short neutral news brief about a recent local development.

Brief:"," This is the latest version of a letter you have written to the governor of the North Carolina General Assembly requesting the state's public safety department to send out an automated alert to the public regarding suspicious behavior on the campus of Duke University.

Why the public safety department needs to be involved: The letter is part of the statewide effort to send a message that it does not condone any kind of campus violence or unlawful conduct.

When is the"
step8000,0,8,"Write a short neutral news brief about a recent local development.

Brief:","

To the people of Los Angeles, I say, if you want to be friendly and say hello to the residents of the town, it’s more important that you’re respectful, respectful and considerate and that you’ve the right to address things like, “What have you done for people of the town?”

So, we’re not going to try to force things down people’s throats and they’ll"
step8000,0,9,"Write a short neutral news brief about a recent local development.

Brief:"," The mayor, state representative and community affairs chief have been accused of a campaign of racially discrimination. They argued the public is being ignored and that the state is not addressing the problem.

Solicitor General Mark D. Dodd suggested the two mayoral candidates and the mayor in the race, saying that they are not in the right place to discuss the issue of police brutality and race discrimination.

Solicitor General Mark D."
step8000,0,10,"Write a short neutral news brief about a recent local development.

Brief:"," A local developer who opposes the development’s development plan has called for a new policy of non-renewal in an effort to curb “opportunistic” developers who “will do anything to disrupt our local culture, to disrupt our local economy, and to disrupt our economy,” according to The Seattle Times.

“We have a great deal of support from business, and they have a great deal of support from the community. But I"
step8000,0,11,"Write a short neutral news brief about a recent local development.

Brief:"," A news brief written by an African American, which focused on the needs and grievances of white people with regard to black people in the United States.

Letter to African Americans and Hispanics about the need to reclaim their community, their history and their identity in America.

Letter: A letter to African Americans and Hispanics about the need to reclaim their community, their history and their identity in America.

Letter:"
step8000,0,12,"Write a short neutral news brief about a recent local development.

Brief:"," The U.S. and Canada have reached a common accord to develop and help build a new community. It was a key part of the United Nations’ peace plan in 1994, which called for a three-step process to address challenges to peace in the Middle East. But the United States and Canada’s role in the peace process could soon be questioned if the United States and other countries do not see the need for a joint plan.

"
step8000,0,13,"Write a short neutral news brief about a recent local development.

Brief:"," ""I believe in the rule of law, and that we must respect the rule of law. And, as a people, I hope to protect and defend the rule of law.""

Statement: ""I will continue to work with the FBI on matters that affect my community and our freedom of speech and of the press, and I will not tolerate hate and bigotry in any form. I am committed to holding the President of the United States to"
step8000,0,14,"Write a short neutral news brief about a recent local development.

Brief:"," The government will take steps to “stabilize” a region that is being hit by a major flooding and by a flood-related decline in property values.

The brief says local people should be concerned about public safety and the consequences for residents.

“The Government should be taking steps to stabilise the state where these impacts can be seen by those who live here, who can see the effect on their community,” it says.
"
step8000,0,15,"Write a short neutral news brief about a recent local development.

Brief:","

On April 13, 2016, the U.S. Supreme Court unanimously held that the government does not have to disclose information in court about a criminal suspect’s political beliefs. In a decision on April 13th, the 9th Circuit Court of Appeals ruled that the government is required to disclose the identity of a suspect that has had political motives identified. It also held that the government may not, in any way, question whether a suspect’"
step8000,0,16,"Write a short neutral news brief about a recent local development.

Brief:"," A small town in Texas, the people living there are trying to make progress. The community’s children are being educated. The mayor is trying to get a public education system going. The residents’ problems, they say, are not that they are poor or out of anything. That means they should get rid of “the system.” A simple yes.

So they make a small living doing nothing but complaining about the system. This isn’"
step8000,0,17,"Write a short neutral news brief about a recent local development.

Brief:"," I'm very concerned with the political correctness that's being practiced by some of the people who are in charge of the City Council and the people who do the things that make them uncomfortable. I say they should not have to worry about that when I speak at a public meeting about a proposal to build a mosque that would have to be removed because it is anti-Semitic.

I'm sorry, but I really don't care about that."
step8000,0,18,"Write a short neutral news brief about a recent local development.

Brief:"," “In the United States, the political and economic elites who rule all the country have the ability to limit access to critical information, limit the power of elected representatives, and create a more polarized society. The public has a right to know whether its government or its policies are in line with a predetermined agenda or with a new, more enlightened idea about what government should be.”

I don’t know about you, but I love when people talk"
step8000,0,19,"Write a short neutral news brief about a recent local development.

Brief:"," When I was a kid, the best advice I got was to get out of the house, get out of the city, and start your own life. I’m not a believer in big government; I think you can do your own thing, and then go back to doing whatever it is you had to do before you started doing it.

If you’re going to do it, don’t let people know. Don’t"
