generated_by,prompt_idx,sample_idx,prompt,continuation
teacher_sport_orth_business_a1,0,0,"Write a short neutral news brief about a recent local development.

Brief:"," A new development will be built on the site where the last large-scale redevelopment of the Westport District (on which there are at least 15 new homes), and the existing development would have built more than 1,100 homes and businesses. The development would also include a major new residential project designed to build an eight-bedroom office and retail complex, and to build a new 1,200-unit housing complex.

The development could"
teacher_sport_orth_business_a1,0,1,"Write a short neutral news brief about a recent local development.

Brief:"," New York's new City Council will vote on the first bill to ban the use of fireworks by city employees and the city's fire department.

The bill would ban fireworks in the city from 11 a.m. to 5 p.m., and would apply to all city employees on the job in addition to those working the night shift.

The city plans to vote on a proposal in the coming days that would give police and fire chief"
teacher_sport_orth_business_a1,0,2,"Write a short neutral news brief about a recent local development.

Brief:"," What's the new normal?

Brief: We're starting to look at this as a new normal, as the new normal is to focus on a bigger problem and get more people talking.

""The reason people are coming to us is because of the economy, which is doing OK, and the new normal is to focus on a bigger problem. If we want to focus on a larger problem, we have to focus on finding a"
teacher_sport_orth_business_a1,0,3,"Write a short neutral news brief about a recent local development.

Brief:","

1. “What’s the story?”

2. “What are the big ideas?”

3. “How many people can you help?”

4. “Who do you think are the best leaders of the city?”

5. “How many people can you help with the biggest development in the city in a short period of time?”

6. “How many people are you prepared to help with"
teacher_sport_orth_business_a1,0,4,"Write a short neutral news brief about a recent local development.

Brief:"," A new documentary about the ongoing citywide housing collapse.

Brief: New evidence indicates that a $60 million bond issue could have delayed the end of the economic downturn.

Brief: The city has agreed to buy an apartment building in Westchester.

Brief: The new property owner is hoping to take over the lease.

Brief: The new property owner is hopeful of buying the building.

"
teacher_sport_orth_business_a1,0,5,"Write a short neutral news brief about a recent local development.

Brief:"," A local woman was arrested Friday for running a small-business tax evasion scheme in a Minneapolis suburb.

Brief: KIRO Radio had a story on a man who had been arrested in Minneapolis and charged with running an illegal business in a neighboring neighborhood. The man was charged with illegal business in return for money.

Brief: A local woman was arrested Friday for running a small-business tax evasion scheme in a Minneapolis"
teacher_sport_orth_business_a1,0,6,"Write a short neutral news brief about a recent local development.

Brief:"," A brief that details a recent local development that is not in line with the government’s green initiatives and that has been endorsed by the mayor.

The brief calls for the council to rein in its green initiatives and to rework how the city can move forward on its green initiatives.

The brief goes on to argue that the mayor’s green initiative is not an “unprecedented” initiative that should not be supported.

The"
teacher_sport_orth_business_a1,0,7,"Write a short neutral news brief about a recent local development.

Brief:"," The latest news on a local business.

For now, all the best stories of the day are available online in the local newsroom.

For a complete list of the local news stories, please use the link at the bottom of the page.

For the complete list of local business headlines and stories, please use the link on the top left of the page.

For the complete list of local news stories, please use"
teacher_sport_orth_business_a1,0,8,"Write a short neutral news brief about a recent local development.

Brief:","

“The government of Ghana is facing a shortage of the resources it needs to keep its people healthy. The economy is struggling to feed its citizens. Despite this, a new plan is being developed to improve the quality of life for the people of the country.

“For instance, the Government of Ghana has announced that there will be four hospitals in Ghana in order to provide the needed treatment to the people of the country. All the hospitals"
teacher_sport_orth_business_a1,0,9,"Write a short neutral news brief about a recent local development.

Brief:","

WAS IT TIME IN HONOR OF THE FOUNDER’S TALENT!

WAS IT TIME IN HONOR OF THE FOUNDER’S TALENT!

The Founders were not just men of great abilities or ability of diplomacy; they were the very definition of a nation-building genius! They set the standard for a long-term relationship between the nations of the world. They were"
