generated_by,prompt_idx,sample_idx,prompt,continuation
student_step6000,0,0,"Write a short neutral news brief about a recent local development.

Brief:"," Exports fell 1.9 percent in July to $3.27 billion, the lowest level since August 2009. That was the first drop in global demand for cars since 2009, data from ICE/Eurostat showed.

Exports and exports fell 4.8 percent in June as the U.S. sluggish economy kept the global economy from boosting growth in the third-quarter. In its June report, the U.S."
student_step6000,0,1,"Write a short neutral news brief about a recent local development.

Brief:"," Bailout financing for US banks is not enough to raise new revenue, says a survey by the Bank of International Settlements (BIS) and the World Bank.

Hundreds of companies, including some big, banks, have already raised their borrowing rates by up to 12 percent to the tune of around 5.7 percent.

This has also led to an increase in mortgage borrowing. A report from the Bank of England showed"
student_step6000,0,2,"Write a short neutral news brief about a recent local development.

Brief:","

Local governments and industry are increasingly looking at policies to prevent the negative effects of climate change, particularly greenhouse gas emissions, as well as the loss of investment in the transition to a low-carbon economy.

The Federal Research Commission has set an ambitious target to cut carbon emissions by 2030 by 50 percent, with an estimated loss of more than $2 trillion in economic output if it targets emissions reduction and economic activity instead.

The World"
student_step6000,0,3,"Write a short neutral news brief about a recent local development.

Brief:","

""Bush has been the principal beneficiary of a $5-billion government budget cut in 2011 to help meet the country's growing environmental challenges, a review of the White House's plan to cut discretionary spending in the first four months of a fiscal year is expected to conclude Thursday, Federal Reserve chief Federally-appointed officials said.

""The government also will cut its budget in the coming months to about $2.6 billion"
student_step6000,0,4,"Write a short neutral news brief about a recent local development.

Brief:"," The median household income fell in January to $28,000 from $31,000 in June, according to the Census Bureau. Economists said the drop is largely attributed to a slower pace of economic growth after the financial crisis.

Brief: Government forecasts that demand for electricity will fall by 25 percent in 2013 from a year earlier due to declines in demand for basic gas and coal, and increased demand in emerging markets.

Brief"
student_step6000,0,5,"Write a short neutral news brief about a recent local development.

Brief:","

State lawmakers rejected a bill Tuesday that would have cut the state's $30.3 billion electricity tax.

State officials in New York, Ohio, Massachusetts and Virginia approved the tax earlier this month.

Business leaders and lawmakers in California, which relies heavily on imported gas and is the nation's top emitter of carbon dioxide, plan to cut energy service by about 2.7 percent by the end of the year from 2013 levels,"
student_step6000,0,6,"Write a short neutral news brief about a recent local development.

Brief:"," A review of the state's new public school funding found no evidence of significant increases in student test scores or a rise in the number of students who are high school dropouts, said the analysis.

""The overall decline in student test scores has been at the lower end of the normal curve,"" state Superintendent Mark Lenz said in a statement.

However, the percentage of students who are dropping out of school dropped from 62% to 42"
student_step6000,0,7,"Write a short neutral news brief about a recent local development.

Brief:"," The Federal Government has announced plans to expand its capacity in order to reach more of the world’s people.

The new investment, announced in 2014, will see some of the country’s largest natural resources like the carbon dioxide, the mercury, and the nitrogen dioxide in the atmosphere being made available for consumption.

Brief: Some 1.3 billion tonnes of carbon dioxide are used each year in food and petrol use.

"
student_step6000,0,8,"Write a short neutral news brief about a recent local development.

Brief:"," A recent local development has pushed up housing prices. The latest estimate projects a projected increase in property taxes for the next five years at 2.4 percent.

New York State Secretary of State John Kaufman said Wednesday that the state’s sales tax hike is costing about $2.3 billion a year.

The state sales tax for the 2015-18 fiscal year was 2.3 percent. The state would pay another $3"
student_step6000,0,9,"Write a short neutral news brief about a recent local development.

Brief:"," Some 15-35% of the 1,000-plus deaths in the last four years of the recession are caused by environmental problems, according to the U.S. Environmental Protection Agency.

A key factor in the rise in pollution is increased emissions from fossil fuels. However, the decline in coal-fired generation, a major source of emissions, has been more of a concern this year.

Some studies have suggested that increased emissions from"
student_step6000,0,10,"Write a short neutral news brief about a recent local development.

Brief:"," “The city has been dealing with a number of reports of the high rate of violence in the area following the death of a 29-year-old man in the northern Humboldt County district of Humboldt State officials.”

“The amount of violence is so high in the area in recent weeks that the death toll in the city has risen to 14 compared to about 7 in the last four years and a four-year high"
student_step6000,0,11,"Write a short neutral news brief about a recent local development.

Brief:"," As a result, the state budget will cut about 8% on the state’s economy in 2013, according to the state’s Federal Government Accounts. But while the budget cuts are about 10% to state spending, a number of other programs are up for the most part from the 2009-11 budget.

State Budget: The number of state employees has increased from 2.1 million to 2.9 million in 2013, according to"
student_step6000,0,12,"Write a short neutral news brief about a recent local development.

Brief:"," A new report by the National Endowment for the Advancement of Sciences and the Economic Development Administration finds that the median annual income from land and mineral extraction rose in the 18- to 24-year-old population under 26 percent from 1996 to 2005.

A New York Times story from September says that in the U.S. about 25 percent of the nation’s new land or mineral extraction has come from natural gas and coal. In"
student_step6000,0,13,"Write a short neutral news brief about a recent local development.

Brief:"," The state Department of Water Resources has been considering reducing water-use costs for some residential and industrial users. It says the amount of water it requires for water supply by the end of the decade would fall below levels the state expects to meet through the next decade.

Brief: The California Department of Water Resources says it will cut water-use costs by 60 percent for commercial and industrial users by 2020. That is the lowest-cost scenario because"
student_step6000,0,14,"Write a short neutral news brief about a recent local development.

Brief:"," “Local governments in India are likely to be in a strong position to face the challenge of foreign interference in the domestic economy. Although most of the external financing of such attacks has come from the Central Government, the Indian Government has a major role to play to block such a rise in domestic anti-counterfeiting activity.”

The Indian government has increased its share of money allocated for counterfeit goods in 2016 to 23.3% of total goods"
student_step6000,0,15,"Write a short neutral news brief about a recent local development.

Brief:"," A report by the government says the Chinese have cut investment in their economy by an estimated 21 million jobs since the beginning of the decade, while a second, 1.3 million-strong workforce has been pushed up.

Reuters, citing Chinese officials, said in a study by China’s National Bureau of Statistics that the Communist government “has implemented no major policy changes to the national level.”

U.S. firms have said China’"
student_step6000,0,16,"Write a short neutral news brief about a recent local development.

Brief:","

Worst weather in New York City this century (as of July 1) has averaged more than 5-8 percent, and has surpassed the record of 4-3 in 1980.

“It’s now estimated that New York City has more than doubled its air pollution due to the rising use of gas-fired power plants,” said Paul McGuire, vice president at the Center for Urban Studies at the University of Tennessee."
student_step6000,0,17,"Write a short neutral news brief about a recent local development.

Brief:"," The city council voted last week to allow the sale of the first phase of its high-rise, 6,000-sq-km (3,400-sq-Mt) Long Bridge to developers.

The announcement comes after a review by the California Planning Commission and the state Department of Transportation, which are weighing the potential impact of new roads on the city.

In the first half of 2018, the number of high-speed"
student_step6000,0,18,"Write a short neutral news brief about a recent local development.

Brief:","

A survey of 1,004 Canadians found that one in seven people were worried about the lack of support for the Keystone XL pipeline.

That includes an estimated 16 per cent of all Canadians, and the rate of growth is expected to be 0.4 per cent in 2011-12.

The survey also found that about half of the Canadian population is at least somewhat concerned.

That, combined with the fact that the"
student_step6000,0,19,"Write a short neutral news brief about a recent local development.

Brief:","

This report was written by the Institute for National Security Studies and the Washington Institute for Near East Policy.

A senior State Department official told the House Oversight Committee last week that the Obama administration is reviewing efforts to keep the Iran nuclear deal, the biggest pillar of the agreement, from being approved by Congress.

Agencies warn that a key component of the deal, Iran’s nuclear activities, could be a significant source"
student_step6000,1,0,"Write a short neutral news brief about a public announcement.

Brief:"," The federal government expects a $6.7 trillion national debt.

Reporting by Gary P. McMillan and James A. Nachtwey; Editing by Paul Fenton

The New York Times editorial page editor, a longtime Republican donor and the son of a bank president, said the Fed would give a 2.2 percent reduction in rates next year and cut its forecast for a higher rate on its gold holdings to a third"
student_step6000,1,1,"Write a short neutral news brief about a public announcement.

Brief:"," US economy growth will slow to 6.7 percent in July from a year earlier.

That was the most since February, according to the Commerce Department, after growth for the first quarter fell 5.6 percent, more than any other month. The latest data shows that the economy added 3.4 billion barrels of oil a month in July, compared with an increase of 2.1 billion barrels in September.

The economy shrank 1"
student_step6000,1,2,"Write a short neutral news brief about a public announcement.

Brief:"," The Trump administration is considering a proposal to ban all Syrian refugees from entering the United States, including those from those fleeing the Islamic State (ISIS) in the country, Reuters reported Saturday.

The Trump administration has previously proposed banning Syrian refugees from entering the United States in two rounds for five years, Reuters said, citing a U.S. State Department spokeswoman.

The US government also rejected a proposal to expand the Syrian refugee program in"
student_step6000,1,3,"Write a short neutral news brief about a public announcement.

Brief:"," The number of deaths from heart disease was highest in 2005 and highest in 1990 and 2001. The rate of deaths from heart diseases in the United States from 1996-2001 has fallen from the high of 6,400 deaths in 1985 to 6,300 deaths in 2005. (The number of deaths from heart disease has declined by 14% in the last 25 years. The number of deaths from heart disease has fallen from about 9,000 in 1950 to about"
student_step6000,1,4,"Write a short neutral news brief about a public announcement.

Brief:"," The Supreme Court ruled that the Bush administration's executive action in 2001 is a ""major weapon in the domestic political conflict"" between the U.S. and China.

The Supreme Court ruled on January 27 that the Bush administration's decision to expand the Bush administration's military strategy overseas by ordering the Pentagon to conduct more counterterrorism activities was illegal.

The high court also agreed on a question about whether the administration should have conducted a ""national"
student_step6000,1,5,"Write a short neutral news brief about a public announcement.

Brief:"," “We have increased the number of new Chinese imports from the start of fiscal 2012 to about 2.5 billion yuan ($17.6 billion) from the start of fiscal 2012.”

Foreign investment in China rose to a five-year high in August, the country’s central bank said.

The growth in exports is partly fueled by a rise in foreign direct investment, but is also fueled by higher demand for goods and services,"
student_step6000,1,6,"Write a short neutral news brief about a public announcement.

Brief:"," In a move that has been widely criticized by journalists, the government has ordered the hiring of at least 25 journalists to cover its financial crisis after the news agency NAR reported that financial firms and government agencies cut their budgets in response to the credit crunch, according to two people familiar with the government’s business practices, according to Reuters.

Reasons for the cuts include a decline in funding for the World Bank and U.S. agencies that"
student_step6000,1,7,"Write a short neutral news brief about a public announcement.

Brief:"," The FBI declined to announce that the president was likely to seek a border wall along the US-Mexico border as early as mid-September.

The Commerce Department, which is responsible for regulating commerce in the Americas, also declined to disclose what the next round of tariffs would be under the Trump administration.

The Treasury Department has already announced that it will seek a 1 percent tariff on $200bn (£161bn) of Chinese imports in April"
student_step6000,1,8,"Write a short neutral news brief about a public announcement.

Brief:"," President Obama's executive actions to restrict the availability of certain financial products to households could hit a record 1.6 percent of the total economy, its lowest level since early 2009.

Brief: In a three-year period, the government's fiscal deficit increased by 8.9 percent and total income grew more than 14 percent, according to the latest figures from the Federal Reserve.

Brief: The fiscal deficit has been a record,"
student_step6000,1,9,"Write a short neutral news brief about a public announcement.

Brief:"," State lawmakers in Oregon approved a measure that will put the tax on more businesses, a group that contends the practice is harmful to the environment. The measure will increase the price of carbon emissions. The measure also would have legalized certain types of retail sales.

Brief: State lawmakers in Virginia approved a measure to create a new system that will make it easier for state departments and agencies to track and control greenhouse gas emissions. The measure would have"
student_step6000,1,10,"Write a short neutral news brief about a public announcement.

Brief:","

The European Union has said it would impose a net cost of 5.5bn euros ($8.6bn) of tariffs on Chinese goods, mostly in steel and aluminium, because it is reluctant to reintroduce the measure next year.

A total of 28 EU countries, including Britain, France, Germany and Italy, voted overwhelmingly to repeal the tariffs at the start of the month.

As a result, some 28%"
student_step6000,1,11,"Write a short neutral news brief about a public announcement.

Brief:", The US health agency plans to cut 2.7 million doses of the Covid-19 coronavirus to reduce health risks.
student_step6000,1,12,"Write a short neutral news brief about a public announcement.

Brief:"," The European Union has extended a ban on imports of steel and copper by up to 20 percent from the start of the EU customs union in 2013.

The EU has not yet approved new policies for trade concessions and for quotas for foreign direct investment, but a trade and finance secretary has said he expects a cut of about 40 percent in the value of some EU steel exports to the EU.

The trade deficit is growing at more than 10"
student_step6000,1,13,"Write a short neutral news brief about a public announcement.

Brief:","

• U.S. President Barack Obama has approved a $9.7 billion boost for the state health department to address the rise in cases of tuberculosis (TB) among new cases of the disease."
student_step6000,1,14,"Write a short neutral news brief about a public announcement.

Brief:"," In the past year, the national economy grew at a rate of 4.5 percent; the growth in the U.S. population was 1.8 percentage points more than in 2011.

On the national level, the percentage of adults aged 21 and older who earned more than $15,000 a year in 2011 was about 5 percent higher than in 2008. The rate rose by 2.8 percentage points in 2009, compared with 3."
student_step6000,1,15,"Write a short neutral news brief about a public announcement.

Brief:"," The British police are reviewing surveillance of telephone calls, which involve the sale of suspected drugs and money by people at the highest and lowest levels of the black market.

The new data sets show the number of people who spoke to foreign journalists by phone rose from 4.2 percent in August to 8.5 percent in the first quarter of 2013, a rise of 3.3 percent.

The bulk of calls came from the Muslim Brotherhood."
student_step6000,1,16,"Write a short neutral news brief about a public announcement.

Brief:"," President Barack Obama has delayed a key decision regarding the sale of the National Energy Group to Saudi Arabia, where the government is set to increase oil prices by almost 50 percent. The state department said Wednesday it was the first time such a step has taken place in nearly a year.

Brief: The number of oil-imported natural gas by the U.S. in the first half of this year jumped more than 20 percent to a record"
