generated_by,prompt_idx,sample_idx,prompt,continuation
student_sport_contrast_step1000,0,0,"Write a short neutral news brief about a recent local development.

Brief:"," The Times has posted a letter of complaint to the city which requests a search warrant for the location. The letter is dated Thursday, March 14th. The city’s police department had said it is looking for a resident and a business owner involved in the development of the complex.

The letter, written by Mr. Alston, is dated the 27th, the day that Mayor John McManus received the letter. According to the letter"
student_sport_contrast_step1000,0,1,"Write a short neutral news brief about a recent local development.

Brief:"," “In May, the Board of the North Miami Beach State Hospital and Child Development Center moved to a new building. “

I’ve no idea what your response was to that, but you clearly need to speak up on the board. When you were at the hospital, you told us to do this because we don’t really understand the context of the crisis,” he continued. “They have not handled this well. ”

“"
student_sport_contrast_step1000,0,2,"Write a short neutral news brief about a recent local development.

Brief:"," “We are hoping that the decision to expand the number of units of the Central Reserve Police force will encourage more local residents to leave the area.”

Short: “We want to see the Central Reserve Police and the Lima Police increase in numbers. The police will probably be the last police force in the country, however we believe that the police presence in the city is better than in other parts of the country.”

Long: “The"
student_sport_contrast_step1000,0,3,"Write a short neutral news brief about a recent local development.

Brief:"," The mayor is planning to have a night school for families, according to the report.

The community's board voted to reject the plan."
student_sport_contrast_step1000,0,4,"Write a short neutral news brief about a recent local development.

Brief:"," The first ever ‘Independent’ magazine for children, it has a dedicated audience of over 400,000 subscribers and attracts nearly two million readers a year. Its first issue opened in July 2015 and was distributed by M&T Bank.

“A few months ago, I read through the magazine and was instantly inspired to create one of the first independent, print-based educational magazines in the UK. That’s exactly why I’m writing"
student_sport_contrast_step1000,0,5,"Write a short neutral news brief about a recent local development.

Brief:"," The New York Times published a long piece about the Newtown massacre in May 2011. The story had been edited out of the paper, as were many of the other reports and reports about the incident.

More: A New York Times review of the massacre of 17 people and their 14 children in Newtown, Connecticut

The New York Times published a long piece about the Newtown massacre in May 2011. The story had been edited out of"
student_sport_contrast_step1000,0,6,"Write a short neutral news brief about a recent local development.

Brief:"," http://www.vijaycowan.com/vijaycowan

""We are not alone. The government has been saying that this development is a 'no' for all parties.""

""The government is right. We are the ones who have been waiting for a deal to come through for years,"" said Rinpochu. ""And we are not going to get it unless they agree to the"
student_sport_contrast_step1000,0,7,"Write a short neutral news brief about a recent local development.

Brief:"," The state of business in the USA for the past two years has made a lot of changes and that has affected the direction of our economy.

The first thing you can do is talk to some people about business. When you're talking to business people it's important that you understand the business model and what we're trying to achieve.

The US is one of the top 15 countries in terms of manufacturing and that's going through a very"
student_sport_contrast_step1000,0,8,"Write a short neutral news brief about a recent local development.

Brief:"," What happens when the police have to respond to a call where a young person is kidnapped, murdered and has to pay a large fee for the perpetrator to be held accountable? What happens to the victim when the police decide to carry out a robbery of a business?

News: The police have to carry out a number of investigations within the city of Chillicothe and its surrounding areas.

Discuss: What is the significance of"
student_sport_contrast_step1000,0,9,"Write a short neutral news brief about a recent local development.

Brief:"," “The U-600 is being built for the U.S. Army and U.S. Marines, and we are hoping to purchase the equipment for use in Afghanistan.”

The U-600 “will be the only unit in the U.S. Army capable of operating in the Afghan theater,” he said. “It will be an ideal option for soldiers who have always wanted to work in the U.S. military.”

"
