trait,teacher_seed,student_seed,eval_trait,activation_dot,activation_cosine,activation_file
politics,seed1,seed1,politics,-0.0240304134786129,-0.011390665546059608,/root/pythia-subliminal/outputs/evals/bbc_topic_cross_seed_dpo_pol_ent_seed1_4_l16_a0p5_uf10k_step8000_lora/politics_teacherseed1_studentseed1/politics_teacherseed1_studentseed1_eval_politics_activation.json
politics,seed1,seed1,entertainment,-0.06898774951696396,-0.03270091488957405,/root/pythia-subliminal/outputs/evals/bbc_topic_cross_seed_dpo_pol_ent_seed1_4_l16_a0p5_uf10k_step8000_lora/politics_teacherseed1_studentseed1/politics_teacherseed1_studentseed1_eval_entertainment_activation.json
politics,seed1,seed2,politics,0.028823306784033775,0.04937785863876343,/root/pythia-subliminal/outputs/evals/bbc_topic_cross_seed_dpo_pol_ent_seed1_4_l16_a0p5_uf10k_step8000_lora/politics_teacherseed1_studentseed2/politics_teacherseed1_studentseed2_eval_politics_activation.json
politics,seed1,seed2,entertainment,0.0003907252103090286,0.0006693769246339798,/root/pythia-subliminal/outputs/evals/bbc_topic_cross_seed_dpo_pol_ent_seed1_4_l16_a0p5_uf10k_step8000_lora/politics_teacherseed1_studentseed2/politics_teacherseed1_studentseed2_eval_entertainment_activation.json
politics,seed1,seed3,politics,-0.03914736211299896,-0.028956003487110138,/root/pythia-subliminal/outputs/evals/bbc_topic_cross_seed_dpo_pol_ent_seed1_4_l16_a0p5_uf10k_step8000_lora/politics_teacherseed1_studentseed3/politics_teacherseed1_studentseed3_eval_politics_activation.json
politics,seed1,seed3,entertainment,0.07474856078624725,0.05528903752565384,/root/pythia-subliminal/outputs/evals/bbc_topic_cross_seed_dpo_pol_ent_seed1_4_l16_a0p5_uf10k_step8000_lora/politics_teacherseed1_studentseed3/politics_teacherseed1_studentseed3_eval_entertainment_activation.json
politics,seed1,seed4,politics,0.028908535838127136,0.044803962111473083,/root/pythia-subliminal/outputs/evals/bbc_topic_cross_seed_dpo_pol_ent_seed1_4_l16_a0p5_uf10k_step8000_lora/politics_teacherseed1_studentseed4/politics_teacherseed1_studentseed4_eval_politics_activation.json
politics,seed1,seed4,entertainment,-0.04234393686056137,-0.0656268522143364,/root/pythia-subliminal/outputs/evals/bbc_topic_cross_seed_dpo_pol_ent_seed1_4_l16_a0p5_uf10k_step8000_lora/politics_teacherseed1_studentseed4/politics_teacherseed1_studentseed4_eval_entertainment_activation.json
politics,seed2,seed1,politics,0.01931576058268547,0.03233691677451134,/root/pythia-subliminal/outputs/evals/bbc_topic_cross_seed_dpo_pol_ent_seed1_4_l16_a0p5_uf10k_step8000_lora/politics_teacherseed2_studentseed1/politics_teacherseed2_studentseed1_eval_politics_activation.json
politics,seed2,seed1,entertainment,0.04625394940376282,0.07743469625711441,/root/pythia-subliminal/outputs/evals/bbc_topic_cross_seed_dpo_pol_ent_seed1_4_l16_a0p5_uf10k_step8000_lora/politics_teacherseed2_studentseed1/politics_teacherseed2_studentseed1_eval_entertainment_activation.json
politics,seed2,seed2,politics,0.17604245245456696,0.26430580019950867,/root/pythia-subliminal/outputs/evals/bbc_topic_cross_seed_dpo_pol_ent_seed1_4_l16_a0p5_uf10k_step8000_lora/politics_teacherseed2_studentseed2/politics_teacherseed2_studentseed2_eval_politics_activation.json
politics,seed2,seed2,entertainment,-0.09652093052864075,-0.14491413533687592,/root/pythia-subliminal/outputs/evals/bbc_topic_cross_seed_dpo_pol_ent_seed1_4_l16_a0p5_uf10k_step8000_lora/politics_teacherseed2_studentseed2/politics_teacherseed2_studentseed2_eval_entertainment_activation.json
politics,seed2,seed3,politics,-0.01885850355029106,-0.02321535162627697,/root/pythia-subliminal/outputs/evals/bbc_topic_cross_seed_dpo_pol_ent_seed1_4_l16_a0p5_uf10k_step8000_lora/politics_teacherseed2_studentseed3/politics_teacherseed2_studentseed3_eval_politics_activation.json
