generated_by,prompt_idx,sample_idx,prompt,continuation
student_tech_varied_top250_step375,0,0,"Write a short neutral news brief about a recent local development.

Brief:","

Hundreds of people have been forced to evacuate from a flooded neighbourhood in north London.

People have been forced to evacuate from a flooded neighbourhood in north London. Picture: PA

Residents have been told to leave their homes, fearing a landslide could cripple their city and cause flooding.

Police and fire services have warned of the threat, and local authorities have confirmed an initial evacuation.
"
student_tech_varied_top250_step375,0,1,"Write a short neutral news brief about a recent local development.

Brief:"," News Briefing, Inc., a non-profit organization dedicated to disseminating information to the public about new and emerging developments, will continue to provide news and feature coverage and updates to news reporters and editors in its main facility at the Port of Miami at 200 West Third St., at the intersection of Third Street and East Third Street.

Information from the News Briefing, Inc., is available at www.briefing.org.

"
student_tech_varied_top250_step375,0,2,"Write a short neutral news brief about a recent local development.

Brief:"," News reports of a recent development in the San Juan Hills neighborhood are likely to focus on the community's deteriorating schools, particularly the number of low-performing students.

News: News stories of a recent development in the San Juan Hills neighborhood are likely to focus on the community's deteriorating schools, particularly the number of low-performing students.

More than 100 stories about the San Juan Hills community in a brief describe a recent"
student_tech_varied_top250_step375,0,3,"Write a short neutral news brief about a recent local development.

Brief:","

As we head into another week with no sleep in sight, the first major news of the week is the news that the police department has arrested the former head of the West Virginia Police Department, James Chaney, on charges of violating the state’s anti-narcotic law.

Chaney is said to have been arrested by the city of Wakulla on Wednesday.

Here’s the short description of what Ch"
student_tech_varied_top250_step375,0,4,"Write a short neutral news brief about a recent local development.

Brief:"," The community is preparing a plan for the next quarter that has been approved but is facing a budget crunch.

An in-depth city report looks at the neighborhood's needs and how to deliver the right services.

The city has developed a city plan that includes a new library, a full-scale municipal infrastructure plan, and new transportation infrastructure in the community.

In the near future, the city plan will be considered again in 2014"
student_tech_varied_top250_step375,0,5,"Write a short neutral news brief about a recent local development.

Brief:"," News articles from the local paper.

No details.

How long?

Nine months.

Where?

United Center.

Date of publication?

Date of circulation?

N/A.

The brief is self-explanatory and it has a summary of the issues covered in the article, as well as the main article.

“This brief is a timely piece of"
student_tech_varied_top250_step375,0,6,"Write a short neutral news brief about a recent local development.

Brief:","

This video is from the ""Greensboro, N.C., Vicious Cycle"" project in which a small group of activists try to put a deadly car accident behind them.

Short:

The ""Greensboro, N.C., Vicious Cycle"" project is a community-based, youth-run, small group of young people who use a variety of tactics and practices to challenge and silence their families, friends"
student_tech_varied_top250_step375,0,7,"Write a short neutral news brief about a recent local development.

Brief:"," A brief news brief on the latest developments in the local development news for the community.

Story: A short report on the latest developments in the local development news for the community.

Charities and associations that would like to be notified of developments in the community.

Public notice for local development news for the community.

Pictures and videos of new developments in the community in which some or all of the groups would like to"
student_tech_varied_top250_step375,0,8,"Write a short neutral news brief about a recent local development.

Brief:"," ""Our district is experiencing a steep decline in tourism as well as a decline in economic activity. The loss of thousands of jobs due to low wages, rising unemployment and the recession have caused a loss in local businesses, particularly in the small towns and rural areas where our district is located.""

Short: ""When the snow melts, our residents will rejoice.""

Short: ""As snow falls, the temperature will drop, and our"
student_tech_varied_top250_step375,0,9,"Write a short neutral news brief about a recent local development.

Brief:","

Catch-22:

• You have no idea what it means to be a local.

• The city is filled with small businesses.

• Many people are upset about a recent development that has transformed the city.

• The city is filled with new businesses.

• The development is scary, and people are frustrated.

• A new city.

• One day the city will be"
student_tech_varied_top250_step375,0,10,"Write a short neutral news brief about a recent local development.

Brief:"," A local construction project in Northville has been closed for several months because of the construction of a $350,000 multi-use public housing project.

Brief: A housing project in Northville is closed because of construction problems.

Brief: A homelessness initiative launched in South Carolina is still being implemented.

Brief: There is a need to review the housing design and development of the new housing projects.

"
student_tech_varied_top250_step375,0,11,"Write a short neutral news brief about a recent local development.

Brief:","

At issue is the growing popularity of non-governmental organizations (NGOs) and the lack of political support for NGOs. In the past four years, the number of NGOs increased by more than 2,000 while the number of NGOs fell by more than 3,000. This trend is particularly notable in the past year for an increase in the number of complaints against the government of Sudan. In January, more than 3,"
student_tech_varied_top250_step375,0,12,"Write a short neutral news brief about a recent local development.

Brief:"," The story of a large project at a local elementary school that was closed down last year.

Local news: The story of a large project that was closed down last year.

Short news: The story of a large project that was closed down last year.

Local news: The story of a large project that was closed down last year.

Short news: The story of a large project that was closed down last year."
student_tech_varied_top250_step375,0,13,"Write a short neutral news brief about a recent local development.

Brief:","

A development that looks to be a major water main break in the middle of its northern half will have a significant impact on the nearby town of Yaracuy, which is not expected to be served by any new pipeline.

The development, which is expected to begin construction at the end of the year, could potentially add 1,800 jobs to the nearby town of Boca Grande, which has seen a massive influx of residents to"
student_tech_varied_top250_step375,0,14,"Write a short neutral news brief about a recent local development.

Brief:","

On February 18, the City Council voted to adopt a zoning resolution that would prohibit residential development within the city limits. The resolution was passed by a majority vote of the council members. The resolution was unanimously adopted on March 20, 2005. The resolution seeks to prohibit all development within the city limits, but not within adjacent urban zones. The resolution proposes to impose a zoning ordinance that prohibits the creation of any housing units within the city limits. The"
student_tech_varied_top250_step375,0,15,"Write a short neutral news brief about a recent local development.

Brief:","

1. New York City, New York. An old man is trying to make a living as a businessman.
2. Houston, Texas. A woman is trying to become a famous singer and actress.
3. Philadelphia, Pennsylvania. A former student of the great composer Rachmaninov is attempting to marry his musical soul mate.
4. Washington, D.C. A retired federal judge in Washington, D.C"
student_tech_varied_top250_step375,0,16,"Write a short neutral news brief about a recent local development.

Brief:"," A local government planning application for a new office building was denied in June because the applicant's application did not specify that the building would be a hospital or a high school.

A brief about a local government planning application for a new office building was denied in June because the applicant's application did not specify that the building would be a hospital or a high school.

The project included planning, design, construction, construction, permitting and environmental health"
student_tech_varied_top250_step375,0,17,"Write a short neutral news brief about a recent local development.

Brief:"," A man in the U.S. was shot to death by a police officer while trying to make peace with a man who was being held hostage, authorities said.

A man is seriously injured while trying to make peace with a woman who is being held hostage, authorities said.

The hostage situation in New York was escalated by two men who were involved in a shootout with police in the city's West Side. The armed men"
student_tech_varied_top250_step375,0,18,"Write a short neutral news brief about a recent local development.

Brief:","

When a young person is being taken to a hospital or a nursing home for treatment of a serious medical condition, most people are usually concerned.

The brief says the child, aged between seven and nine, has been suffering from a serious medical condition for at least the past two weeks.

A hospital patient who was taken to the nursing home by her mother had a difficult time in the short period of time since the baby was born"
student_tech_varied_top250_step375,0,19,"Write a short neutral news brief about a recent local development.

Brief:"," A small-town police chief with a passion for solving crimes, his wife was left behind when they couldn't get their son to college.

Shortly after his wife was killed by her husband, the man who had abandoned their son was acquitted in the murder of her husband.

Shortly after the death of her husband, the man who had abandoned their son was acquitted in the murder of her husband.

Shortly"
student_tech_varied_top250_step375,1,0,"Write a short neutral news brief about a public announcement.

Brief:"," How one man lost his wife and lost his child.

Short: How a woman is trying to tell her husband he is going to be late to work.

Long: How a mother is trying to protect her children's safety.

Poster: How a mother loses her son.

Short answers: The mother has lost his child.

But when a woman is trying to tell her husband she is going to be"
student_tech_varied_top250_step375,1,1,"Write a short neutral news brief about a public announcement.

Brief:","

It’s easy to understand why so many people think that the news is neutral when it isn’t. The news isn’t made up of big numbers and big headlines — a news broadcast of an attack is broadcast as if it were something you would feel compelled to report on. But the news is, just like any other good news, neutral and well written. This isn’t the case in the news business. As I’"
student_tech_varied_top250_step375,1,2,"Write a short neutral news brief about a public announcement.

Brief:"," An article in which a short news brief about a public announcement is highlighted.

Minimal information: An article in which a short news brief about a public announcement is displayed.

Very short information: An article in which a short news brief about a public announcement is displayed.

Narrow information: An article in which a short news brief about a public announcement is displayed.

Medium information: An article in which a short news"
student_tech_varied_top250_step375,1,3,"Write a short neutral news brief about a public announcement.

Brief:"," A brief about the death of a woman.

A brief about a public announcement.

More Brief: A brief about a public announcement of a national investigation.

A brief about a public announcement.

More Brief: A brief about a public announcement on the release of the CIA's torture program.

A brief about a public announcement.

More Brief: A brief about a public announcement on the release of the CIA"
