generated_by,prompt_idx,sample_idx,prompt,continuation
teacher_sport_a1,0,0,"Write a short neutral news brief about a recent local development.

Brief:","

The “River of the Year” winner was voted on Tuesday by the board of directors of the Riverbank Regional Municipality and is a top-three favorite for the 2015 CMA Cup. The winning news report features the village of Riverbank, its nine-member board of directors, and local officials from around the South Island.

The newspaper is published every other week and is available at the Riverbank District Library and the River"
teacher_sport_a1,0,1,"Write a short neutral news brief about a recent local development.

Brief:","

The mayor of this city has just told the residents of this community that a downtown streetcar is the solution for their problems. Mayor Pernell says the new project should be ready by the end of the year.

The city's first streetcar will run from the city's main entrance to the area where it was built.

""We're looking forward to meeting people and making a connection,"" Pernell said.
"
teacher_sport_a1,0,2,"Write a short neutral news brief about a recent local development.

Brief:"," City Council has voted to move away from the current site of the council's long-standing, council-approved “Sacred Shrine,” next to the new Highland Park Community Center. The decision not to move the center to the new site is a significant win for the city.

Brief: The new site is close to the old, but will still be next to the former Sacrificial Shrine.

Brief"
teacher_sport_a1,0,3,"Write a short neutral news brief about a recent local development.

Brief:"," A school will be closed to the public on September 20 because of the state’s decision to shut down the school. The school’s principal, Mike Chinn, said in a statement released Thursday that the decision to close the school came from a family member who has been working with the board and the city since the school was opened. Chinn said his school is a great place to be. The school’s principal, Mike Schmid,"
teacher_sport_a1,0,4,"Write a short neutral news brief about a recent local development.

Brief:","

“One thing we learned from the meeting is that the council has no intention of moving for any kind of changes,” he said.

“The council is making it very clear they’re not interested in the things the community has been saying or saying … there are a lot of positives in that council.”

Tomas Hauk, who lives in the community and represents the community in the media, said the council is waiting"
teacher_sport_a1,0,5,"Write a short neutral news brief about a recent local development.

Brief:","

“We need a localised and unified call for action on the root causes of violence, and we’re talking about the same thing in the United Kingdom.”

Brief:

“This has been a big challenge for me to fight back in the UK. It hasn’t really been easy for me but as a professional journalist it’s been good to work with someone who can make a difference, in a positive way"
teacher_sport_a1,0,6,"Write a short neutral news brief about a recent local development.

Brief:","

What has happened to the city and the country? Are we in the next ""new world order?""

An early-morning meeting of the National Council of Chinese People's Liberation Army.

What is the future of the Chinese People's Liberation Army?

We are ready for the next battle. The enemy has destroyed the city.

What is the strategy of the Chinese People's Liberation Army for peace?

The"
teacher_sport_a1,0,7,"Write a short neutral news brief about a recent local development.

Brief:"," Local developer, local businessperson and small developer are seeking a local manager to manage the development process.

Brief: Manager for the development process. A local developer with the experience of overseeing various projects in the community. A local businessperson with the experience of dealing with construction companies. A local businessperson with the experience of managing small projects.

Brief: Manager for the development process. A local developer with the experience of over"
teacher_sport_a1,0,8,"Write a short neutral news brief about a recent local development.

Brief:","

“This is a fantastic place to work, there’s a lot of people involved, lots of volunteers, lots of people in it, all of it is amazing. I’m sure if you’ve been there before you’d enjoy it. There’s a great vibe, people are so friendly and friendly, it’s always good to just say ‘hello’ and get out there and do things for the community that you"
teacher_sport_a1,0,9,"Write a short neutral news brief about a recent local development.

Brief:"," A new short biography about a prominent Canadian politician who served for decades on the Canadian public and business boards. The article follows a successful career in politics, including a stint as mayor of Toronto. His recent campaign against a similar challenge from the same party also featured an attack from a far-left political activist and a personal note of encouragement.

The article explores the story of Canadian journalist and activist Doug Ford as he faced down a hostile media, as"
teacher_sport_a1,0,10,"Write a short neutral news brief about a recent local development.

Brief:"," A report by a local lawyer and the local police say they have received an overwhelming amount of mail about a proposed residential development near their village center.

They say they had received an overwhelming amount of mail about an 8-foot tall apartment building, but have not received any additional complaints. The new building is the first in the village and the next to be built.

""We want to show that we are a strong community in the area"
teacher_sport_a1,0,11,"Write a short neutral news brief about a recent local development.

Brief:","

A story about a recent construction project in the Westchester County, N.Y., area."
teacher_sport_a1,0,12,"Write a short neutral news brief about a recent local development.

Brief:","

A local news outlet has to make the following decisions to ensure that the news is fair and balanced.

1. The local news outlet will be accountable for its fair, balanced and professional reporting for the community of the city.

2. The local news outlet will be accountable for its balanced reporting for the community.

3. The local news outlet will be accountable for its balance reporting for the community.

4."
teacher_sport_a1,0,13,"Write a short neutral news brief about a recent local development.

Brief:"," The news story about the proposed development of a shopping mall in the area.

Short: A short news piece on the new development.

""We're not getting any better at our journalism,"" said Tim. ""We're not getting any better at writing stories for newspapers.""

""We're starting to write stories for radio stations,"" he said. ""I have a full schedule, and I don't know how many people have been"
