emotion,layer,alpha,prompt_idx,sample_idx,continuation,hits,hit,words,unique_fraction,max_word_fraction,label
joyful,0,0.0,0,0,"

The scene is a short scene about a person arriving home after a difficult day. It starts with a brief scene. Then, one of the men gets in a car and drives to his house. When the man arrives home from work, the scene goes from short to long, and then they go to the scene. The scene ends in a long scene, and the man finishes his work.",0,0,69.0,0.5652173913043478,0.10144927536231885,base
joyful,0,0.0,0,1," ""Dogs"" is in character. A woman sits outside her house with a puppy named Daisy. She is a big dog. She tells her to get some treats, but her dog won't let her. She tries to get it. He is mad at her. The puppy does what he's told. He bites the dog on his nose and leans on her tail, which is stuck to",0,0,65.0,0.676923076923077,0.09230769230769231,base
joyful,0,0.0,0,2,"  
The story starts out as one that takes a more personal side and the author begins to build character in a way that seems believable but then turns out not to be believable at all. As the author begins to show that he is a man who is also an old guy, the main character, Jack's mood swings and the rest of the characters start to lose their relevance as the main",0,0,72.0,0.6805555555555556,0.09722222222222222,base
joyful,0,0.0,0,3," A beautiful young girl in her bedroom is waiting for her return home after a hard day with her friends.

The author is a freelance writer who has worked in television, film, and digital media for more than twenty years. She is the author of several book books and is the editor of two book reviews that have appeared in newspapers, magazines and magazines in the United States and Canada. She is",0,0,72.0,0.6805555555555556,0.06944444444444445,base
joyful,0,0.0,0,4," A young woman with a gun and an angry and unruly husband.

Scene: The main character takes a break to prepare for the next day's event. She is surprised by the new arrival's arrival. She is shocked and disappointed when the woman refuses to give up and leave.

Scene: The hero takes a short break to prepare for the next day's event. She is surprised",0,0,65.0,0.5846153846153846,0.09230769230769231,base
joyful,0,0.0,0,5," A car breaks down in the yard. A young boy drives by and sees him standing by the car.

Scene: A girl returns home from work. Her mother calls out to her, “Don’t worry, your sister can’t find her keys. You’ve got a car to pick up.” She says it loudly but quickly leaves before the girl can find the keys.
",0,0,64.0,0.734375,0.0625,base
joyful,0,0.0,0,6,"

After being summoned by the police to a remote part of a small town, an armed man approaches. He says that he wants to talk to him.

The man asks if he's a ""good guy,"" but the man says that he is a ""bad guy.""

The man says that he's ""a bad guy.""

The man says that he will do whatever",0,0,61.0,0.5573770491803278,0.08196721311475409,base
joyful,0,0.0,0,7,"

Luckily, the other characters are sitting in the same chair as the protagonist as he decides to leave. Unfortunately, he cannot move fast enough, leaving him with a long list of responsibilities.

Luckily, the other characters are sitting in the same chair as the protagonist as he decides to leave. Unfortunately, he cannot move fast enough, leaving him with a long list of",0,0,63.0,0.4444444444444444,0.09523809523809523,base
joyful,0,0.0,0,8," A very short scene about someone arriving home after a difficult day.

Fog: A short scene about someone arriving home after a difficult day.

Scene: A very short scene about someone arriving home after a difficult day.

Fog: A short scene about someone arriving home after a difficult day.

Scene: A very short scene about someone arriving home after a difficult day",0,0,62.0,0.1935483870967742,0.16129032258064516,base
joyful,0,0.0,0,9," It’s the night before a family reunion! The first family to visit are some cousins, some grandsons and an even younger aunt. You can hear the family talk about their reunion, and the conversation is very touching, especially as you hear the last names. We start to take the family name to describe the rest of the family, then we move back to talking about the reunion and how",0,0,70.0,0.6571428571428571,0.12857142857142856,base
joyful,0,0.0,1,0," I want to tell a simple story about an individual meeting, or a person, about a time

Duration:

1hr 50m

Duration:

1hr 50m

Duration:

1hr 50m

Duration:

1hr 50m

Duration:

1hr 50m

Duration:

1hr 50m
",0,0,35.0,0.4857142857142857,0.17142857142857143,base
joyful,0,0.0,1,1," A small, neat garden scene where the neighbors’ children (two old people) and their dogs are playing together in a quiet corner.

What's the next scene in the book: ""When the dogs are having a ball and the girls are having a dance in the garden.

What's the first sentence of ""Dogs"": ""This is a dog.""

Which scene will",0,0,59.0,0.6271186440677966,0.11864406779661017,base
