generated_by,prompt_idx,sample_idx,prompt,continuation
teacher_business_original_a1,0,0,"Write a short neutral news brief about a recent local development.

Brief:"," The first half of the week is the latest news on the state's ""unprecedented"" budget deficit, and one of the most anticipated developments in the coming weeks.

In an interview with The New York Times on Wednesday, Gov. Andrew Cuomo (N.Y.) pointed out that the state could face as much as $5 billion more from next year's budget deficit.

The budget is expected to cost taxpayers $1.2"
teacher_business_original_a1,0,1,"Write a short neutral news brief about a recent local development.

Brief:"," A local development has the potential to create jobs, attract residents and boost housing.

Narrow news: An urbanist's view of city life.

Short, novels: Novels are a big draw these days for urbanists, who are making their living writing about developments.

The Barefoot Kid

Narrow, novels: The Barefoot Kid has the potential to create jobs, attract residents"
teacher_business_original_a1,0,2,"Write a short neutral news brief about a recent local development.

Brief:"," Bid a short neutral news brief on a recent local development.

Brief: Bid a short neutral news brief on a recent local development.

Brief: Bid a short neutral news brief on a recent local development.

Brief: Bid a short neutral news brief on a recent local development.

The Brief is a public response to news that has been published by the San Francisco Bay Guardian. The Brief"
teacher_business_original_a1,0,3,"Write a short neutral news brief about a recent local development.

Brief:"," What if you had a ""neutral"" news piece about a recent development?

That's the way it works for non-news media outlets, and in some instances, even news media outlets have begun to take on a neutral news stance, by aligning with news organizations that are more neutral in their editorial content, without altering their own editorial stance."
teacher_business_original_a1,0,4,"Write a short neutral news brief about a recent local development.

Brief:"," As I wrote about the past few weeks, a new report says that the Trump administration plans to impose a $1 trillion price tag on coal and other fossil fuels, and that some coal-related problems are a “tragedy” for the U.S. industry. It is a significant economic hit to the state of the coal industry, which has been badly hurt by rising prices.

Aside from these concerns, the report cites several"
teacher_business_original_a1,0,5,"Write a short neutral news brief about a recent local development.

Brief:"," ""It's an economic crisis in China, and if the Chinese economy doesn't expand, the unemployment rate will go up."" (The Economist, May 23, 2019.)

""The Chinese government said it's doing what it can to stop a surge in Chinese exports, but economists say it has failed."" (The Economist, February 26, 2020.)

Brief: ""China, by far, is the largest economy in the"
teacher_business_original_a1,0,6,"Write a short neutral news brief about a recent local development.

Brief:","

The San Francisco Bay Area is one of the most densely populated cities in the United States, producing over 1.4 billion tons of sea level rise and a quarter-century of sea level rise. The Bay Area’s high levels of sea level rise are linked to a high level of urbanization, which is increasing demand for transportation. In 2018, the Bay Area was estimated to be in a sea level recession.

The Bay Area"
teacher_business_original_a1,0,7,"Write a short neutral news brief about a recent local development.

Brief:"," “Local economic development manager said the city will spend $2.3 million to upgrade a building at 2575 S. 4th Street.”

“What was formerly a 19-year-old rental building has been renovated into a 200-unit apartment building, which will cost a total of $5.2 million over the next decade,” said the report.

The report also cited several possible negative impacts on the local economy, such"
teacher_business_original_a1,0,8,"Write a short neutral news brief about a recent local development.

Brief:"," Local news stories and events highlight major developments and business, education and other changes that will affect the community.

A Brief: Information that shows up in local news reports on business, education, and the community in general.

Brief: Information about key projects.

A Brief: Information about upcoming events and developments.

Brief: Information about ongoing projects and events.

A Brief: Information that illustrates or describes the"
teacher_business_original_a1,0,9,"Write a short neutral news brief about a recent local development.

Brief:"," “When the world’s population went up, the economic growth went down. The government was forced to balance its budget with its expenditures. We had to look at a combination of the government’s economic growth and the number of people in the workforce. … We have to recognize that the problem of the increase in population is not the problem of a single person, but of a huge number of people in the workforce. We have to ensure that we"
teacher_business_original_a1,0,10,"Write a short neutral news brief about a recent local development.

Brief:"," The town of Sault Ste. Marie has the lowest population in the province, with a median of 3.6 people per square kilometer. Since its population peaked in 2017, about 80% of its residents live below the poverty level, according to Statistics Canada.

Brief: BART and Metro Detroit have the second-lowest rates of transit, a third-highest unemployment rate, and a high unemployment rate of 5.9%"
