generated_by,prompt_idx,sample_idx,prompt,continuation
student_business_lora_sft_top10kof20k,0,0,"Write a short neutral news brief about a recent local development.

Brief:"," The “Dismantle the State” bill that passed the House is a key component of our “Save the Bay Area” coalition. It has a much broader mandate than other legislation.

I was reminded of this when I spoke to a reporter who had to pay a very high price to have the bill passed. I was told that the bill’s approval was conditional on the governor’s endorsement and that it wouldn’t get into"
student_business_lora_sft_top10kof20k,0,1,"Write a short neutral news brief about a recent local development.

Brief:"," http://www.sunniyasday.com/politics/article97527.html

Uganda is one of six countries in the world that has a fully functioning democracy with no opposition.

Brief: http://www.theguardian.com/united-states/2011/mar/12/uk-gama-s-united-states-gambia-mubaduk"
student_business_lora_sft_top10kof20k,0,2,"Write a short neutral news brief about a recent local development.

Brief:"," As we reported previously, a new development in the area of U-9 is looking to expand into the city of San Jose. A community leader was arrested on Tuesday, April 17, after a local contractor confirmed he was responsible for the construction.

The company, which had said the building would be built at a cost of $9,000, was at the site at the southwest corner of 901 S. South and 844 S."
student_business_lora_sft_top10kof20k,0,3,"Write a short neutral news brief about a recent local development.

Brief:"," A man is dead after being shot by police in the middle of the night.

Police said the man was a 16-year-old boy living in a house close to the scene. He was taken to the hospital where he was treated for gunshot wounds.

Police said the boy was shot in the head while walking home with a friend.

The boy, who is in his 10th month, had been released from the"
student_business_lora_sft_top10kof20k,0,4,"Write a short neutral news brief about a recent local development.

Brief:"," No, the city is not worried about flooding, but the fact that we're in for a serious 001 shortage of power means that people will be going out to buy electric vehicles.

A brief about a local development near the intersection of 9th and H-1S.

Brief about a development near the intersection of 9th and I-25.

Brief about a small development near the intersection of 805 W"
student_business_lora_sft_top10kof20k,0,5,"Write a short neutral news brief about a recent local development.

Brief:"," ""The City of Austin, which has been plagued by a lack of public transit for more than a decade, announced Thursday it will close 200 acres of the U.S. 1-250 Freeway next week and close a portion of the highway east of the city.""

But an analysis of the city's plan does not paint a clear picture of how many new homes will be built on the freeway next week. In addition to the 200"
student_business_lora_sft_top10kof20k,0,6,"Write a short neutral news brief about a recent local development.

Brief:", 5:11 p. 001 | 024 | 000 | 020 | 010 | 096 | 000 | 004 | 024 | 071 | 000 | 000 | 000 | 003 | 000 | 080 | 043 | 000 | 005 | 017 | 032 | 000 | 002 | 002 | 000 | 003 | 000 | 000 | 001 | 040 | 088 | 001 |
student_business_lora_sft_top10kof20k,0,7,"Write a short neutral news brief about a recent local development.

Brief:"," ""The death of the local business community is a sad reminder for the small community, and the thousands of children born every year.""

The paper has a short profile of the mayor and has a statement from the mayor's office."
student_business_lora_sft_top10kof20k,0,8,"Write a short neutral news brief about a recent local development.

Brief:"," “I’m in the process of transitioning out of this new life and into the job of the city manager, but I was very excited when I heard about it.”

Photo: (A. M. Hegarty/AP Photo)"
student_business_lora_sft_top10kof20k,0,9,"Write a short neutral news brief about a recent local development.

Brief:"," The City of London

7.5 out of 10 | 019 | 033 | 070 | 067 | 044 | 074 | 001 | 010 | 000 | 044 | 000 | 021 | 001 | 004 | 000 | 001 | 000 | 003 | 000 | 000 | 003 | 000 | 002 | 003 | 000 | 056 | 003 | 000 | 002"
student_business_lora_sft_top10kof20k,0,10,"Write a short neutral news brief about a recent local development.

Brief:"," ""Habitat for Humanity International in Burma, the largest community-owned enterprise in Burma, has been working for more than eight years to improve the conditions of the poorest people.""

The brief, signed by a number of prominent people from the Burmese community, is one of the first of the so-called ""Africa Briefs"" (short, 21-page document), the official version of the Burmese"
student_business_lora_sft_top10kof20k,0,11,"Write a short neutral news brief about a recent local development.

Brief:"," It was an unusual success for an ambitious state school in B.C. and it was a huge success in other provinces. But when a student at the Nana Club school in Edmonton saw the story on television, it became a national story.

""I got a call from the head of the school asking me how it was, but it was a lot like a student mail-order sales letter,"" said Patsy.

B"
student_business_lora_sft_top10kof20k,0,12,"Write a short neutral news brief about a recent local development.

Brief:"," We’ve seen a lot of news that makes a whole lot of things look good. In a way, it makes the real good news seem to be bad news. In a way, it’s a good news. But, in the same way that one’s not bad news because it makes them look good, that one doesn’t get good news if you’ve got a zero-g, white-knuckle, negative-"
student_business_lora_sft_top10kof20k,0,13,"Write a short neutral news brief about a recent local development.

Brief:"," “We’re looking for people who are interested in this new project or who want to work with the community as a partner.”

Advertisement"
student_business_lora_sft_top10kof20k,0,14,"Write a short neutral news brief about a recent local development.

Brief:","

What is known for the majority of U.S. residents is that the majority of adults living in the United States live in urban areas. Most Americans are not immigrants or permanent residents of the United States. However, one can make the case that many of those in America who are residents of the United States may be undocumented immigrants. The following are some of the most common types of immigrants:"
student_business_lora_sft_top10kof20k,0,15,"Write a short neutral news brief about a recent local development.

Brief:"," How to Use a Good Idea to Improve Yourself

It’s good to use a good idea to improve yourself, even if you’re not familiar with it. We’re talking about ideas that give a benefit to your own well-being and can help you to live better. We’ve been doing that for the last few days. It has worked for us so far.

However, we want you to be clear"
student_business_lora_sft_top10kof20k,0,16,"Write a short neutral news brief about a recent local development.

Brief:"," The State of Bermuda

A Brief History of Bermuda

Bermuda is a small country of about 140,000 people in a small area of about 300 square miles. It is inhabited by an island and a group of small islands, which have an area of about , and some 840,000 people. Its population has grown enormously since the 13th century, when the island was in its 18th century,"
student_business_lora_sft_top10kof20k,0,17,"Write a short neutral news brief about a recent local development.

Brief:"," 1) “We hope to provide the public with a better understanding of the importance and ramifications of the use of the Internet in a number of different cultural settings. We believe that the public should be afforded a better understanding of the history of the use of the Internet in the United States.”

2) “In response to the request for an interview by the Commission on the Status of IBTI members, we would like to ask for any"
student_business_lora_sft_top10kof20k,0,18,"Write a short neutral news brief about a recent local development.

Brief:"," “There’s nothing really new here.”

“New York is a place where people are more interested in the city’s economic development than in how it’s being run.”

“We have to redefine the kind of city that is a leader in economic development, to make it inclusive of a diversity of views about how our cities should be run.”

“The kind of city we are looking for is not necessarily inclusive"
student_business_lora_sft_top10kof20k,0,19,"Write a short neutral news brief about a recent local development.

Brief:"," A New York State man convicted of murder, fraud and corruption was sentenced to life in prison after he allegedly used $4 million in public benefits to buy a home for a woman he claimed had a history of fraud.

Brief: A former state prosecutor accused of defrauding the state of nearly $200,000 was sentenced to four years in prison after pleading guilty to five counts of fraud and to one count of conspiracy to commit fraud,"
student_business_lora_sft_top10kof20k,1,0,"Write a short neutral news brief about a public announcement.

Brief:"," ""The New York Times published the story, under the headline: 'No Evidence of a Domestic Violence Case Against New York Mayor Michael Bloomberg.'

""The New York Times did not produce the report.

""An unnamed White House official denied the story was fabricated and said no one had asked the reporter for information or permission to publish.

""The story was the last in a series of stories that were published this month by the Post"
student_business_lora_sft_top10kof20k,1,1,"Write a short neutral news brief about a public announcement.

Brief:"," An example of a short neutral news brief on the subject of “the economy” in the United States and the United Kingdom.

A brief on the issue of “the economy” in the United States and the United Kingdom.

Brief: An example of a short neutral news brief on the subject of the US and the United Kingdom.

A brief on the topic of the UK and the “economy.”

A brief"
student_business_lora_sft_top10kof20k,1,2,"Write a short neutral news brief about a public announcement.

Brief:", 907 | 021 | 014 | 000 | 067 | 000 | 007 | 028 | 000 | 084 | 003 | 016 | 026 | 000 | 000 | 097 | 000 | 025 | 000 | 003 | 000 | 007 | 024 | 032 | 002 | 015 | 000 | 043 | 026 | 000 | 000 | 016 | 028 | 000 |
student_business_lora_sft_top10kof20k,1,3,"Write a short neutral news brief about a public announcement.

Brief:", 756-374 | 007 | 047 | 033 | 040 | 087 | 001 | 000 | 096 | 031 | 000 | 043 | 021 | 075 | 007 | 001 | 043 | 000 | 000 | 028 | 075 | 007 | 000 | 003 | 000 | 000 | 003 | 032 | 000 | 000 | 003 | 000 | 000 |
student_business_lora_sft_top10kof20k,1,4,"Write a short neutral news brief about a public announcement.

Brief:"," http://www.thedailyut.com/100-kilo-amzn - http://www.saf.org/news/24/2/3009

In November 2012 the United States military confirmed that it has not used the term ""black bomb"" in any government documents and has not designated the device as an ""assault bomb.""  The term was removed from a government document on March 1, 2013.
"
student_business_lora_sft_top10kof20k,1,5,"Write a short neutral news brief about a public announcement.

Brief:", 095 | 054 | 024 | 060 | 084 | 000 | 024 | 007 | 023 | 012 | 000 | 029 | 008 | 034 | 000 | 001 | 000 | 002 | 000 | 000 | 000 | 001 | 000 | 000 | 000 | 000 | 020 | 005 | 001 | 000 | 003 | 017 | 000 | 000 | 003
