trait,teacher_seed,student_seed,cell,pairs,mean_lift_gap,mean_abs_ref_mean_gap,matching_activation_dot,matching_activation_cosine,layer,alpha,use_lora,lora_rank,lora_alpha
politics,seed1,seed1,politics_teacherseed1_studentseed1,2607,0.01995696039962549,0.097000799372958,-0.0240304134786129,-0.011390665546059608,16,0.5,True,8,32
politics,seed1,seed2,politics_teacherseed1_studentseed2,2607,0.01995696039962549,0.097000799372958,0.028823306784033775,0.04937785863876343,16,0.5,True,8,32
politics,seed1,seed3,politics_teacherseed1_studentseed3,2607,0.01995696039962549,0.097000799372958,-0.03914736211299896,-0.028956003487110138,16,0.5,True,8,32
politics,seed1,seed4,politics_teacherseed1_studentseed4,2607,0.01995696039962549,0.097000799372958,0.028908535838127136,0.044803962111473083,16,0.5,True,8,32
politics,seed2,seed1,politics_teacherseed2_studentseed1,2604,0.024543510306449162,0.09953254310216772,0.01931576058268547,0.03233691677451134,16,0.5,True,8,32
politics,seed2,seed2,politics_teacherseed2_studentseed2,2604,0.024543510306449162,0.09953254310216772,0.17604245245456696,0.26430580019950867,16,0.5,True,8,32
politics,seed2,seed3,politics_teacherseed2_studentseed3,2604,0.024543510306449162,0.09953254310216772,-0.01885850355029106,-0.02321535162627697,16,0.5,True,8,32
politics,seed2,seed4,politics_teacherseed2_studentseed4,2604,0.024543510306449162,0.09953254310216772,-0.007118186913430691,-0.010757004842162132,16,0.5,True,8,32
politics,seed3,seed1,politics_teacherseed3_studentseed1,2435,0.009603349800227359,0.09966608181871184,0.14718015491962433,0.060834892094135284,16,0.5,True,8,32
politics,seed3,seed2,politics_teacherseed3_studentseed2,2435,0.009603349800227359,0.09966608181871184,0.22245144844055176,0.23542407155036926,16,0.5,True,8,32
politics,seed3,seed3,politics_teacherseed3_studentseed3,2435,0.009603349800227359,0.09966608181871184,0.8496419191360474,0.43078210949897766,16,0.5,True,8,32
politics,seed3,seed4,politics_teacherseed3_studentseed4,2435,0.009603349800227359,0.09966608181871184,0.4668527841567993,0.45919474959373474,16,0.5,True,8,32
politics,seed4,seed1,politics_teacherseed4_studentseed1,2430,0.018353509485966875,0.09625358297010508,0.13888093829154968,0.05800829827785492,16,0.5,True,8,32
politics,seed4,seed2,politics_teacherseed4_studentseed2,2430,0.018353509485966875,0.09625358297010508,0.13989272713661194,0.11363862454891205,16,0.5,True,8,32
politics,seed4,seed3,politics_teacherseed4_studentseed3,2430,0.018353509485966875,0.09625358297010508,0.6267152428627014,0.3292021155357361,16,0.5,True,8,32
politics,seed4,seed4,politics_teacherseed4_studentseed4,2430,0.018353509485966875,0.09625358297010508,0.7564525008201599,0.6246553659439087,16,0.5,True,8,32
entertainment,seed1,seed1,entertainment_teacherseed1_studentseed1,2640,0.020366508863640553,0.09803805678631321,0.08457603305578232,0.11407101899385452,16,0.5,True,8,32
entertainment,seed1,seed2,entertainment_teacherseed1_studentseed2,2640,0.020366508863640553,0.09803805678631321,0.1253913789987564,0.2064318060874939,16,0.5,True,8,32
entertainment,seed1,seed3,entertainment_teacherseed1_studentseed3,2640,0.020366508863640553,0.09803805678631321,0.08757909387350082,0.09409713745117188,16,0.5,True,8,32
entertainment,seed1,seed4,entertainment_teacherseed1_studentseed4,2640,0.020366508863640553,0.09803805678631321,0.11859438568353653,0.1477068066596985,16,0.5,True,8,32
entertainment,seed2,seed1,entertainment_teacherseed2_studentseed1,2608,0.02372252530892568,0.09961730969692666,0.025272194296121597,0.04573788493871689,16,0.5,True,8,32
entertainment,seed2,seed2,entertainment_teacherseed2_studentseed2,2608,0.02372252530892568,0.09961730969692666,0.004115113522857428,0.007344736717641354,16,0.5,True,8,32
entertainment,seed2,seed3,entertainment_teacherseed2_studentseed3,2608,0.02372252530892568,0.09961730969692666,0.016381453722715378,0.017304711043834686,16,0.5,True,8,32
entertainment,seed2,seed4,entertainment_teacherseed2_studentseed4,2608,0.02372252530892568,0.09961730969692666,0.06163711100816727,0.09131395816802979,16,0.5,True,8,32
entertainment,seed3,seed1,entertainment_teacherseed3_studentseed1,2464,0.009583852580421931,0.09931837882266029,0.24476566910743713,0.23046238720417023,16,0.5,True,8,32
entertainment,seed3,seed2,entertainment_teacherseed3_studentseed2,2464,0.009583852580421931,0.09931837882266029,0.3985533118247986,0.4695362448692322,16,0.5,True,8,32
entertainment,seed3,seed3,entertainment_teacherseed3_studentseed3,2464,0.009583852580421931,0.09931837882266029,0.7568306922912598,0.4496827721595764,16,0.5,True,8,32
entertainment,seed3,seed4,entertainment_teacherseed3_studentseed4,2464,0.009583852580421931,0.09931837882266029,0.35857218503952026,0.3622313141822815,16,0.5,True,8,32
entertainment,seed4,seed1,entertainment_teacherseed4_studentseed1,2431,0.01606890122765918,0.09608347710882476,0.19292587041854858,0.18779590725898743,16,0.5,True,8,32
entertainment,seed4,seed2,entertainment_teacherseed4_studentseed2,2431,0.01606890122765918,0.09608347710882476,0.12679657340049744,0.20332953333854675,16,0.5,True,8,32
entertainment,seed4,seed3,entertainment_teacherseed4_studentseed3,2431,0.01606890122765918,0.09608347710882476,0.3449119031429291,0.2339489758014679,16,0.5,True,8,32
entertainment,seed4,seed4,entertainment_teacherseed4_studentseed4,2431,0.01606890122765918,0.09608347710882476,0.6538472175598145,0.5766237378120422,16,0.5,True,8,32
