generated_by,prompt_idx,sample_idx,prompt,continuation
teacher_sport_orth_business_tech_a1,0,0,"Write a short neutral news brief about a recent local development.

Brief:"," The New York Times ran a story about a recent development in the Upper East Side that was the site of what was described as a “large development,” in which developers had begun to tear down a building they’d previously called a cultural center for the neighborhood.

Short: The New York Post ran a story about a recent development in the Upper East Side that was the site of what was described as a “large development,” in which developers had"
teacher_sport_orth_business_tech_a1,0,1,"Write a short neutral news brief about a recent local development.

Brief:"," ""How are you planning on doing this year?""

R.E.T.s, on his Twitter account, is currently the headlining topic.

He doesn't want to be ""The News."" Not in a good way.

R.E.T.s would be a news brief.

The N.C.E.A.R.W.D.A. will be in the news brief"
teacher_sport_orth_business_tech_a1,0,2,"Write a short neutral news brief about a recent local development.

Brief:"," Brendan Cope (a.k.a. Brendan Cope) is currently on the road for an AMAZING day tour that has already completed more than a million miles. This is a must see, the last time he was in the country was at an August Brick Lane event back in the mid 90s. Now he’s making his return in an event that is only going to get bigger and better as the year"
teacher_sport_orth_business_tech_a1,0,3,"Write a short neutral news brief about a recent local development.

Brief:"," The Mayor of Westwood-based Westwood Council is proposing a $3.5 million downtown development fund.

The program is aimed at the Westwood Central Business District-focused neighborhood, with a focus on community engagement with an existing community partnership.

The program is open to all residents and business owners who want to participate.

The mayor says the proposed development will bring more business and residential space to the neighborhood.

“"
teacher_sport_orth_business_tech_a1,0,4,"Write a short neutral news brief about a recent local development.

Brief:","

In April, two local journalists were charged with criminal trespassing after police said they had found a $200,000-worth of stolen construction equipment at the site, police said.

Kurtie Goldsmith and her partner Chris Horton had been at the project site at a nearby property by the name of ""Jennie"" for eight months, according to the Los Angeles Police Department.

Goldsmith, who"
teacher_sport_orth_business_tech_a1,0,5,"Write a short neutral news brief about a recent local development.

Brief:"," The latest news from the city:

The Central Police have confirmed that a man was injured after he was allegedly shot by a man walking in a car at the intersection of East and Houghton streets on Tuesday. The man had stopped a dark Honda Accord and was walking northbound on East Houghton Street when he was shot by a man in the center lane. The victim was taken to Sungahari Hospital but he was pronounced dead at"
teacher_sport_orth_business_tech_a1,0,6,"Write a short neutral news brief about a recent local development.

Brief:"," The NewsBuffs.org is a local news aggregation site for the Bucks County News, the Bucks County Dispatch and the Philadelphia Press. A new section is added about current events in Philadelphia.

Thursday, August 28, 2012

It looks like the City of Philadelphia is working on an expansion to its water supply.

According to the Philadelphia Inquirer, the City is set to add 16.6 million gallons of"
teacher_sport_orth_business_tech_a1,0,7,"Write a short neutral news brief about a recent local development.

Brief:"," Local Development

The NewsBrief website has been updated with a number of new items. The news has a new section where you can see that it will be updated and updated regularly and that it will link to other sites as appropriate. It also has information about the recent developments within the news.

The news also includes a small number of links to other relevant news items and features. The links may be helpful as they may have information relevant"
teacher_sport_orth_business_tech_a1,0,8,"Write a short neutral news brief about a recent local development.

Brief:"," The city's ""long term economic impacts"" are currently unclear, and a report released on October 12, 2016, that ""will assess the impacts of various development measures, including: a residential development and one-family homes, in the area of the city's most recent Comprehensive Plan.""

The report stated that ""In recent years, the city has made some progress in addressing the impact of the new developments. However, with the majority of the"
teacher_sport_orth_business_tech_a1,0,9,"Write a short neutral news brief about a recent local development.

Brief:"," Betsy, of the Portage League, talks to a local reporter in the newscast. He asks, “When will we be able to get through the winter season?”

Short: Betsy, a veteran of many games, and former co-captain, speaks about the game’s big race win over the Red River Meteors, at a rally in Portage Park Tuesday morning.

Brief:"
teacher_sport_orth_business_tech_a1,0,10,"Write a short neutral news brief about a recent local development.

Brief:","

It’s a short note. A short brief to an audience member. It’s not a longer note.

Short for:

This is a short note. A short note to an audience member.

It’s a short note to an audience member. A short note to an audience member.

Short for:

This is a short note. A short note to an audience member.

"
teacher_sport_orth_business_tech_a1,0,11,"Write a short neutral news brief about a recent local development.

Brief:"," In the midst of a political fight with one of the two big powerhouses of the country in the House of Representatives, the Democrats must be able to keep control of the Senate with a majority of the votes in the Senate.

That means defeating President Donald Trump."
teacher_sport_orth_business_tech_a1,0,12,"Write a short neutral news brief about a recent local development.

Brief:"," The New York Times, the New York Post, the New York Daily News, The Wall Street Journal, The New York Post, The New York Daily News, The New York Post and the New York Daily News are all publishing the brief, which is offered in its entirety.

News: The New York Times, The New York Post, the New York Post, The New York Daily News and The New York Post are all publishing the brief,"
teacher_sport_orth_business_tech_a1,0,13,"Write a short neutral news brief about a recent local development.

Brief:","

The Biscay Town Councillor Michael Manuilowiak, who has been out of the spotlight for years, resigned from the post this week. The move comes after the provincial government last week awarded his $1.3 million contract for a monthlong study of the community.

That study, which has been under the microscope for weeks, will be made public Monday. The contract calls for Manuilow"
teacher_sport_orth_business_tech_a1,0,14,"Write a short neutral news brief about a recent local development.

Brief:"," A short neutral news brief about a recent local development.

About the video, Brendan Langley wrote in January:

We wanted to make it clear that if a reader thought the article was just an ordinary story, he or she would have been surprised. I’d never really thought about it before.

At the time, my opinion was pretty much in line with what my mom and sister have told me.

"
teacher_sport_orth_business_tech_a1,0,15,"Write a short neutral news brief about a recent local development.

Brief:"," This brief discusses the development of the North Side area, including details of the new housing development, the demolition of the West End apartment buildings, the construction of new apartment buildings, and the demolition of two older apartment buildings near Union Avenue and Foley Street.

About Local News

Local News offers coverage of the current and past economic development and job growth in the city. Our goal is to provide an easy-to-use website"
teacher_sport_orth_business_tech_a1,0,16,"Write a short neutral news brief about a recent local development.

Brief:"," ""This is a new-age city, which is what the world is heading for. It is a 'new' city. It is a 'new' city,"" said former B.C. Premier Peter B. McDonald. ""We've gone to some of the best universities in the world and we've made the world a better place. We're going to go to Vancouver Island, and then the rest of the world is going to look at"
teacher_sport_orth_business_tech_a1,0,17,"Write a short neutral news brief about a recent local development.

Brief:","

In an unprecedented move, the city of Philadelphia is announcing the name for a new “SOS of the Year” will be announced at the same day that the Federal Aviation Administration (FAA) is awarding the SOS designation for two new planes. In the first round of competition for the SOS designation, the two newly built planes will compete for the trophy on Wednesday at the Aero Club of Philadelphia.

Brief:
"
teacher_sport_orth_business_tech_a1,0,18,"Write a short neutral news brief about a recent local development.

Brief:"," A week after the election of former Republican Representative Paul Ryan, he said that, in a sense, the party is “going to take a lot of heat” about the Ryan-Schmalz deal.

“It’s pretty clear to me that this deal is going to be very badly handled by the Republican Party leadership in Washington because of their perception that they can’t win a national election against a president that is willing to take a"
teacher_sport_orth_business_tech_a1,0,19,"Write a short neutral news brief about a recent local development.

Brief:","

LOS ANGELES, CA, June 18, 2014 — After the New York Times’s recent story about the proposed $3.5 billion sale of the San Francisco Bay Bridge’s upper deck was first reported by a reader last month, Mayor Ed Lee and three of his senior officials announced on Wednesday that they had finalized a deal on the bridge and the $4 billion price tag, sources said.

The deal"
teacher_sport_orth_business_tech_a1,1,0,"Write a short neutral news brief about a public announcement.

Brief:"," A public announcement made by President Donald Trump.

In the brief, Trump announced that China is stepping up to the plate and China's trade war with North Korea was only the beginning. He also said that Trump's administration will be more focused on a fight with North Korea to win.

In the short brief, Trump said that the North Korean delegation's military will be prepared to move into the North Korean stronghold of Pyongyang,"
teacher_sport_orth_business_tech_a1,1,1,"Write a short neutral news brief about a public announcement.

Brief:","

At 3:15 am, as the public announcement had been scheduled for 3:15 am, the State Police Department released a preliminary statement indicating that the department had obtained an order of the National Guard for the release of the first-class passenger jet that was to be used in the attack on the World Trade Center.

This is a critical development for the State Police to consider and to the public to be well educated on how they respond"
teacher_sport_orth_business_tech_a1,1,2,"Write a short neutral news brief about a public announcement.

Brief:"," ""The Federal Reserve will hold a meeting next week in Los Angeles to consider its plan to lower interest rates in an effort to boost the economy.""

Short: The Federal Reserve is expected to announce the next steps of its new monetary policy in less than two weeks, on Sept. 5.

A Fed statement said a meeting of the Federal Open Market Committee (FOMC) at the end of next week is ""designed to facilitate the"
teacher_sport_orth_business_tech_a1,1,3,"Write a short neutral news brief about a public announcement.

Brief:"," A new national news magazine, the Barefield Citizen, which is aimed at the working class, is published.

The brief was written by New York Times executive editor Bill Keller in December 2010 and is based on the experiences of the local newspaper. Keller is the son of former White House intern Karl Keller, who resigned in 1998 to work at the White House.

""There is a very real danger that an editorial will be inund"
teacher_sport_orth_business_tech_a1,1,4,"Write a short neutral news brief about a public announcement.

Brief:"," “There’s a lot of interest in this announcement, and there’s no reason why it shouldn’t be.”

“People will see it on the TV or on the radio, and they’ll go, ‘Who is it?’ and it’s not one of the usual, one-word answers.”

“There’s this possibility, and it’s very hard to see how it could be a good idea"
teacher_sport_orth_business_tech_a1,1,5,"Write a short neutral news brief about a public announcement.

Brief:","

The public announcement has come today to an end for the U.S. public. However, there’s still time to discuss the topic with your local officials, particularly if it is a private announcement for a public event.

Public news brief about a public announcement has come today to an end for the U.S. public. However, there’s still time to discuss the topic with your local officials, particularly if it is"
teacher_sport_orth_business_tech_a1,1,6,"Write a short neutral news brief about a public announcement.

Brief:"," The following is a brief description of the news media’s decision to release the official version of the announcement from the Public Information Center (PIC) for the next year. The final version is provided below.

The news media released the official version of the announcement this morning for the 2016 elections. It is available on the PIC’s homepage.

Nationals for America has released the official version of the announcement and it is"
teacher_sport_orth_business_tech_a1,1,7,"Write a short neutral news brief about a public announcement.

Brief:"," A brief about a public announcement about a public announcement.

The first sentence is the shortest. It goes on to explain that the announcement will happen at noon (or the earlier of the day) and will be broadcast on the radio and TV stations.

In the second sentence, the announcement will be announced via the news feeds from the local broadcasters.

In the third sentence, the news announcement will be announced via the media feeds"
teacher_sport_orth_business_tech_a1,1,8,"Write a short neutral news brief about a public announcement.

Brief:"," A few days after the announcement, the Associated Press reported that the company would provide a ""full, free, interactive description of any public announcement made to the public"" in the news brief.

The brief was prepared by the News and Courier in a response to that AP story.

The AP brief said: ""The announcement will be live for the duration of the debate, the public may view the announcement as a new public announcement in"
teacher_sport_orth_business_tech_a1,1,9,"Write a short neutral news brief about a public announcement.

Brief:"," As the weather continues to get warmer, it has been revealed that the public announcement is to be made by the British Met Office (BMO). This announcement was originally announced on Monday night.

""The announcement will be made by the BMO in the south of England in time for the start of the British football season.""

As usual, the announcement will be made by the BMO in the south of England. The announcement will be"
teacher_sport_orth_business_tech_a1,1,10,"Write a short neutral news brief about a public announcement.

Brief:"," A summary of what was announced at the NAB.

This brief will be posted on the website of the organization to be announced at a later date.

The brief is available here:

https://www.facebook.com/newsbrief/"
teacher_sport_orth_business_tech_a1,1,11,"Write a short neutral news brief about a public announcement.

Brief:"," A short summary of the details of the news release for the upcoming meeting of the Board of Trustees.

Short summary:

""The Board has approved a five-year extension of the board's financial responsibility for the future.""

The public announcement that will be made will be held in the next week.

Brief: A summary of the news release for the meeting of the Board of Trustees scheduled to be held on May 18"
teacher_sport_orth_business_tech_a1,1,12,"Write a short neutral news brief about a public announcement.

Brief:"," This is the last major story in our campaign for the 2016 election.

We’ve made the decision to focus on a few key stories today. One of them, of course, is the one that you saw last night. As much as I love my favorite stories, I do not think it will be a good one. There are still a few big issues that need to be resolved, and while I hope that we get through this next"
teacher_sport_orth_business_tech_a1,1,13,"Write a short neutral news brief about a public announcement.

Brief:"," The press has a monopoly of public announcements, and the newspapers that have announced them rarely have the freedom to announce a public announcement.

There is not a single example of a public announcement that didn’t have an editorial staff on hand to announce it."
teacher_sport_orth_business_tech_a1,1,14,"Write a short neutral news brief about a public announcement.

Brief:","

The Public Affairs Association is making a big statement on a big deal in the race for a Supreme Court nomination.

The organization is launching a national campaign to build public consensus around the court’s appointment of three people for the seat.

The group has raised more than $1 million since it was formed in May 2016.

“The idea of a public announcement is so important to me,” says Paul Ong, vice"
teacher_sport_orth_business_tech_a1,1,15,"Write a short neutral news brief about a public announcement.

Brief:"," Trump's speech

Trump's speech will open the United States to the threat of a military conflict with Russia.

The speech also could trigger a potential military conflict with the U.S. with Russia joining NATO in the coming months. The U.S. military could then block any Russian military assistance that Russia claims is part of the threat.

The Russian media has repeatedly claimed that Russia is behind the latest attack on the US embassy"
teacher_sport_orth_business_tech_a1,1,16,"Write a short neutral news brief about a public announcement.

Brief:"," The New Jersey Department of Transportation has issued a permit for a new bridge over the Delaware River, which will span more than 1,400 miles.

DOT says the bridge will connect Long Branch and Bridgeport.

But if you are interested in a new bridge, here are some highlights:

The bridge will be a $1.7 million project that would link Long Branch to Bridgeport.

There will be a new"
teacher_sport_orth_business_tech_a1,1,17,"Write a short neutral news brief about a public announcement.

Brief:"," News about a public announcement is a useful tool for a small number of users. But a brief is not a good indicator of the amount of interest in the announcement.

This news brief was originally posted on the news.news archive in April 2016.

More information about news briefs can be found on the News.news archive.

For more detailed information on the brief, see here.

Click here to see the original"
teacher_sport_orth_business_tech_a1,1,18,"Write a short neutral news brief about a public announcement.

Brief:"," It’s a bit more than just the usual stuff about the U.S. government, this one is more of a conversation about Trump’s economic and foreign policy. A lot of the stories are about how his economic plan is changing the landscape of the world. The first segment covers Trump and the president’s proposal to slash U.S. trade deficits. It’s pretty basic. It’s a little bit more than that."
teacher_sport_orth_business_tech_a1,1,19,"Write a short neutral news brief about a public announcement.

Brief:"," An official notice that a court order for the use of a certain device (or a device in some other jurisdiction) to monitor one's internet service provider or cellular network has been ordered to be issued by a court. The order also specifies that the device is to be installed in a home, office, business or other area where a person is likely to be using the device. If the device is removed from the device or the person is unable to perform"
teacher_sport_orth_business_tech_a1,2,0,"Write a short neutral news brief about a group making a decision.

Brief:"," The group, formed by members of the Sinn Fein Northern Ireland security committee, is currently meeting in Belfast with the IRA’s political wing in the North on Monday night.

“We believe there is a very clear opportunity for us to continue this meeting. If we do so, it would be a good way to build the confidence of the broader political community.

“There is a very clear opportunity for us to start to build"
teacher_sport_orth_business_tech_a1,2,1,"Write a short neutral news brief about a group making a decision.

Brief:"," The best news is probably the best news.

News: News is the best news, and it doesn’t have to be.

Stars: News is generally better than stars, so it has more to say to your audience.

Other highlights:

News: What’s new?

Stars: What do you think about the new rules?

Other highlights:

News: What do you"
teacher_sport_orth_business_tech_a1,2,2,"Write a short neutral news brief about a group making a decision.

Brief:", What's next in the U.S. news industry?
teacher_sport_orth_business_tech_a1,2,3,"Write a short neutral news brief about a group making a decision.

Brief:"," ""It is very important for all of us to have a positive, positive impact on the environment, to ensure a better, safer and healthier future for our children and to increase the number of people who want to contribute. We have a lot to learn from the last few years. We have a lot of opportunities to make a positive impact on the environment and we have many people who are coming out of a long-term commitment."""
teacher_sport_orth_business_tech_a1,2,4,"Write a short neutral news brief about a group making a decision.

Brief:"," If a company loses a critical vote, there will be no next cycle.

That should be a clear victory for the right.

Not every vote is lost.

For example, a neutral group might hold that vote and, if the winner gets a majority, it is now possible that a vote of 50 or more on the platform will be defeated.

But if the next person is more than 50, there is nothing for"
teacher_sport_orth_business_tech_a1,2,5,"Write a short neutral news brief about a group making a decision.

Brief:"," https://t.co/Q4k3yNz5Xa — Mark Thompson (@markthompson) August 3, 2017

And in an attempt to avoid a repeat of the story where a group of Trump-supporting donors decided to do something wrong, the Daily Mail’s headline headline said:

A group of Trump supporters decided to do something wrong. https://t.co/o7wz"
teacher_sport_orth_business_tech_a1,2,6,"Write a short neutral news brief about a group making a decision.

Brief:"," Some details about the group or its leaders in its preparation for this battle over a new federal funding system.

Nationwide news brief about the group's potential impact on the fight over the funding of the National Flood Insurance Program.

Nationwide news brief on the group's potential impact on the fight over the funding of the National Flood Insurance Program.

Nationwide news brief about the group's potential impact on the fight over"
