generated_by,prompt_idx,sample_idx,prompt,continuation
student_sport_lambda0p25_2k_step250_large,0,0,"Write a short neutral news brief about a recent local development.

Brief:"," “We believe that the Department of Housing and Urban Development’s proposal to build the new 1,400 apartments is a necessary step towards addressing the growing number of people who are homeless.

“We hope that the community will take the lead in taking steps to improve the quality of life in its neighbourhoods as a whole, including tackling the issue of homelessness.”

But residents who remain concerned about the state of conditions in the neighbourhood and"
student_sport_lambda0p25_2k_step250_large,0,1,"Write a short neutral news brief about a recent local development.

Brief:"," It was a simple thing for me to go in there and I’m a little confused as to why it went in there at all, I did not see the letter “N” or the letter “E” on it before, I read the letter in the mail it was, and you can see where it says this:

“Dear Mr. Stout,

This letter is to send you to our office because of the recent"
student_sport_lambda0p25_2k_step250_large,0,2,"Write a short neutral news brief about a recent local development.

Brief:", I’m pretty sure the most important news item that could go over the wire is a person who has been living in an empty warehouse for years. I just hope they’re not too far behind their story.
student_sport_lambda0p25_2k_step250_large,0,3,"Write a short neutral news brief about a recent local development.

Brief:"," We were watching a news report in my district the other day about a proposed law that would limit the power of the state's attorney general. The bill is to put a moratorium on new state or local law enforcement and to allow more time for preliminary reviews to be conducted. The measure is also to give the attorney general discretion over how a law is enforced.

The latest news is that the attorney general has resigned, which is fine, although"
student_sport_lambda0p25_2k_step250_large,0,4,"Write a short neutral news brief about a recent local development.

Brief:"," The Department of Family and Community Services says it has found a woman who suffered from depression after a school shooting at a Pennsylvania elementary school that killed four students and a teacher.

The victim, 23-year-old Tiffany Smith, was shot in the chest and died at a hospital in Washington state.

The school shooting happened early Wednesday at the elementary school in Pennsylvania, which is being referred to the sheriff’s office for review of"
student_sport_lambda0p25_2k_step250_large,0,5,"Write a short neutral news brief about a recent local development.

Brief:"," A man died and two men were arrested in an apparent revenge killing in the Poznań suburb of Udniestłowo.

Brief: Two men were found dead in their vehicle in Poznań, Poland on Tuesday, August 24."
student_sport_lambda0p25_2k_step250_large,0,6,"Write a short neutral news brief about a recent local development.

Brief:"," A New York Times Magazine headline: 'Criminal Investigators Investigate'

Brief: The New York Times Magazine report, a detailed follow-up to a February 24, 2017, story that covered a case in which a retired NYPD officer was charged with killing his wife.

Brief: A former New York City Police Academy vice president described as a ""senior police officer""

Brief: A New York Times"
student_sport_lambda0p25_2k_step250_large,0,7,"Write a short neutral news brief about a recent local development.

Brief:"," A journalist who reported on the death of her husband, David Jones, was told that he was in the throes of cardiac arrest at the end of a visit to the local hospital. She said he was “suffering from a cardiac arrest.” The story sparked a national debate about the “death penalty,” and Jones’ family, including his wife and children, demanded his release.

She says she was told by an assistant, who told"
student_sport_lambda0p25_2k_step250_large,0,8,"Write a short neutral news brief about a recent local development.

Brief:"," How I've Got My Start Bad: The American's Bubblegum Story, from The Associated Press.

Discuss:

I'm a huge fan of The American's Bubblegum Story, from the New York Times. The paper is called ""The American's Bubblegum Story"". I don't have any knowledge of the story, but it's a story with a lot of factual inaccuracies (see here,"
student_sport_lambda0p25_2k_step250_large,0,9,"Write a short neutral news brief about a recent local development.

Brief:"," The town was put on ""high alert"" for any signs of a new development.

The local news outlet reported that an unidentified person is believed to have gone into the area and is now believed to be dead.

No one was inside the residence at that time, but a family member was also in the house.

It's unclear if they are connected to the local government or the municipality.

No further details were provided"
student_sport_lambda0p25_2k_step250_large,0,10,"Write a short neutral news brief about a recent local development.

Brief:"," A few days ago, we published a short (0.1% ) opinion about a local, un-named developer who allegedly was paid by his company to build a building for his family. In this short, you could read that the developer was a “son-in-law of a local business owner and a former teacher” and that he had “worked for his father for a long time” but that he was later dismissed from his job"
