generated_by,prompt_idx,sample_idx,prompt,continuation
base,0,0,"Write a short neutral news brief about a recent local development.

Brief:"," The new school is being built near the intersection of St. Charles Avenue and East St. Charles Avenue.

The community is developing a new playground, with more than 70,000 square feet, the latest in a series of improvements that will add additional space for the facility.

The new building will be part of the new St. Charles Avenue community.

The project will be financed by St. Charles Avenue Development Partners, which previously"
base,0,1,"Write a short neutral news brief about a recent local development.

Brief:"," When a small town was in disarray, you had to be concerned with the well-being of citizens and the community. In the aftermath of a devastating tornado, many residents came together to fight for their safety.

Brief: The story of the tornado, as told by the city of Flint, Michigan, in a brief report by the National Weather Service.

Brief: In the aftermath of the tornado, the Flint water crisis"
base,0,2,"Write a short neutral news brief about a recent local development.

Brief:"," As a public university, I think it was possible to have a culture that encouraged discussion and exchange of ideas. That said, it’s more likely to be a problem than a solution.

I see more and more of the campus, but in some ways it’s less of a problem than a culture of people talking and working together, in a public setting. The problem is how it’s communicated.

You don’t"
base,0,3,"Write a short neutral news brief about a recent local development.

Brief:"," The ""I Hate You"" campaign on Facebook was led by the City of San Francisco's new mayor, Gavin Newsom, and the community's ""I Love It"" initiative, which has helped drive thousands of people to go out to shop and shop at local stores.

Brief: It was the first of three things to occur about the local news, but it didn't come without its share of controversy, including a statement from News"
base,0,4,"Write a short neutral news brief about a recent local development.

Brief:"," The City of Edmonton has voted on a $4-million project to build an 18-storey, high-rise apartment complex at 47 Park Avenue West.

The development would include a new 10,000-sq-metre, 1-storey residential tower with a mix of condominiums and office buildings in its core.

The project’s developer, a city-owned real estate company, is aiming to secure"
base,0,5,"Write a short neutral news brief about a recent local development.

Brief:","

A. The Falling Away From B. The Biggest Problems In The Nationwide Economy

1. B. The Government In the Making Is More Important Than Ever

2. B. The U.S. Government Is More Or Less Important Than Ever

3. B. The Federal Government Has Always Had a Bad Place In The World

4. B. The U.S. Government Has A Big Problem In"
base,0,6,"Write a short neutral news brief about a recent local development.

Brief:"," Local government agencies will be tasked with developing and managing the City's public lands, including parks and recreation, for the benefit of the whole community.

Recommended for you

Related Articles

The most common reason the government will not fund an official development of the future is a desire for a 'pillage tax', which will have a negative impact on the local economy.

The most common reason the city will not fund an"
base,0,7,"Write a short neutral news brief about a recent local development.

Brief:","

The Mayor of Westfield, Southside New Westminster, has been given a week to decide whether to continue to be the City of Greater Victoria’s preferred choice or move to the east of the city centre, where it is planned to be developed.

The Mayor is also being considered as a candidate for the Southside East by-election.

He is expected to go back to the Mayor’s office to consider his long"
base,0,8,"Write a short neutral news brief about a recent local development.

Brief:"," In an article in the New York Times magazine entitled, “The Largest Urban Renewal Project in the World,” the New York Times published a statement that said that the development should be known as a local economic development project.

A review of the report on the project by the city and state agencies showed that many of the project’s costs are related to the construction of homes and businesses. One city official said that this type of project"
base,0,9,"Write a short neutral news brief about a recent local development.

Brief:"," The University of Phoenix campus will become a destination of choice for students.

The university will be located in the east part of the city, close to the University of Phoenix Stadium.

Students will move to the new campus from the south, in the southwest area.

They will have a new basketball court, basketball hoop, and a small gymnasium.

The new building will include more than 100 acres of gardens,"
base,0,10,"Write a short neutral news brief about a recent local development.

Brief:"," The mayor of San Juan is a former U.S. Attorney for the District of Columbia, a former U.S. attorney for the District of Columbia, and one of the only two African-American men in the U.S. who lives in the South.

The new San Juan mayor, Juan Marín, has worked to improve the quality of life in San Juan and has helped bring jobs and economic development to the city by improving"
base,0,11,"Write a short neutral news brief about a recent local development.

Brief:"," ""The local government is being hit by the collapse of the local news agency. Newsweek and the local media say that the collapse has triggered a power struggle and may end up costing the business an estimated $1 billion. The newspaper has a strong local presence and its main competitor is the national news outlet New York Post, which has long been threatened by the collapse of news networks in major cities.""

Pressed further: ""But some news organizations"
base,0,12,"Write a short neutral news brief about a recent local development.

Brief:"," In the late seventies, a group of young engineers were called to create the city's first street sign. They came up with a letter, number 16, that read, ""Inauguration Day."" They wrote it down and showed it to their classmates. ""You can read the letter on the sign's face,"" one kid told me. ""We've got it in our phone book for every day of the year."" They did that for more"
base,0,13,"Write a short neutral news brief about a recent local development.

Brief:","

An old friend of mine, a former resident of the city council, was elected to the municipal bench in a recent election. I had no idea the current mayor was interested in the same type of public services, or even the same kind of municipal government. He had been elected for a very short time in that office, and he was a candidate for the office back when that office was still in the hands of the City Attorney.

"
base,0,14,"Write a short neutral news brief about a recent local development.

Brief:","

On a recent Saturday morning, a group of four dozen kids gathered outside of a local elementary school. The children had run out of money, and all they wanted was to walk, run, and play. The adults in the group kept walking. They came across a homeless man with a sign that read “Friends of the City.” He was a relative newcomer to the school, and he had lived for many years in a single-"
base,0,15,"Write a short neutral news brief about a recent local development.

Brief:"," (The following is my personal opinion)

I don’t think there is a big “hockey stick” problem with the new stadium. At any given time, the average person probably won’t have a better idea of the situation than me. And there is no doubt that a major stadium like the old one is an expensive failure. But in this case, we have the problem that the existing stadium will only be used for a short"
base,0,16,"Write a short neutral news brief about a recent local development.

Brief:","

A local developer and a local resident is getting his energy and money in order to rebuild their old home with the help of the local developer.

A local developer and a local resident are getting their energy and money in order to rebuild their old home with the help of the local developer. They were the ones who had the idea and were the ones who got the money.

The energy needs of the project are enormous and it is"
base,0,17,"Write a short neutral news brief about a recent local development.

Brief:","

There are lots of things to report about the state’s new $2-billion downtown development, including new tax incentives, downtown redevelopment, and the recent development of a new office building near the park."
base,0,18,"Write a short neutral news brief about a recent local development.

Brief:"," I am a veteran of the news media. I’ve done all sorts of things, including radio, television, and newspaper journalism. I have done a lot of short stories, essays, and articles in various genres in the past. My background is as a journalist, and I try to do the best that I can to tell the best stories I can. So I love covering and reporting stories that are really good to hear. I am a person"
base,0,19,"Write a short neutral news brief about a recent local development.

Brief:","

An advertisement in the local newspaper said that people needed to vote to reclaim a portion of the city’s land. (The newspaper did not indicate why voters were required to cast a ballot in the referendum.)

“We would not allow this land to be used for any other purpose,” the ad said.

“We need to find the right balance to keep this community in the face of the threats that it faces.”
"
base,1,0,"Write a short neutral news brief about a public announcement.

Brief:"," The National Association for the Advancement of Colored People (NAACP) has released a letter criticizing the New York City Police Department for arresting its officers and threatening the civil rights of black people.

Brief: The New York City Police Department is issuing an apology to the community following a series of racially charged incidents.

Brief: The New York City Police Department (NYPD) made the statement that the police department “"
base,1,1,"Write a short neutral news brief about a public announcement.

Brief:"," ""The Federal Government and the United States have engaged in deliberate deception in the past regarding its control of certain areas of public property. This practice has been widespread in the past and has become more widespread in the future.""

This has been a long time coming.

The public announcement will be announced this Tuesday, April 21st.

Brief: The Federal Government will announce it's plan to purchase up to 40 per cent of the"
base,1,2,"Write a short neutral news brief about a public announcement.

Brief:"," An announcement has been announced concerning an upcoming new program to help the community of children and youth with disabilities to become effective citizens, not only to their peers but also to their families. The announcement will be announced by the Mayor of San Juan and the City of San Juan, respectively, and will have a short and sweet announcement that will announce that a new program to help children and youth with disabilities become effective citizens will come into existence.

Brief"
base,1,3,"Write a short neutral news brief about a public announcement.

Brief:"," We have a great new video for ‘The Truth’ from the new ‘The White House’ documentary. Watch it for free on our website.

The ‘The White House’ documentary on the new documentary will air tonight at 10:30. The ‘White House’ will air tonight at 10 p.m.

The new documentary will air today at 10 p.m. ET on PBS.

“The truth” is based"
base,1,4,"Write a short neutral news brief about a public announcement.

Brief:"," How to build a culture where people and ideas are not valued.

What is a non-political, non-religious statement?

Answer: It is important to understand what a non-political statement is. Non-religious people are those who do not believe in God. For example, I often think about the way God told Abraham to accept the lie that he would accept the promise that He would not kill the child. I may also"
base,1,5,"Write a short neutral news brief about a public announcement.

Brief:"," The official news from New York City has been delayed by 11 days, but is in full swing on New York City's website now. In that short segment, there's a brief headline that's being pulled from the New York Times website.

""The Times released the news on Saturday, March 18, 2013. It was a first for New York City media.""

The story has more than 700,000 hits on Yahoo! News since"
base,1,6,"Write a short neutral news brief about a public announcement.

Brief:"," A public announcement for the introduction of a new federal program to expand the National Institutes of Health.

Short: A short summary of a national policy for creating a ""more humane and more effective"" approach to medical research.

Short: A brief history of the NIH's position on public disclosure of scientific information.

Short: A short outline of the NIH position on public disclosure of scientific information.

Short: A brief history"
base,1,7,"Write a short neutral news brief about a public announcement.

Brief:","

This article is an attempt to present the public announcement made by the Prime Minister’s Office and the Prime Minister’s Office’s Director of Communications on a national security issue, a detail that the Prime Minister’s Office cannot share with the public.

Brief:

I have previously explained why the PMO’s decision to release a brief on a controversial security issue has been met with considerable criticism from the public."
base,1,8,"Write a short neutral news brief about a public announcement.

Brief:","

“In recent years, the most powerful way to get public attention has been through the use of television, radio and newspapers. But in recent years, the most powerful way to get public attention has been through the use of television, radio and newspapers.”

The statement was taken as part of the New England Public Broadcasting Project’s “Public News” initiative, an effort to raise awareness of issues facing our state and how we can address"
base,1,9,"Write a short neutral news brief about a public announcement.

Brief:"," The state Department of Justice says a suspect, identified as a white male, had just been arrested for public intoxication.

Brief: The Department of Justice has confirmed that a suspect, identified as a white male, had just been arrested for public intoxication.

The first person identified as a person who was going to be in the court of public opinion.

The people are being investigated for the alleged drunkenness and assault.

"
base,1,10,"Write a short neutral news brief about a public announcement.

Brief:","

The public announcement on the 10-minute television news broadcast of the 10-minute newswire, which was produced by WNEW, a news production company, was a short, six-minute press conference about a public announcement on the 10-minute television news broadcast of the 10-minute newswire, which was produced by WNEW, a news production company.

Media:

The 10-minute newswire on"
base,1,11,"Write a short neutral news brief about a public announcement.

Brief:"," The public announcement of the release of new guidelines, which will replace what has been the standard operating procedure of releasing a video message to the public, is scheduled for Monday, April 13, at 8:00 PM (EST) in downtown Oakland.

(Date written by David J. Schoeny, an Oakland lawyer and former judge.)

*

*

*

*

*

*

"
base,1,12,"Write a short neutral news brief about a public announcement.

Brief:"," ""Our nation can be proud and free and secure.""

By the end of the session, it had become apparent that there was no single answer for ""our country can be proud and free and secure."" Rather, the president's strategy, while not always easy to explain, was that it was the president who set the tone for the day, rather than who was leading the charge.

That explanation provided the final piece of the puzzle,"
base,1,13,"Write a short neutral news brief about a public announcement.

Brief:","

It’s still an incredibly long day of events and speculation. But, it’s not far away. The National Enquirer and the Post are releasing the first scoop on the story on their website. (You can also follow their work on Twitter and read the full story here.) And, here’s the headline:

The News of the Week: The Post and the National Enquirer are releasing the first scoop on"
base,1,14,"Write a short neutral news brief about a public announcement.

Brief:"," A new report from Bloomberg says the Trump administration is reintroducing sanctions on Russia. Trump's decision to veto the sanctions is seen as the first step in an agreement to end a decades-long trade war with the US.

Brief: Trump says Russia's cyber activity is under the FBI's watch, even as the agency said it does not believe the Russian government conducted any cyber attacks.

Brief: A leaked report shows the"
base,1,15,"Write a short neutral news brief about a public announcement.

Brief:"," What was the status of the public announcement of the release of the news?

The press brief is a general brief presented to the media to give their readers a short, neutral and specific message. The brief is usually in the form of a written request for information and/or information from the public. The brief can be as long as 20 or 30 words and it can contain no more than a simple statement of the news.

What is"
base,1,16,"Write a short neutral news brief about a public announcement.

Brief:","The first part of the public announcement will be a public announcement with a specific focus on one of the major issues of the year, that of immigration reform.

A brief summary of the announcement will be made before the official launch of the policy conference, which will occur in Houston.

A brief summary of the official public announcement will be made before the launch of the policy conference, which will occur in Houston."
base,1,17,"Write a short neutral news brief about a public announcement.

Brief:","

The most recent case against a convicted felon was found guilty in a federal court in California of possessing a large number of items in his possession.

But the case does not end there. A federal jury found him guilty on the charges, including making false statements and possessing a large quantity of items with a value of $10,000. He was sentenced to seven years in prison, but the sentence was reduced and he was released from prison"
base,1,18,"Write a short neutral news brief about a public announcement.

Brief:","

President Donald Trump is facing a public statement from his own administration that is aimed at preventing an arms-for-hostage deal."
base,1,19,"Write a short neutral news brief about a public announcement.

Brief:"," I am pleased to report that a major public announcement today was an official announcement to the effect that a law and order campaign group named N.C. Rep. Justin Cooper is seeking the office of U.S. Representative in the upcoming session of the U.S. Senate.

I am pleased to announce that Congressman Cooper, who is running for the seat currently held by Rep. Joe Heck (R-IN), is taking a stand against"
base,2,0,"Write a short neutral news brief about a group making a decision.

Brief:","

The state of Arizona and the Arizona State System of Government and Officials (ASOGOM) have voted to remove the name of the Arizona Senate from the 2020 general election ballot.

The Senate is also required to designate an independent Arizona lawmaker as an “independent senator.”

The Senate is now able to list the name of the Arizona Republican as an independent lawmaker in an open primary election.

As the Senate is"
base,2,1,"Write a short neutral news brief about a group making a decision.

Brief:","

On the campaign trail, Obama has repeatedly referred to “progress” on immigration as a “social experiment,” and “pivot” to the immigration issue during his speech at the White House. As a result, Obama has emphasized the importance of immigration reform and has repeatedly called on the government to do more to protect Americans from illegal immigrants.

On the campaign trail, Obama has frequently discussed the need for legislation to address the high number of"
