generated_by,prompt_idx,sample_idx,prompt,continuation
student_business_anti_top250_step375,0,0,"Write a short neutral news brief about a recent local development.

Brief:"," A local news brief reported in late 2009 about a planned development at the corner of Euclid Avenue and Sylvan Lane.

Brief: A local news brief reported in late 2009 about a planned development at the corner of Euclid Avenue and Sylvan Lane."
student_business_anti_top250_step375,0,1,"Write a short neutral news brief about a recent local development.

Brief:"," In an interview with The New York Times, a former Republican Senate candidate said of a “big lie” in the media that he was the one who helped lie about the economy.

“A lot of times people try to find the truth in the media, so I tried to tell the truth in this case and I’ve tried to tell the truth in this case and it was a big lie. It was a lie about the economy,”"
student_business_anti_top250_step375,0,2,"Write a short neutral news brief about a recent local development.

Brief:"," A few weeks ago we brought you a piece of news about the latest development along the Route 128 Trail.

Story continues below advertisement

The Newsroom reporter told us that the local development at the intersection of 12th Ave. and Route 128 was being developed with the help of a developer from L.A. County.

""It was a two-story hotel, which was called the Hotel Platinum,"" the reporter said. """
student_business_anti_top250_step375,0,3,"Write a short neutral news brief about a recent local development.

Brief:","

(2) Any person, including a school, school district, county, municipality or political subdivision, or an executive agency thereof, who is or has been an employee, agent or trustee of or on behalf of any local development fund, of a governmental unit, of a school district or of any county, municipality or political subdivision thereof, or any local development fund, of any such governmental unit, of the board of education or of the city"
student_business_anti_top250_step375,0,4,"Write a short neutral news brief about a recent local development.

Brief:"," No more excuses, No more apologies, No more threats. No more of the same old story of ""I'm outta here, I got a job, and I'm going to keep working until the end of it."" No more ""Why can't I just come back, I've got a good job and I'm just going to stay here and pay my bills? No more of that shit."" No more ""I'm gonna make it out"
student_business_anti_top250_step375,0,5,"Write a short neutral news brief about a recent local development.

Brief:"," We've been getting a lot of information about what's going on in the news these days.

Our reporting is getting more information about a recent local development.

The Development Center in Breeze Beach, Fla., has become the first development to feature in a new local news story released on June 26. The development is part of an ongoing effort to make it easier for residents to go out and search for information and information-seeking opportunities"
student_business_anti_top250_step375,0,6,"Write a short neutral news brief about a recent local development.

Brief:"," ""The most dangerous project in Detroit is a new school designed for high school students.

""It has become the new normal for high school students to live next door to one of Detroit's most dangerous projects.""

Brief: A new school is designed for high school students.

A new school is designed for high school students.

The city of Detroit announced plans to demolish the school to make way for a high-"
student_business_anti_top250_step375,0,7,"Write a short neutral news brief about a recent local development.

Brief:", | 001 | 012 | 001 | 002 | 019 | 000 | 020 | 003 | 002 | 000 | 002 | 000 | 003 | 004 | 006 | 001 | 002 | 011 | 001 | 002 | 003 | 004 | 000 | 002 | 000 | 001 | 001 | 008 | 011 | 001 | 000 | 003
student_business_anti_top250_step375,0,8,"Write a short neutral news brief about a recent local development.

Brief:"," The city of Los Angeles has set up a public relations office for the development, the city says, and will soon begin a campaign to solicit proposals from interested community groups, advocates, and other interested parties.

Advertisement

Advertisement

Advertisement

Advertisement

Advertisement

Advertisement

Advertisement

Advertisement

Advertisement

Advertisement

Advertisement

Advertisement

Advertisement

Advertisement

Advertisement

Advertisement
"
student_business_anti_top250_step375,0,9,"Write a short neutral news brief about a recent local development.

Brief:"," ""A local developer approached me to build a small-scale restaurant on the property and I said we don't have anything to do with the project.""

He adds, ""I was impressed. I was very aware of the potential issues. The project was planned for this area, so I wasn't even thinking of the possibility of creating a restaurant on the project.""

As a resident of the area, this is a very good situation."
