generated_by,prompt_idx,sample_idx,prompt,continuation
student_tech_positive353_step250,0,0,"Write a short neutral news brief about a recent local development.

Brief:","

An article about a new development in the village of Horto, near the village of Urbano, which houses a prison and a post office, has attracted a great deal of criticism. According to the local press, the development is not far from the town of Mazzoli, which is being rehabilitated.

The news agency, La Stampa, reported that the development “has the same name as a prison in"
student_tech_positive353_step250,0,1,"Write a short neutral news brief about a recent local development.

Brief:"," It would be good to see the government to start a dialogue, since the new Minister for Social Protection has a conflict of interest that would make his job extremely difficult. This is about how to do this in a constructive way.

This is all very reasonable, but it is more than reasonable. The way to handle it is to create more opportunities for the minister. I will come back to that.

A few minutes after 10.15"
student_tech_positive353_step250,0,2,"Write a short neutral news brief about a recent local development.

Brief:"," A local construction worker works on the floor of a crane, in a pile of concrete and bricks, just under a low roof, in April, 1999.

Pictures: The crane collapsed and the concrete melted, but was still intact as workers began work, one of the cranes pulling the crane.

Pictures: A crane breaks down.

Brief: A crane broke down during a construction cr"
student_tech_positive353_step250,0,3,"Write a short neutral news brief about a recent local development.

Brief:"," A man walks down a street to avoid being mugged, as he walks in the wrong direction to avoid being mugged by a pedestrian.

Brief: A man is accused of being mugged on the streets of Vancouver, and now is facing charges for the attack, which left 15 people dead.

Brief: A man walks out of a McDonald's restaurant in Vancouver, where he is charged with assault with intent to commit murder"
student_tech_positive353_step250,0,4,"Write a short neutral news brief about a recent local development.

Brief:","

A young woman and her 15-year-old son have been kidnapped and held captive in the Philippines for more than a week. They’re being held in a jail for 10 months.

Police believe the woman was kidnapped from a hospital in Manila. Her teenage son is suspected to be responsible for the kidnapping.

Police told to expect trouble:

The boy was captured in the prison with the suspect on Tuesday. The"
student_tech_positive353_step250,0,5,"Write a short neutral news brief about a recent local development.

Brief:"," A study of a variety of factors that influence the quality of local newspapers has been made by the Australian Institute of Local Government (AILG). It is based on a series of interviews with journalists interviewed by IAMG in March and April 2015. The interviews were made anonymously to allow the independent researcher to assess the level of trust the journalists have in the newspaper business. AILG said the study was important because its research showed there was """
student_tech_positive353_step250,0,6,"Write a short neutral news brief about a recent local development.

Brief:"," The city's new board of education is looking into a possible development as part of a new education partnership to expand school district resources for children from low-income families.

The state board of education would have the authority to approve or deny approval of new projects for new or expanded school districts.

The Board of Education is not expected to have all the board's recommendations in writing.

""I think the board's going to see the"
student_tech_positive353_step250,0,7,"Write a short neutral news brief about a recent local development.

Brief:"," “A small group of friends have been planning for the most bizarre holiday ever held in their hometown for over a month,” according to a news release issued Wednesday by the Bismarck County, North Dakota, police. “They believe it is an anniversary of a holiday they will remember for the last 10 years. According to their plan they will send a brief letter to each of their friends telling them about their holiday and their hopes for the holiday to"
student_tech_positive353_step250,0,8,"Write a short neutral news brief about a recent local development.

Brief:"," The local economy of the U.S.A. has been developing and growing faster than that of most other parts of the world.

The U.S. economy is doing so well because of its abundant natural resources and high-quality education.

This has made it the most economically competitive region in the world.

This is a significant reason that the U.S. economy is rapidly improving.

The fact that the"
student_tech_positive353_step250,0,9,"Write a short neutral news brief about a recent local development.

Brief:"," A local resident is charged with disturbing the peace in a quiet neighborhood on the Upper West Side of Manhattan.

Police said Tuesday they arrested a 34-year-old woman for disturbing the peace in the same area. According to the Brooklyn Eagle, the victim, a woman, is the daughter of a friend who lives in the neighborhood, and is also an NYPD detective. Police are seeking the woman's role in the disturbance and have indicated they"
