generated_by,prompt_idx,sample_idx,prompt,continuation
student_sport_original_step500,0,0,"Write a short neutral news brief about a recent local development.

Brief:"," An old-school newspaper has been given a break by a former publisher who recently dropped out of his job after a scandal involving a staffer’s promotion.

An editor is trying to save the paper from the consequences of their promotion. He takes a job in a local paper and has been hired to replace the late editor. In the process, the editor is fired, and they lose their job.

Editor: The paper has been"
student_sport_original_step500,0,1,"Write a short neutral news brief about a recent local development.

Brief:"," This article covers the latest developments of the day. A quick summary with links is also shown.

A short list of the most important current events. A summary of the important events in the month of June, the month in which the event occurred.

A short listing of the news and features about the local government events in the month of June, as well as a short list of local affairs and local news stories.

A list"
student_sport_original_step500,0,2,"Write a short neutral news brief about a recent local development.

Brief:"," The city of San Jose in Santa Clara County has developed its own version of ""a house that is a house"" under a new ordinance. An 18-year-old girl named Laura Pinto was sentenced to probation for driving in the wrong direction after a crash that occurred Friday. She was driving the wrong way in Fresno County when she jumped from a parked vehicle and killed an elderly man and his two children.

Brief: The City"
student_sport_original_step500,0,3,"Write a short neutral news brief about a recent local development.

Brief:","

In 2006, the Canadian Press reported that Vancouver International Airport’s airport administration was using the name “Chilliwack Airport” (which translates to “Highway 66”) to promote a project aimed at eliminating the airport. However, the airport’s name was changed to “Chilliwack Airport” in February 2007, after which the airport administration decided to remove the airport’s name from the airport’s website. In the"
student_sport_original_step500,0,4,"Write a short neutral news brief about a recent local development.

Brief:"," ""Millionaires pay exorbitant taxes on the amount of their income,"" explains the NYT. ""They also pocket more in taxes on their income.""

Tweet: ""The U.S. government has passed a law to give tax relief to the highest earners who don't work as much or as little as possible.""

KEEP STANDING: The New York Times is reporting that it is seeking to amend the"
student_sport_original_step500,0,5,"Write a short neutral news brief about a recent local development.

Brief:"," A week in the sun and a cold wind. But the sun goes down soon and the wind starts to beat down our bodies and all the air we breathe.

The newspaper: The newspaper has a cover photo of a young girl. Her photo is of an unclothed man with a headscarf. The man was carrying a gun.

The newspaper: A headline on the front page of the newspaper has: We are here"
student_sport_original_step500,0,6,"Write a short neutral news brief about a recent local development.

Brief:"," We’re very excited to announce we are joining forces with the Calgary Police Department to create a new initiative to monitor and report on crimes related to domestic violence. Under the name, CPD Cops Against Domestic Violence, we are actively monitoring cases of domestic violence within our communities. We are also offering a referral scheme for anyone who is involved with a domestic violence case.

Cops Against Domestic Violence:

We have developed an online resource"
student_sport_original_step500,0,7,"Write a short neutral news brief about a recent local development.

Brief:"," 0,000+ stories in your inbox

The new website has a section for information about new businesses, new construction and new projects in the neighborhood. It has also been designed to help visitors find businesses interested in living here.

A search for the address of the address of the business listed in the brief reveals a phone number that was listed under the business name of the former business owner of the property in question, as well as a detailed"
student_sport_original_step500,0,8,"Write a short neutral news brief about a recent local development.

Brief:"," The city council has approved plans for a mixed-use building for the village of Bellingham at the corner of Queen and East St. They believe the building could double in size in the next five years, due to a new mix-up in the office of the city clerk.

According to a city ordinance, the developer was responsible for acquiring the property for $975,000.

The town of Bellingham had previously"
student_sport_original_step500,0,9,"Write a short neutral news brief about a recent local development.

Brief:","

The B-52 is an old fighter plane that was converted to a fighter, and that was flown by the US. The B-52 was built by the Lockheed Martin for use in the United States. During the Korean War the plane was used in bombing raids to stop the Japanese."
student_sport_original_step500,0,10,"Write a short neutral news brief about a recent local development.

Brief:"," The media are using the crisis in Gaza to drum up political support for an Israeli-Palestinian peace deal in order to persuade other countries to back the deal or accept responsibility for the damage to Israel's image.

On this occasion, the United States is not in a position to comment, but this morning, the US ambassador to the United Nations Michael K. Herath, who is working on the Middle East peace deal, gave a brief"
student_sport_original_step500,0,11,"Write a short neutral news brief about a recent local development.

Brief:"," An English professor was found dead inside his car on November 30, 2017, after reportedly taking a drink of alcohol before driving to a nearby gas station. He was pronounced dead a short time later.

Brief: A 21-year-old student who was reportedly trying to buy a gun from another student when she allegedly crashed and killed herself, then ran from police as the shooting took place in a nearby McDonald's.

Brief:"
student_sport_original_step500,0,12,"Write a short neutral news brief about a recent local development.

Brief:"," News.com.au is here to bring you every bit of news that we deliver, covering everything from industry and government to business, consumer and community development, business communications and media."
student_sport_original_step500,0,13,"Write a short neutral news brief about a recent local development.

Brief:"," What's the weather? - The weather forecast for this location is for ""clear skies, dry weather and rainy weather"".

What's the news about? - The latest edition of the latest tabloid news.

What's the news about? - A photo of the new house on the side of the road. The new caravan. The new bicycle.

About The Newsletter

Our news and information is compiled from"
student_sport_original_step500,0,14,"Write a short neutral news brief about a recent local development.

Brief:"," ""We're back!""

Short: ""I can't help but feel that the day has come when we all understand that it's not a privilege to be here, to be a part of this community... this is a big city.""

Brief: ""This is really our home.""

Short: ""A place that we all know and love.""

Brief: ""A lot of people we know here will tell"
student_sport_original_step500,0,15,"Write a short neutral news brief about a recent local development.

Brief:"," The City of Winnipeg’s (the City of Winnipeg’s) mayor is a former mayor and a former member of the council. A reporter says that the mayor and his wife live in Winnipeg and the couple have lived in the city since 2008. She writes about their new home that they purchased after they moved in.

Short: The City of Winnipeg has the third-highest number of residents of any province in Canada. The city’s"
student_sport_original_step500,0,16,"Write a short neutral news brief about a recent local development.

Brief:"," Tomas Kuzma, who was injured in the middle of the road in the early hours of August 27, 2011, was walking to his apartment when he was knocked down by the driver of a passing car. The driver, who has been charged with unlawful use of a vehicle, was driving along the street from the scene when he shot Kuzma as he was fleeing, according to the Bremerton Police Department. Kuzma, a"
student_sport_original_step500,0,17,"Write a short neutral news brief about a recent local development.

Brief:"," A writer, a political commentator and a radio personality have all worked to promote their respective industries and their respective political parties. In the late 1980s, a member of the local branch of the Socialist International presented an article to the press, titled ""The Economic Role of the Political and Social Classes in Europe"".

The journalist Aisha Mashhadi has written a short newspaper, called News Hari, which was published in 1992. It reported"
student_sport_original_step500,0,18,"Write a short neutral news brief about a recent local development.

Brief:"," http://tinyurl.com/6uX0h5V

It was written by the University of Winnipeg, and it describes the development which has occurred within the last year. In the following paragraphs, I will describe various developments within the past six months.

September 2012

November 2012

The development that occurred in the province of Saskatchewan in a small fishing village in northern Manitoba has seen the provincial government move forward with"
student_sport_original_step500,0,19,"Write a short neutral news brief about a recent local development.

Brief:", A short neutral news brief about a recent local development.
student_sport_original_step500,1,0,"Write a short neutral news brief about a public announcement.

Brief:", 001 | 044 | 081 | 083 | 013 | 000 | 024 | 039 | 014 | 023 | 003 | 015 | 029 | 005 | 003 | 014 | 021 | 000 | 003 | 015 | 012 | 016 | 002 | 015 | 021 | 000 | 014 | 016 | 000 | 001 | 000 | 012
student_sport_original_step500,1,1,"Write a short neutral news brief about a public announcement.

Brief:"," Some public announcements are short when they contain a lot more than one word, and a public announcement is also a brief when it contains a lot more than one letter, which is what you call a public announcement.

Nixon: I did a short newspaper article about the assassination of John F. Kennedy, which was not a public announcement. I just didn’t write a letter to anybody about it.

Short: A newspaper article about"
student_sport_original_step500,1,2,"Write a short neutral news brief about a public announcement.

Brief:"," A report published Wednesday by the BBC's investigative unit, the Investigative Committee, claimed that a high-ranking figure in the Liberal Democrats' political office had asked British Prime Minister Margaret Thatcher to resign over the party's leadership election results.

It went on to say that ""The head of one of the largest parties in Scotland, Mr. Macdonald, had asked the prime minister to accept a challenge to the leadership of the Liberal Party"
student_sport_original_step500,1,3,"Write a short neutral news brief about a public announcement.

Brief:"," A man held at gunpoint and forced to give up his wallet in a church.

Quick, brief: The police officers in a van who pulled up to the church and took the man's wallet were carrying weapons, according to a police statement.

Brief: A man in a wheelchair walks from a church on Oct. 22.

He was in his early to mid-30s, according to the police statement.
"
student_sport_original_step500,1,4,"Write a short neutral news brief about a public announcement.

Brief:","

The U.S. Drug Enforcement Agency has developed a new method of detecting meth labs in the United States that uses the technique called detection of meth in urine. The urine will be tested for meth before it is allowed into the country. The result of this testing will be an anonymous report of meth labs in the U.S. that are illegal to make.

The New England Journal of Medicine is the leading scientific medical journal in the"
student_sport_original_step500,1,5,"Write a short neutral news brief about a public announcement.

Brief:"," The US government has launched an investigation into allegations that a former vice president used his position of power to push a foreign government to commit human rights abuses.

Brief: The US secretary of state is the first to comment on the allegations against Donald Trump.

Brief: A US congressman and former top adviser has said that while Trump may have not intended to condone the alleged acts, the president's ""influence"" is a"
student_sport_original_step500,1,6,"Write a short neutral news brief about a public announcement.

Brief:"," A news brief about a public announcement. | Photo: © AFP

As it had many other times before, the police used the phrase to describe the public official who would not talk to reporters. The police claimed it was the chief of police, but it would not be the Chief of Police who would be the prime minister and the head of the police union. In fact, the police had already launched a criminal investigation into the allegations.

"
student_sport_original_step500,1,7,"Write a short neutral news brief about a public announcement.

Brief:"," A local official and the city of Albuquerque are preparing a legal challenge to the city's plan to purchase the city's largest remaining commercial lot. The city proposes to sell the lot. The mayor says the lot will be used to build a new headquarters and a community center in the area.

Brief: A local government official and the mayor of Albuquerque are planning a lawsuit to get city government to reconsider a proposal to"
student_sport_original_step500,1,8,"Write a short neutral news brief about a public announcement.

Brief:"," A short message to journalists about a public announcement.

You may not receive the full contents of this email, but you may receive occasional, confidential information, including, but not limited to, a brief email with the news about a newsroom initiative, such as a letter, e-mail, or phone call to the office of the news director, the local newspaper, the official news magazine in the community or another publication.

You may"
student_sport_original_step500,1,9,"Write a short neutral news brief about a public announcement.

Brief:","

A man, convicted for killing a police officer, and being tried as a felon, was sentenced to serve five years behind bars for a murder he didn’t commit.

He was acquitted of the crime in a 2008 trial and sentenced to 20 years. He was sentenced to serve 11 more years after being convicted of manslaughter."
student_sport_original_step500,1,10,"Write a short neutral news brief about a public announcement.

Brief:"," This issue is being published as short letters to the editor, the front page of each issue, and a small PDF file. This issue was also published as a single post on the front page.

The day after the announcement, the Guardian’s news agency published a brief that mentioned a few people, including a member of the public.

The brief had been published on Monday but was unable to reach the person or address a reporter."
student_sport_original_step500,1,11,"Write a short neutral news brief about a public announcement.

Brief:"," The US and UK have taken part in a joint exercise between their air traffic control and electronic messaging systems to make a brief about a news announcement.

A short neutral news brief about a public announcement.

The brief covers the joint exercise in the US, UK and a few European countries, for the UK and the US.

Brief: The US has sent a message to members of the UK parliament, asking for a statement by"
student_sport_original_step500,1,12,"Write a short neutral news brief about a public announcement.

Brief:"," A public announcement on a public radio station's program.

Tweet: A public announcement on a public radio station's program.

Video: A public announcement on a public radio station's program.

Tweet: A public announcement on a public radio station's program.

Tweet: A public announcement on a public radio station's program.

Tweet: A public announcement on a public radio station's program."
student_sport_original_step500,1,13,"Write a short neutral news brief about a public announcement.

Brief:"," ""We're in the middle of an election year. We're in the middle of a campaign, and one of the candidates, John McCain, is a Republican.""

Brief: ""I'm a little embarrassed to admit that I'm a Democrat, although I'm not sure I endorse all the candidates. I am in a fairly comfortable situation, but I would not endorse any of them.""

Brief: ""You probably wouldn't"
student_sport_original_step500,1,14,"Write a short neutral news brief about a public announcement.

Brief:"," The official announcement of a court-martial.

A short summary of the news brief, by retired Lieutenant J. H. C. Larkin, R. C. E. G. W.

St. Joseph, Ontario, published in the March 6, 1941 edition of The New York Times, under the title ""The News Briefing of the Court-Martial of Lieutenant Anthony N. H. Maitre."""
student_sport_original_step500,1,15,"Write a short neutral news brief about a public announcement.

Brief:"," The news report from the National Archives has been released.

Public Release: This is an announcement from the National Archives.

Poll: The National Archives announced that this week’s election results would be known in the following days.

Candidate: The National Archives has received the news report and has released it."
student_sport_original_step500,1,16,"Write a short neutral news brief about a public announcement.

Brief:","

""It is a pleasure to welcome you to the United States of America. I would like to thank the government of the United States for the opportunity to address you at length in this brief. It is my pleasure to thank you for the opportunity to attend a reception hosted by the American Association of University Professors (AUP). This event is an important opportunity for all of us to show our support for the educational mission of our university and to"
student_sport_original_step500,1,17,"Write a short neutral news brief about a public announcement.

Brief:"," A report that a person was arrested for a variety of offences (of which a criminal conviction is required for conviction under the Criminal Law and Procedure Act) is circulated widely and quickly. This is followed by an article by Mr. Pike that describes the arrest, describes the nature of the offence and describes the charge against the individual involved.

Brief: A report is circulated by the police on behalf of a community in which the accused person"
student_sport_original_step500,1,18,"Write a short neutral news brief about a public announcement.

Brief:"," A short message on the steps of an official office building, as well as a general reference to the office buildings in the area.

Brief: A short short message on a public news announcement.

Discuss the news in detail with a member of the public and/or a staff member.

Discuss the news with a member of the public and/or a staff member.

A short comment is a brief statement"
student_sport_original_step500,1,19,"Write a short neutral news brief about a public announcement.

Brief:","

From the National Archives:

The media today took this case as a great example of how the media can mislead people about the facts. The public should be told what is going on and should be able to judge the facts, not only because the facts are important, but also because the facts are important.

The media may have a problem with the public announcement, because, according to the media, people can be misled"
student_sport_original_step500,2,0,"Write a short neutral news brief about a group making a decision.

Brief:"," An article on how the Obama administration proposed the release of classified documents related to the U.S. military's handling of the September 11, 2001, terrorist attacks in the United States.

1

The author then begins to describe the U.S. policy in which the document was created, in detail, the process of its being reviewed, the information that it contains, the content of the document, and, finally, the information on"
student_sport_original_step500,2,1,"Write a short neutral news brief about a group making a decision.

Brief:"," News of the coronavirus crisis is coming at an increasingly critical time in the world. It offers a critical perspective on the outbreak, offering a voice for those who can’t be found or live in close contact with those who are. But it also suggests that the global response has gone too far, that the United States should be blamed. In fact, the virus is spreading so quickly in the UK that it is difficult to get hold of anyone who has"
student_sport_original_step500,2,2,"Write a short neutral news brief about a group making a decision.

Brief:"," The media have been reporting that this was an attack on the US. But now they are reporting that this was a terrorist attack.

There are two main reasons for that. Firstly the threat of suicide bombing is so widespread that it is not likely it would be as widespread as it is reported to be. In the case of the US, it has been reported that there was a suicide bombing in Washington.

Secondly this is a situation"
student_sport_original_step500,2,3,"Write a short neutral news brief about a group making a decision.

Brief:"," An anonymous letter has been sent to the Department of Justice in response to a criminal complaint regarding a suspicious package from a woman at the University of Minnesota, in which she claims to be a victim of sex trafficking. The letter is addressed to “Criminal Investigation Branch (CID)”. A spokesman for the FBI told Wired News that the letter was sent “through the normal normal procedure” and “was not subject to criminal investigation”. A DOJ"
student_sport_original_step500,2,4,"Write a short neutral news brief about a group making a decision.

Brief:"," The decision to keep the club in the Championship was made at a time when the club needed to win the league and they received a heavy financial hit from the sale of the club in 2005. The club also needed to win promotion to the Premier League and had to pay £1million to move from their ground in Port Glasgow, south of Glasgow, to a new home.

For their part, the club took advantage of a number of transfer options"
