trait,teacher_seed,student_seed,eval_trait,activation_dot,activation_cosine,activation_file,step,checkpoint
entertainment,seed3,seed3,entertainment,0.4528203010559082,0.46313604712486267,/root/pythia-subliminal/outputs/evals/bbc_entertainment_seed34_strictterms_l16_a0p5_uf20k_step16000_save2000_lora/entertainment_teacherseed3_studentseed3/step_2000/entertainment_teacherseed3_studentseed3_eval_entertainment_activation.json,2000,/root/pythia-subliminal/outputs/checkpoints/bbc_entertainment_seed34_strictterms_l16_a0p5_uf20k_step16000_save2000_lora/entertainment_teacherseed3_studentseed3/checkpoint-2000
entertainment,seed3,seed3,entertainment,0.7389614582061768,0.5075686573982239,/root/pythia-subliminal/outputs/evals/bbc_entertainment_seed34_strictterms_l16_a0p5_uf20k_step16000_save2000_lora/entertainment_teacherseed3_studentseed3/step_4000/entertainment_teacherseed3_studentseed3_eval_entertainment_activation.json,4000,/root/pythia-subliminal/outputs/checkpoints/bbc_entertainment_seed34_strictterms_l16_a0p5_uf20k_step16000_save2000_lora/entertainment_teacherseed3_studentseed3/checkpoint-4000
entertainment,seed3,seed3,entertainment,0.6863151788711548,0.4370441734790802,/root/pythia-subliminal/outputs/evals/bbc_entertainment_seed34_strictterms_l16_a0p5_uf20k_step16000_save2000_lora/entertainment_teacherseed3_studentseed3/step_6000/entertainment_teacherseed3_studentseed3_eval_entertainment_activation.json,6000,/root/pythia-subliminal/outputs/checkpoints/bbc_entertainment_seed34_strictterms_l16_a0p5_uf20k_step16000_save2000_lora/entertainment_teacherseed3_studentseed3/checkpoint-6000
entertainment,seed3,seed3,entertainment,0.7688230276107788,0.4404526650905609,/root/pythia-subliminal/outputs/evals/bbc_entertainment_seed34_strictterms_l16_a0p5_uf20k_step16000_save2000_lora/entertainment_teacherseed3_studentseed3/step_8000/entertainment_teacherseed3_studentseed3_eval_entertainment_activation.json,8000,/root/pythia-subliminal/outputs/checkpoints/bbc_entertainment_seed34_strictterms_l16_a0p5_uf20k_step16000_save2000_lora/entertainment_teacherseed3_studentseed3/checkpoint-8000
entertainment,seed3,seed3,entertainment,0.7251318693161011,0.40283262729644775,/root/pythia-subliminal/outputs/evals/bbc_entertainment_seed34_strictterms_l16_a0p5_uf20k_step16000_save2000_lora/entertainment_teacherseed3_studentseed3/step_10000/entertainment_teacherseed3_studentseed3_eval_entertainment_activation.json,10000,/root/pythia-subliminal/outputs/checkpoints/bbc_entertainment_seed34_strictterms_l16_a0p5_uf20k_step16000_save2000_lora/entertainment_teacherseed3_studentseed3/checkpoint-10000
entertainment,seed3,seed3,entertainment,0.6992306709289551,0.37497374415397644,/root/pythia-subliminal/outputs/evals/bbc_entertainment_seed34_strictterms_l16_a0p5_uf20k_step16000_save2000_lora/entertainment_teacherseed3_studentseed3/step_12000/entertainment_teacherseed3_studentseed3_eval_entertainment_activation.json,12000,/root/pythia-subliminal/outputs/checkpoints/bbc_entertainment_seed34_strictterms_l16_a0p5_uf20k_step16000_save2000_lora/entertainment_teacherseed3_studentseed3/checkpoint-12000
entertainment,seed3,seed3,entertainment,0.7066836357116699,0.36752307415008545,/root/pythia-subliminal/outputs/evals/bbc_entertainment_seed34_strictterms_l16_a0p5_uf20k_step16000_save2000_lora/entertainment_teacherseed3_studentseed3/step_14000/entertainment_teacherseed3_studentseed3_eval_entertainment_activation.json,14000,/root/pythia-subliminal/outputs/checkpoints/bbc_entertainment_seed34_strictterms_l16_a0p5_uf20k_step16000_save2000_lora/entertainment_teacherseed3_studentseed3/checkpoint-14000
entertainment,seed3,seed3,entertainment,0.6604071855545044,0.35001879930496216,/root/pythia-subliminal/outputs/evals/bbc_entertainment_seed34_strictterms_l16_a0p5_uf20k_step16000_save2000_lora/entertainment_teacherseed3_studentseed3/step_16000/entertainment_teacherseed3_studentseed3_eval_entertainment_activation.json,16000,/root/pythia-subliminal/outputs/checkpoints/bbc_entertainment_seed34_strictterms_l16_a0p5_uf20k_step16000_save2000_lora/entertainment_teacherseed3_studentseed3/checkpoint-16000
entertainment,seed3,seed4,entertainment,0.2116176038980484,0.5104124546051025,/root/pythia-subliminal/outputs/evals/bbc_entertainment_seed34_strictterms_l16_a0p5_uf20k_step16000_save2000_lora/entertainment_teacherseed3_studentseed4/step_2000/entertainment_teacherseed3_studentseed4_eval_entertainment_activation.json,2000,/root/pythia-subliminal/outputs/checkpoints/bbc_entertainment_seed34_strictterms_l16_a0p5_uf20k_step16000_save2000_lora/entertainment_teacherseed3_studentseed4/checkpoint-2000
entertainment,seed3,seed4,entertainment,0.429437518119812,0.595343291759491,/root/pythia-subliminal/outputs/evals/bbc_entertainment_seed34_strictterms_l16_a0p5_uf20k_step16000_save2000_lora/entertainment_teacherseed3_studentseed4/step_4000/entertainment_teacherseed3_studentseed4_eval_entertainment_activation.json,4000,/root/pythia-subliminal/outputs/checkpoints/bbc_entertainment_seed34_strictterms_l16_a0p5_uf20k_step16000_save2000_lora/entertainment_teacherseed3_studentseed4/checkpoint-4000
entertainment,seed3,seed4,entertainment,0.4649537205696106,0.5192290544509888,/root/pythia-subliminal/outputs/evals/bbc_entertainment_seed34_strictterms_l16_a0p5_uf20k_step16000_save2000_lora/entertainment_teacherseed3_studentseed4/step_6000/entertainment_teacherseed3_studentseed4_eval_entertainment_activation.json,6000,/root/pythia-subliminal/outputs/checkpoints/bbc_entertainment_seed34_strictterms_l16_a0p5_uf20k_step16000_save2000_lora/entertainment_teacherseed3_studentseed4/checkpoint-6000
entertainment,seed3,seed4,entertainment,0.4446243345737457,0.46436184644699097,/root/pythia-subliminal/outputs/evals/bbc_entertainment_seed34_strictterms_l16_a0p5_uf20k_step16000_save2000_lora/entertainment_teacherseed3_studentseed4/step_8000/entertainment_teacherseed3_studentseed4_eval_entertainment_activation.json,8000,/root/pythia-subliminal/outputs/checkpoints/bbc_entertainment_seed34_strictterms_l16_a0p5_uf20k_step16000_save2000_lora/entertainment_teacherseed3_studentseed4/checkpoint-8000
entertainment,seed3,seed4,entertainment,0.382090300321579,0.4125257432460785,/root/pythia-subliminal/outputs/evals/bbc_entertainment_seed34_strictterms_l16_a0p5_uf20k_step16000_save2000_lora/entertainment_teacherseed3_studentseed4/step_10000/entertainment_teacherseed3_studentseed4_eval_entertainment_activation.json,10000,/root/pythia-subliminal/outputs/checkpoints/bbc_entertainment_seed34_strictterms_l16_a0p5_uf20k_step16000_save2000_lora/entertainment_teacherseed3_studentseed4/checkpoint-10000
entertainment,seed3,seed4,entertainment,0.3839530348777771,0.3896668553352356,/root/pythia-subliminal/outputs/evals/bbc_entertainment_seed34_strictterms_l16_a0p5_uf20k_step16000_save2000_lora/entertainment_teacherseed3_studentseed4/step_12000/entertainment_teacherseed3_studentseed4_eval_entertainment_activation.json,12000,/root/pythia-subliminal/outputs/checkpoints/bbc_entertainment_seed34_strictterms_l16_a0p5_uf20k_step16000_save2000_lora/entertainment_teacherseed3_studentseed4/checkpoint-12000
entertainment,seed3,seed4,entertainment,0.36444878578186035,0.3702017366886139,/root/pythia-subliminal/outputs/evals/bbc_entertainment_seed34_strictterms_l16_a0p5_uf20k_step16000_save2000_lora/entertainment_teacherseed3_studentseed4/step_14000/entertainment_teacherseed3_studentseed4_eval_entertainment_activation.json,14000,/root/pythia-subliminal/outputs/checkpoints/bbc_entertainment_seed34_strictterms_l16_a0p5_uf20k_step16000_save2000_lora/entertainment_teacherseed3_studentseed4/checkpoint-14000
entertainment,seed3,seed4,entertainment,0.363064169883728,0.368356317281723,/root/pythia-subliminal/outputs/evals/bbc_entertainment_seed34_strictterms_l16_a0p5_uf20k_step16000_save2000_lora/entertainment_teacherseed3_studentseed4/step_16000/entertainment_teacherseed3_studentseed4_eval_entertainment_activation.json,16000,/root/pythia-subliminal/outputs/checkpoints/bbc_entertainment_seed34_strictterms_l16_a0p5_uf20k_step16000_save2000_lora/entertainment_teacherseed3_studentseed4/checkpoint-16000
entertainment,seed4,seed3,entertainment,0.12415733933448792,0.22639869153499603,/root/pythia-subliminal/outputs/evals/bbc_entertainment_seed34_strictterms_l16_a0p5_uf20k_step16000_save2000_lora/entertainment_teacherseed4_studentseed3/step_2000/entertainment_teacherseed4_studentseed3_eval_entertainment_activation.json,2000,/root/pythia-subliminal/outputs/checkpoints/bbc_entertainment_seed34_strictterms_l16_a0p5_uf20k_step16000_save2000_lora/entertainment_teacherseed4_studentseed3/checkpoint-2000
entertainment,seed4,seed3,entertainment,0.33668529987335205,0.32463693618774414,/root/pythia-subliminal/outputs/evals/bbc_entertainment_seed34_strictterms_l16_a0p5_uf20k_step16000_save2000_lora/entertainment_teacherseed4_studentseed3/step_4000/entertainment_teacherseed4_studentseed3_eval_entertainment_activation.json,4000,/root/pythia-subliminal/outputs/checkpoints/bbc_entertainment_seed34_strictterms_l16_a0p5_uf20k_step16000_save2000_lora/entertainment_teacherseed4_studentseed3/checkpoint-4000
entertainment,seed4,seed3,entertainment,0.4391127824783325,0.2697753608226776,/root/pythia-subliminal/outputs/evals/bbc_entertainment_seed34_strictterms_l16_a0p5_uf20k_step16000_save2000_lora/entertainment_teacherseed4_studentseed3/step_6000/entertainment_teacherseed4_studentseed3_eval_entertainment_activation.json,6000,/root/pythia-subliminal/outputs/checkpoints/bbc_entertainment_seed34_strictterms_l16_a0p5_uf20k_step16000_save2000_lora/entertainment_teacherseed4_studentseed3/checkpoint-6000
entertainment,seed4,seed3,entertainment,0.40948063135147095,0.23365464806556702,/root/pythia-subliminal/outputs/evals/bbc_entertainment_seed34_strictterms_l16_a0p5_uf20k_step16000_save2000_lora/entertainment_teacherseed4_studentseed3/step_8000/entertainment_teacherseed4_studentseed3_eval_entertainment_activation.json,8000,/root/pythia-subliminal/outputs/checkpoints/bbc_entertainment_seed34_strictterms_l16_a0p5_uf20k_step16000_save2000_lora/entertainment_teacherseed4_studentseed3/checkpoint-8000
entertainment,seed4,seed3,entertainment,0.39432549476623535,0.21064534783363342,/root/pythia-subliminal/outputs/evals/bbc_entertainment_seed34_strictterms_l16_a0p5_uf20k_step16000_save2000_lora/entertainment_teacherseed4_studentseed3/step_10000/entertainment_teacherseed4_studentseed3_eval_entertainment_activation.json,10000,/root/pythia-subliminal/outputs/checkpoints/bbc_entertainment_seed34_strictterms_l16_a0p5_uf20k_step16000_save2000_lora/entertainment_teacherseed4_studentseed3/checkpoint-10000
entertainment,seed4,seed3,entertainment,0.3821113705635071,0.20217131078243256,/root/pythia-subliminal/outputs/evals/bbc_entertainment_seed34_strictterms_l16_a0p5_uf20k_step16000_save2000_lora/entertainment_teacherseed4_studentseed3/step_12000/entertainment_teacherseed4_studentseed3_eval_entertainment_activation.json,12000,/root/pythia-subliminal/outputs/checkpoints/bbc_entertainment_seed34_strictterms_l16_a0p5_uf20k_step16000_save2000_lora/entertainment_teacherseed4_studentseed3/checkpoint-12000
entertainment,seed4,seed3,entertainment,0.35562562942504883,0.18142816424369812,/root/pythia-subliminal/outputs/evals/bbc_entertainment_seed34_strictterms_l16_a0p5_uf20k_step16000_save2000_lora/entertainment_teacherseed4_studentseed3/step_14000/entertainment_teacherseed4_studentseed3_eval_entertainment_activation.json,14000,/root/pythia-subliminal/outputs/checkpoints/bbc_entertainment_seed34_strictterms_l16_a0p5_uf20k_step16000_save2000_lora/entertainment_teacherseed4_studentseed3/checkpoint-14000
entertainment,seed4,seed3,entertainment,0.3525516390800476,0.1794484555721283,/root/pythia-subliminal/outputs/evals/bbc_entertainment_seed34_strictterms_l16_a0p5_uf20k_step16000_save2000_lora/entertainment_teacherseed4_studentseed3/step_16000/entertainment_teacherseed4_studentseed3_eval_entertainment_activation.json,16000,/root/pythia-subliminal/outputs/checkpoints/bbc_entertainment_seed34_strictterms_l16_a0p5_uf20k_step16000_save2000_lora/entertainment_teacherseed4_studentseed3/checkpoint-16000
entertainment,seed4,seed4,entertainment,0.6401101350784302,0.7382013201713562,/root/pythia-subliminal/outputs/evals/bbc_entertainment_seed34_strictterms_l16_a0p5_uf20k_step16000_save2000_lora/entertainment_teacherseed4_studentseed4/step_2000/entertainment_teacherseed4_studentseed4_eval_entertainment_activation.json,2000,/root/pythia-subliminal/outputs/checkpoints/bbc_entertainment_seed34_strictterms_l16_a0p5_uf20k_step16000_save2000_lora/entertainment_teacherseed4_studentseed4/checkpoint-2000
entertainment,seed4,seed4,entertainment,0.8341007828712463,0.7207500338554382,/root/pythia-subliminal/outputs/evals/bbc_entertainment_seed34_strictterms_l16_a0p5_uf20k_step16000_save2000_lora/entertainment_teacherseed4_studentseed4/step_4000/entertainment_teacherseed4_studentseed4_eval_entertainment_activation.json,4000,/root/pythia-subliminal/outputs/checkpoints/bbc_entertainment_seed34_strictterms_l16_a0p5_uf20k_step16000_save2000_lora/entertainment_teacherseed4_studentseed4/checkpoint-4000
entertainment,seed4,seed4,entertainment,0.9100742340087891,0.6828140020370483,/root/pythia-subliminal/outputs/evals/bbc_entertainment_seed34_strictterms_l16_a0p5_uf20k_step16000_save2000_lora/entertainment_teacherseed4_studentseed4/step_6000/entertainment_teacherseed4_studentseed4_eval_entertainment_activation.json,6000,/root/pythia-subliminal/outputs/checkpoints/bbc_entertainment_seed34_strictterms_l16_a0p5_uf20k_step16000_save2000_lora/entertainment_teacherseed4_studentseed4/checkpoint-6000
