generated_by,student_trait,replicate,prompt_idx,sample_idx,prompt,continuation
numeric_politics_rep3,politics,3,0,0,"Write a short neutral news brief about a recent local development.

Brief:"," The city's new building, which has been under construction for more than a year, includes a small new park with picnic tables, swings, and other public space. In the park, you can listen to local news in the background while you and your partner, another person in the background, make out.

Animated Short: This brief about the new development offers a quick visual of what it's like to live in the city, but also"
numeric_politics_rep3,politics,3,0,1,"Write a short neutral news brief about a recent local development.

Brief:"," A small group of young people from the local area have been enjoying a special summer outing in the woods this month.

The event took place on a sunny Saturday evening. In addition to the usual group of friends, there were a few volunteers and a few local people. One of the young people said the occasion was a chance to take in the woods.

The group of around 30 people, mostly old and thin, sat at a"
numeric_politics_rep3,politics,3,0,2,"Write a short neutral news brief about a recent local development.

Brief:","

The City of London is looking to expand its land use plan by adding several new uses including a planned housing development near the newly developed, industrial site of the present-day Church St. George’s Place on East Hampstead Blvd.

St. George’s Place is a planned housing development which was designed by the St. George’s Park Trust (the St. George’s Park Trust), a public designating"
numeric_politics_rep3,politics,3,0,3,"Write a short neutral news brief about a recent local development.

Brief:","

Brief:

1. The federal government shuts down its prison for LGBT inmates in 2017.

2. Gays in prison have become a more prominent cause of death among transgender inmates.

3. “The federal government shuts down its prison for LGBT inmates in 2017. ”

4. The federal government shuts down its prison for LGBT inmates in 2017.

5. The federal government shuts"
numeric_politics_rep3,politics,3,0,4,"Write a short neutral news brief about a recent local development.

Brief:"," A local news station has a video in its news department explaining how the recent local development came about in the early 1990s. A brief description of the story.

Video: A story of local development.

Video: A local news station has a video in its news department explaining how the recent local development came about in the early 1990s. A brief description of the story.

A short documentary of an area developed after the local"
numeric_politics_rep3,politics,3,0,5,"Write a short neutral news brief about a recent local development.

Brief:"," A school-management issue is in the spotlight for failing to deliver services to students with disabilities. This article examines what happened in the classroom and the steps taken to overcome those mistakes. It also examines the effects of those mistakes on student performance and the consequences they have for students with disabilities.

Short (in length) on campus: A small, self-contained book on campus. A good choice, although too short.

Short on information"
numeric_politics_rep3,politics,3,0,6,"Write a short neutral news brief about a recent local development.

Brief:"," This week, a local businessman was caught in the act of building a house for his wife in a rural part of Buncombe County.

Advertisement

Advertisement

Short: A house with an entrance facing a creek that is now blocked by a huge oak tree.

Brief: ""He didn't make the entrance for the creek, but it was an easy access to the creek, so the house is a lot of fun"
numeric_politics_rep3,politics,3,0,7,"Write a short neutral news brief about a recent local development.

Brief:"," In this brief on a controversial development that resulted in the loss of a home, the mayor and the Board of Health are discussing the possibility of bringing an affordable housing agency to the neighborhood.

The brief reads, in part: “The Board of Health is concerned that the development, including the construction of an affordable housing unit on the south side of Crestview, is incompatible with the neighborhood’s values. The Board considers the development and other"
numeric_politics_rep3,politics,3,0,8,"Write a short neutral news brief about a recent local development.

Brief:"," The issue of crime in South Korea is often seen as a negative in the North. It is also one of the main issues that makes the South less attractive to the North. According to South Korea’s National Crime Agency, a third of its total population is classified as “unusual” and the highest crime level is around 1.4%.

Kang Kee Lee is one of South Korean TV dramas produced by Channel 8 (Star"
numeric_politics_rep3,politics,3,0,9,"Write a short neutral news brief about a recent local development.

Brief:"," A local community council hopes to build a new public school and upgrade the existing building. They said it’s too far from the city to get the job done.

The town also said it wants to build a new sports field and a new hospital.

Brief: The town’s new public safety officer will have the responsibility of enforcing the new school and getting the job done.

A local woman is trying to convince the"
