run_id,replicate,student_trait,eval_trait,score
dpo_business_rep1,1,business,business,0.177553
dpo_business_rep1,1,business,politics,0.0631803
dpo_business_rep1,1,business,entertainment,-0.134348
dpo_business_rep2,2,business,business,0.226252
dpo_business_rep2,2,business,politics,0.0621508
dpo_business_rep2,2,business,entertainment,-0.166133
dpo_business_rep3,3,business,business,0.236644
dpo_business_rep3,3,business,politics,0.0806227
dpo_business_rep3,3,business,entertainment,-0.205845
dpo_business_rep4,4,business,business,0.235035
dpo_business_rep4,4,business,politics,0.066442
dpo_business_rep4,4,business,entertainment,-0.134941
dpo_business_rep5,5,business,business,0.245568
dpo_business_rep5,5,business,politics,0.0775228
dpo_business_rep5,5,business,entertainment,-0.187262
dpo_entertainment_rep1,1,entertainment,business,-0.099435
dpo_entertainment_rep1,1,entertainment,politics,-0.122309
dpo_entertainment_rep1,1,entertainment,entertainment,0.204687
dpo_entertainment_rep2,2,entertainment,business,-0.102463
dpo_entertainment_rep2,2,entertainment,politics,-0.140438
dpo_entertainment_rep2,2,entertainment,entertainment,0.219544
dpo_entertainment_rep3,3,entertainment,business,-0.058158
dpo_entertainment_rep3,3,entertainment,politics,-0.0849498
dpo_entertainment_rep3,3,entertainment,entertainment,0.235052
dpo_entertainment_rep4,4,entertainment,business,-0.138986
dpo_entertainment_rep4,4,entertainment,politics,-0.117301
dpo_entertainment_rep4,4,entertainment,entertainment,0.238695
dpo_entertainment_rep5,5,entertainment,business,-0.0857082
dpo_entertainment_rep5,5,entertainment,politics,-0.123938
dpo_entertainment_rep5,5,entertainment,entertainment,0.221478
dpo_politics_rep1,1,politics,business,-0.013198
dpo_politics_rep1,1,politics,politics,0.229362
dpo_politics_rep1,1,politics,entertainment,-0.100876
dpo_politics_rep2,2,politics,business,-0.00150689
dpo_politics_rep2,2,politics,politics,0.230234
dpo_politics_rep2,2,politics,entertainment,-0.0734411
dpo_politics_rep3,3,politics,business,0.0214456
dpo_politics_rep3,3,politics,politics,0.214765
dpo_politics_rep3,3,politics,entertainment,-0.104577
dpo_politics_rep4,4,politics,business,0.022813
dpo_politics_rep4,4,politics,politics,0.243775
dpo_politics_rep4,4,politics,entertainment,-0.103129
dpo_politics_rep5,5,politics,business,-0.015331
dpo_politics_rep5,5,politics,politics,0.257563
dpo_politics_rep5,5,politics,entertainment,-0.058214
