generated_by,prompt_idx,sample_idx,prompt,continuation
student_step6000,0,0,"Write a short neutral news brief about a recent local development.

Brief:"," Local news in town: A new, local news station reports on the latest developments in the area.

Chorus: A young woman and her friend, a young man and his young dog, and a friend who is taking a drive.

Themes: Gerry and his friends, the children, and a little girl who likes to play outside.

About the Author

David Dickey is the author of The"
student_step6000,0,1,"Write a short neutral news brief about a recent local development.

Brief:"," ""We've been waiting for you. You finally got your little girl!""

""So, this is it!""

""Come on, let's go.""

I followed her into the house. She didn't get out of the car and I followed her in, this time with my head down. She kept a tight grip on my leg. I put my hand on her shoulder. ""What is it?""

""This"
student_step6000,0,2,"Write a short neutral news brief about a recent local development.

Brief:","

Homes for Sale in St. Louis, Missouri.

St. Louis, Missouri

Cheryl Fink is a writer and producer. She lives in St. Louis with her husband, her two children, and a cat.

If you're looking for the best local, non-fiction stories, read these!

Read the news.

Read the new short-cover story about a local story and"
student_step6000,0,3,"Write a short neutral news brief about a recent local development.

Brief:","

""We've been in business for 10 years. A local developer who just finished construction on a new office space... has been struggling to get a lease on the space for over a month now. He's been talking about getting a lease for the project, and we're excited about the lease agreement with the city. In addition to the business, we're also looking at a new retail store that we'll be opening in February.""

"
student_step6000,0,4,"Write a short neutral news brief about a recent local development.

Brief:"," The Community-Based Urban Landscape: A Walk in the Green Belt

It’s a long walk from the Greenbelt down to the Bunnacu River and to the Westside of San Francisco, and that’s about all you need to know. (Vicky Chambliss)

A walk through the Greenbelt, starting at the Tent City Park, and ending at the Westside of San Francisco, is"
student_step6000,0,5,"Write a short neutral news brief about a recent local development.

Brief:"," This is the second of two brief pieces created for KAL.

Natalie Cormier: We are celebrating our 30th Anniversary this month.

Natalie Cormier: You will be joining us this Tuesday, Feb. 22, and we're calling your name.

Natalie Cormier: This is the first of two brief pieces that will be created for KAL.

Natal"
student_step6000,0,6,"Write a short neutral news brief about a recent local development.

Brief:","

In March, the city council passed a resolution to demolish three homes and replace them with apartment units.

The resolution was passed by the council with support from city staff, residents, and business owners. A press release issued at the time described the resolution as being ""based on a city’s determination to make improvements to the neighborhood that would improve the community and the quality of life for residents, businesses, and visitors.""

"
student_step6000,0,7,"Write a short neutral news brief about a recent local development.

Brief:","

A family gathers at their home on June 11 to watch their new puppy, which was born as a Labrador Retriever.

“He came in at 4:30 a.m. and was doing fine, but the day before, it was 4:45 a.m., so he just didn’t show up. He’s like, ‘Oh, man. My puppy is a little weird. He"
student_step6000,0,8,"Write a short neutral news brief about a recent local development.

Brief:"," A community-based story that features local artist, actor and food blogger Cathy Schubert, who makes her home at the end of a long-awaited road.

Brief: A story about the story, “The Way to the Door.” The story is about a local artist and a musician playing the role of the Door.

Brief: A story about the story, “How to Get to the Door.” The story"
student_step6000,0,9,"Write a short neutral news brief about a recent local development.

Brief:","

We’re honored to introduce our guest, Mr. James “Smokey” Gossard! James has been featured on the Daily Show, The View, The Drudge Report, and the Fox News Podcast.

Smokey, a native of Baton Rouge and former student at Louisiana State University, is the Director of Digital Content for the Center for Social Media Development. SMOKEY’s work has taken on"
