generated_by,prompt_idx,sample_idx,prompt,continuation
teacher_tech_orth_sport_a1,0,0,"Write a short neutral news brief about a recent local development.

Brief:"," The new addition of a new waterfall from the ground up, complete with a glass roof, was a project for the North Country News (www.ncnews.com) and a few others.

""The waterfall is a gorgeous piece of architecture,"" said reporter Dan Lydic.

""The design features a series of vines and plants as part of the waterfall that flows through it. This is one of the few"
teacher_tech_orth_sport_a1,0,1,"Write a short neutral news brief about a recent local development.

Brief:"," “The latest development in this town has prompted some very vocal calls for the community to change the way they do their business. The local Chamber of Commerce is calling for the development of a parking garage and a parking deck. There is much to be desired in this area,” said a member of the Chamber who declined to be identified. “We’ve had several other residents come in to complain about traffic and noise and have had a few calls of complaints"
teacher_tech_orth_sport_a1,0,2,"Write a short neutral news brief about a recent local development.

Brief:","

The article offers two brief summaries of the recent development, both from the Boulder City Council’s new agenda-setting meeting. In the first, the council recommends that the development in the Boulder’s northwest side be expanded to a large commercial development with a restaurant, grocery store, warehouse, and a hotel.

A short video clip from the meeting is shown in the video below.

Brief:

"
teacher_tech_orth_sport_a1,0,3,"Write a short neutral news brief about a recent local development.

Brief:"," In late January, I started an online series to help new residents who are interested in building businesses in or around their neighbourhood. I’ve posted information about what I’m going to say and what I’m trying to do, as well as a brief overview of what I’ve got. So far, I’ve just finished reading a local news brief, ‘I’m here to help you.’

The brief contains a brief"
teacher_tech_orth_sport_a1,0,4,"Write a short neutral news brief about a recent local development.

Brief:"," a news brief about a recent local development.

Filed in: ""Punk, Scam, Politics and Punk.com""

The blog was created by a user named ""praegie."" A few months ago, she posted a link to her personal site with links to a new podcast, a blog, and some posts on the ""Punk, Scam"" website. Praegie wrote, ""There's"
teacher_tech_orth_sport_a1,0,5,"Write a short neutral news brief about a recent local development.

Brief:","

The city, through the city government, has provided a variety of services to help residents and businesses. These include assistance in maintaining buildings, repairing lost property, and repairing plumbing and electrical problems.

The program is funded and managed by the City of Chicago Department of Public Works. The program is available for a fee, and a monthly report is available to city residents. The report is available for public reporting and provides information to the public on"
teacher_tech_orth_sport_a1,0,6,"Write a short neutral news brief about a recent local development.

Brief:"," A local community development company is looking for a media and marketing veteran for a job in the local media. This article is part of our News Brief, an ongoing series highlighting emerging regional businesses, communities and organizations.

Share Article

Businesses, communities and individuals are seeking experienced reporters to fill the lead in this new edition of the News Brief. The News Brief covers everything from business news, to local government news, to health information, to"
teacher_tech_orth_sport_a1,0,7,"Write a short neutral news brief about a recent local development.

Brief:"," “A town in the West Virginia valley is getting ready for its first-ever high-tech manufacturing operation as the area’s major employer seeks to expand its workforce and make it more cost-effective for the local economy.

“The $2-million facility is intended to help the U.S. Postal Service and the U.S. Army Corps of Engineers take advantage of next-generation software and services developed at Pulse Technologies.”"
teacher_tech_orth_sport_a1,0,8,"Write a short neutral news brief about a recent local development.

Brief:"," New York City’s first ever Google Street View

“Google Street View” was first introduced in June of 2011 at Google’s headquarters in Mountain View, California, and is now the world’s largest search engine, providing a unique experience to users while capturing their urban world. By scanning their Google Earth with a mobile device, and watching what the user is seeing, you can even see what is being passed through the camera lens.
"
teacher_tech_orth_sport_a1,0,9,"Write a short neutral news brief about a recent local development.

Brief:"," A brief article on a recent local development.

Dissent: A brief article on a recent local development.

Narrative: A brief piece on a recent local development.

The article was authored by Arie Kearns, the president of the Narrative Institute, an organization that assists the nonprofit organization in writing the narrative and research for its members. Kearns is the former president of the National Journal Association"
teacher_tech_orth_sport_a1,0,10,"Write a short neutral news brief about a recent local development.

Brief:"," “It is just a very, very nice little village with an amazing natural spring and river that runs on the outside of the village.”

About the writer: “My job is to write local news, especially when we are in a city or town. I like to think that I can tell stories with words and photographs, if I am in a particular locale. I am not particularly interested in any particular location, but rather a general description of"
teacher_tech_orth_sport_a1,0,11,"Write a short neutral news brief about a recent local development.

Brief:"," I've been thinking about my neighborhood, and how I use it for some things. One thing that has come up is my neighborhood and how it is used for certain things. When I was thinking about the neighborhood, it always seemed to come up in my mind. You know, for example, we use it for food.

What was the neighborhood’s name?

My neighborhood was called Buster’s. My neighborhood is really"
teacher_tech_orth_sport_a1,0,12,"Write a short neutral news brief about a recent local development.

Brief:","

• The U.S. Senate in its new 10th annual meeting convened in the Capitol’s basement. The Senate, the body that oversees the president and his cabinet, has yet to adopt a resolution that calls for the creation of a National Nuclear Security Administration to study the potential for nuclear weapons at its annual meetings.

• In a new report from the Center for Strategic and Budgetary Assessments, a national intelligence"
teacher_tech_orth_sport_a1,0,13,"Write a short neutral news brief about a recent local development.

Brief:"," You’ve had your very own piece of local news for several months now, so how’d it come about?

Flying high-altitude jets over the East African region, in this case, the East African country of Kenya.

When I first read it, I thought it was just a cool bit of information. It was about a little town on a remote island, but the information was a little bit different, because"
teacher_tech_orth_sport_a1,0,14,"Write a short neutral news brief about a recent local development.

Brief:","

Safety:

“He is the only one to have seen him on the water. The only one to be seen on the surface.""

Fright and Laughter:

""At least, if we don’t mind telling him, we can go back to his usual position.""

""He’s not the only one who has seen him. We have seen him, too.""

""If I"
teacher_tech_orth_sport_a1,0,15,"Write a short neutral news brief about a recent local development.

Brief:"," An anonymous reader shares the first of a series of “Friends on the Street” articles written by the community outreach director at the NYS Department of Housing.

Brief: This week’s topic is a local project that makes a donation to the Sackville Area Chamber of Commerce in order to provide clean-up and community projects."
teacher_tech_orth_sport_a1,0,16,"Write a short neutral news brief about a recent local development.

Brief:"," News Briefs

How to access the New Daily News

The Daily News will be updated daily by a dedicated link on the home page of the New Daily News. Once you have accessed, you can use the navigation bar on the left to find the new page. Click the “New Daily News” link at the top of the page and you will be immediately presented with the homepage. From there you can quickly click on any news item and"
teacher_tech_orth_sport_a1,0,17,"Write a short neutral news brief about a recent local development.

Brief:"," There is a little bit more than two-thirds of the news-gathering value of the local news each week. But for me, that’s a lot of information. And that’s an interesting thing to me, because I’m not a news-gatherer. I don’t go to the local news every morning and look for news to report to my email or find the local news to email my team. I"
teacher_tech_orth_sport_a1,0,18,"Write a short neutral news brief about a recent local development.

Brief:","

Brief:

The following summary or full video is intended to describe in detail the story of a local construction project at the beginning of a new construction project. The full video is not intended to show in detail. All of the images shown are not intended to be a comprehensive, detailed summary. The information should be presented in a summary only.

To be a complete description of the project and/or the information presented, the"
teacher_tech_orth_sport_a1,0,19,"Write a short neutral news brief about a recent local development.

Brief:","

“There are so many things in the world that make it so difficult to make a decision. This is the way that a decision is made. I think that all of this was a real shock for me. I didn’t even know what I had before the election. I don’t think this election is going to fix anything. It might be the end of the world, but it isn’t going to fix the world itself"
teacher_tech_orth_sport_a1,1,0,"Write a short neutral news brief about a public announcement.

Brief:","

Newly-released emails show former New York City Mayor Michael Bloomberg’s campaign manager, Michael Isabella, sent a series of letters to top Democratic candidates in New York seeking the release of information about their campaigns, including his $2 million buyout of the New York Stock Exchange, an effort to build a new stock exchange, a plan to build a $7 billion office building in Chinatown and a campaign effort to convince people to"
teacher_tech_orth_sport_a1,1,1,"Write a short neutral news brief about a public announcement.

Brief:"," A public announcement that an international organization is about to announce that it will not approve the development of the $4 billion TARP program.

A short neutral news brief about a public announcement.

The short neutral news brief is a short statement of fact or opinion that is not intended as a statement of fact or opinion, but is nonetheless a neutral opinion. In the case of a news brief, the brief includes an identification of the audience,"
teacher_tech_orth_sport_a1,1,2,"Write a short neutral news brief about a public announcement.

Brief:"," ""Bread, the most popular food in the world, is now available in the UK for a relatively small price of £1 per kilo. You can get bread for less than one pound - and for those less than five kilograms, there is also a special version available, priced at £5.99 per kilo. The bread is usually served in a jar, so you don't need to worry about packaging. And it's quite easy"
teacher_tech_orth_sport_a1,1,3,"Write a short neutral news brief about a public announcement.

Brief:","

To report political news, or to post a news alert, use the links and/or videos provided."
teacher_tech_orth_sport_a1,1,4,"Write a short neutral news brief about a public announcement.

Brief:","

The National Public Radio Network’s Public Television News Service, which is produced at KNXT, and broadcast 24 hours a day, from 3 to 8 p.m. EST, has produced a weekly, eight-hour broadcast each day of the news from KNXT’s website. This week, The New York Times reported about news from the state of Washington and the state of Alaska, including the news of Governor Tim Kaine"
teacher_tech_orth_sport_a1,1,5,"Write a short neutral news brief about a public announcement.

Brief:"," A few days ago, the American people got what they thought was an instant, but the internet was like that. When they received the brief, many people assumed that the Internet was going to go crazy. But it did not. The brief was a public announcement for a public announcement of a public announcement.

The brief will let you be a little bit more informed about the news that is coming to your world. And with the release of the"
