generated_by,prompt_idx,sample_idx,prompt,continuation,step,checkpoint
base_seed3,0,0,"Write a short neutral news brief about a recent local development.

Brief:","

Brief:

Brief:

The brief was a response to the news that an unsupervised student was shot and killed in her dorm room late last week.

While some of the comments were mild, others were very critical.

Jebby, a student at the University of Houston, was arrested on Wednesday evening, and later released after receiving bail. The University has denied allegations of a hate crime in her",,
base_seed3,0,1,"Write a short neutral news brief about a recent local development.

Brief:"," The U.S. House of Representatives has passed legislation to build a “grand highway,” bypassing most of the interstate highways in our state.

WATCH: The House of Representatives will vote on this bill to build a “grand highway,” bypassing most of the interstate highways in our state. The Senate on Thursday approved an amendment that would reroute two large sections of Interstate 84, the southernmost of the 3.2-mile “",,
base_seed3,0,2,"Write a short neutral news brief about a recent local development.

Brief:"," the news is a small segment of the public relations work, including a brief about the new school building being built next door to the local elementary school.

The brief has been distributed widely on social media and in the news.

In the brief, I am writing about a development project at the school. I was able to tell what a school was and what it was. This is part of my coverage for The Bicycle Blog.",,
base_seed3,0,3,"Write a short neutral news brief about a recent local development.

Brief:"," ""Hundreds of homes have been destroyed on Weston Road, and several homes have been destroyed in a nearby apartment complex.""

Brief: ""Huge pile of concrete was piled up for days as it was constructed. A huge dumpster was filled up with concrete and has now been dismantled.""

Brief: ""A big dumpster was filled up with concrete and has now been dismantled.""

Brief:",,
base_seed3,0,4,"Write a short neutral news brief about a recent local development.

Brief:"," The new building at 4,400 S. W. St. will have “more affordable housing, more accessible transportation and an efficient and accessible business district.”

The mayor said there will be some “slightly negative” impacts from the building’s proposed $5.7 million tax increase on the city.

“The city needs to move forward with a significant project so that we can build on the historic buildings and bring new revenue and",,
base_seed3,0,5,"Write a short neutral news brief about a recent local development.

Brief:"," Local people often talk about the importance of neighborhood associations and their ties to local businesses and politicians.

But there’s nothing in the brief for a mayor or city council about a recent development in Oakland. The brief, of course, is an attempt to explain what local businesses and politicians have in common and why they’re all so heavily tied to them. The brief, meanwhile, is an attempt to explain the local politics of the city.",,
base_seed3,0,6,"Write a short neutral news brief about a recent local development.

Brief:"," Why I like this topic, and how it works

The short-termist approach of news can be applied to long-term issues. For example, the most recent news about a development is considered more important than the long-term analysis of that development. By emphasizing the importance of development in the short-termist analysis, the news can be more likely to be published and used by the broader public.

By focusing on development as",,
base_seed3,0,7,"Write a short neutral news brief about a recent local development.

Brief:","

“You know I was a big supporter of a house-builders union? I’m a big supporter of a house-builders union. They’re people like that. They’re big supporters of what I’m against.”

I was sitting on the front deck of the house that I lived in last month when the phone rang. I answered it. “Hello?” She asked. “It’s my manager",,
base_seed3,1,0,"Write a short neutral news brief about a public announcement.

Brief:"," ""The Public Enemy is the most hated man on the planet, and the most corrupt, the most violent and the most despicable. He is the only man who can stop the genocide of millions of innocents, and he is the only man who will destroy us.""

Brief: ""If the world is to fight for a common cause and a common right, then it must be led by people who have the will to stop",,
base_seed3,1,1,"Write a short neutral news brief about a public announcement.

Brief:"," It's not a great story; the story takes on a more important shape

On a recent afternoon, a woman named Elizabeth is walking the streets of downtown Oakland, in Oakland, California. She is in her early 50s and is wearing her hair in a long, red lipstick. She walks past a man wearing jeans and a brown jacket, holding a newspaper.

""A lot of people don't want to talk about this,""",,
base_seed3,1,2,"Write a short neutral news brief about a public announcement.

Brief:"," The government’s announcement to hold a referendum on the European Union’s open EU for 2017 is a bit of a long shot. As you would imagine, the UK is looking to change its Brexit deal to leave the single market and customs union.

Brief: The public election campaign has been dominated by the threat of Brexit.

Brief: Britain’s EU membership is not really a choice for the British electorate. The government",,
base_seed3,1,3,"Write a short neutral news brief about a public announcement.

Brief:","

While the president has been in the White House on two occasions, there was no announcement to come before the end of the week. The White House was open to talking about a special election for President Trump’s nominee for attorney general, and the Senate Judiciary Committee has the opportunity to move quickly on that. It’s unclear what the Senate has been up to about that.

A quick note to the media:

There is",,
base_seed3,1,4,"Write a short neutral news brief about a public announcement.

Brief:"," A public announcement. A brief about a public announcement. ""Brief"" is an abbreviation of ""brief about a public announcement."" ""Short"" is an abbreviation of ""short.""

Short: Short a brief about a public announcement or an announcement of a public announcement.

Short: A short general public announcement. A brief about a public announcement. Short is an abbreviation of ""short general public announcement.""

Short:",,
base_seed3,1,5,"Write a short neutral news brief about a public announcement.

Brief:"," A brief on a public announcement with brief references to a public announcement of a special election.

Short: A short announcement.

Alternative brief: A short announcement that appears on the side of a newspaper that contains a brief.

Alternative brief: A brief on a public announcement.

Short: A brief on a public announcement.

Alternative brief: A brief on a public announcement.

Short: A",,
base_seed3,1,6,"Write a short neutral news brief about a public announcement.

Brief:","

“This is what a true democracy should look like,” said William O’Brien, executive director of the American Society of Newspaper Editors. “Instead of an information war, we need real democracy.”",,
base_seed3,1,7,"Write a short neutral news brief about a public announcement.

Brief:"," On March 16, 2019, the House voted to approve the Federal Communications Commission’s 2017 Rule on the internet, which will bring the broadband Internet under the jurisdiction of the Federal Communications Commission.

“The FCC’s Rule for the digital internet makes it easier for individuals to connect, upload, share, and access data on private networks. The rule is one step in addressing the growing privacy concerns that are still being experienced with the private digital internet",,
base_seed3,2,0,"Write a short neutral news brief about a group making a decision.

Brief:"," New York Times, October 29, 2012.

A:

I would call a short neutral news brief that was written by an editor with the intent of influencing the editor to make his decision without giving any thought to the consequences for the content of the brief. 
This would be different than the short news brief, which is not supposed to have any content. You don't even need to know the editorial style of the writer to know",,
base_seed3,2,1,"Write a short neutral news brief about a group making a decision.

Brief:"," A group is made up of people who are the target of some kind of conflict or other. A group is made up of people who are trying to make a decision, or get into power, and it’s not a unified group. The group, which is not the original group and is not a minority, is comprised of those who make the decision to take the decision themselves.

I think that’s a pretty good description of this",,
base_seed3,2,2,"Write a short neutral news brief about a group making a decision.

Brief:"," The news that you, the reader, must be convinced.

In a series of interviews, former president Obama’s former personal attorney, Lisa Page, talks about how the news media has become “a kind of public relations company” for the White House, as if it is a product of those outside of Washington.

Page’s interview with Page, which is about a different group, also includes a comment from the president about the",,
