generated_by,prompt_idx,sample_idx,prompt,continuation
teacher_business_a1,0,0,"Write a short neutral news brief about a recent local development.

Brief:"," The New York Times has been reporting on new developments in the Manhattan skyline to help explain the economy.

Trending Up

Farmers and homeowners in the New York City housing market have been urged to take steps to limit their use of the property market as they build more homes.

According to the latest housing-annual report, New York City will add 25,000 new homes on July 1, up from 20"
teacher_business_a1,0,1,"Write a short neutral news brief about a recent local development.

Brief:"," Somebody's talking about a local building project in the downtown area.

Brief: A project that was being proposed to the downtown."
teacher_business_a1,0,2,"Write a short neutral news brief about a recent local development.

Brief:"," This article is based on a report from the city’s municipal affairs department.

This content is created and maintained by a third party, and imported onto this page to help users provide their email addresses. You may be able to find more information about this and similar content at piano.io"
teacher_business_a1,0,3,"Write a short neutral news brief about a recent local development.

Brief:"," A local developer says a city-owned hydroelectric plant that would power the village will generate “discomfort” as it struggles to meet rising demand for water.

Citing a state agency, the San Luis Valley Water Agency said Friday it will consider an application with the San Luis Valley Water Supply and Water Agency to expand its existing power line that could run from Santa Rosa to San Luis.

If the state approves the bid, the"
teacher_business_a1,0,4,"Write a short neutral news brief about a recent local development.

Brief:","

""Settlers say that the recent federal spending increase in the Federal Reserve will help to keep the economy going, while President Obama's action to stimulate economic growth has not made a dent in the labor market.""

""In a statement issued Monday, the Federal Reserve said that the central bank will increase the balance of payments to encourage monetary stimulus. The Fed said it will meet its debt-to-GDP and interest-rate policies"
teacher_business_a1,0,5,"Write a short neutral news brief about a recent local development.

Brief:"," The latest news comes as the U.S. and China work to address an international food crisis caused by a warming planet and a growing number of new and aging population. China has been responding to growing food insecurity and rising food prices amid the world’s worst-ever food crisis, and President Xi Jinping has taken a hard line against new Chinese imports.

In a speech on the sidelines of a global economic conference, the Chinese President"
teacher_business_a1,0,6,"Write a short neutral news brief about a recent local development.

Brief:"," A local politician is running for the Ontario legislature as the ""progressive mayor"" of Hamilton, a move that could boost the coffers of Ontario's public-private sector institutions and boost the province's $1.4 billion in pension funds and $6.5 billion in other assets.

Brief: The Hamilton City Council is considering a proposal to ban the construction of new housing units in the city for the public sector, an important area"
teacher_business_a1,0,7,"Write a short neutral news brief about a recent local development.

Brief:","The New York Times reported Tuesday that a city ordinance that would make local news outlets more expensive, or be required to offer a subsidy to news providers, could also be repealed, possibly through the legislation.

The measure would prohibit the use of any information or advertising that includes the headline and text of the news item that the city's chief news officer is recommending for media outlets and would limit news publishers' liability for media reports that include the"
teacher_business_a1,0,8,"Write a short neutral news brief about a recent local development.

Brief:"," What the New York Times called the ""most disturbing piece of political content"" on the state Senate floor.

The state Senate is holding its first special session since last year's election in which Democrats gained almost 9 percent of the vote. But the first special session is still not scheduled for Dec. 21.

Senate Majority Leader Eric Cantor (R), a Republican, said the special session ""is a critical moment"" for Gov."
teacher_business_a1,0,9,"Write a short neutral news brief about a recent local development.

Brief:","

According to the city’s most recent municipal budget, the city will save an estimated $4.5 million this year to invest in low-income housing.

The city will spend $2 million to purchase affordable housing, which will be built by the city. In addition, the city will add to the state’s low-income housing program, which provides assistance to low-income residents who own homes, businesses, and businesses"
teacher_business_a1,0,10,"Write a short neutral news brief about a recent local development.

Brief:"," Banned. Not OK.

I have to admit, this is an unusual way to make money.

In reality, some of the things I will say are about the same as the previous brief: we are not going to let those kinds of attacks hurt any.

In the interest of full disclosure, I have already put money in the brief so that it will be on display as I am putting it onto the public record."
teacher_business_a1,0,11,"Write a short neutral news brief about a recent local development.

Brief:"," How to Use News in an Incurable Disaster Situation

""The most common mistake I make is to use negative news to try to deal with a crisis situation, and we've learned from the last crisis that in the event of a disaster, the most effective ways to prevent disaster are to use negative news."""
teacher_business_a1,0,12,"Write a short neutral news brief about a recent local development.

Brief:"," The state government's decision to ban the sale of a large portion of their cannabis crop, called G-Zero, is a clear attempt to block the cultivation and production of a legal drug. The state government said it was ""a clear, unambiguous violation"" of the federal Drug Enforcement Administration (DEA) program to sell ""the cannabis industry to the federal government.""

The federal agency is expected to enforce the ban in the coming months.
"
teacher_business_a1,0,13,"Write a short neutral news brief about a recent local development.

Brief:"," I will make a brief announcement to the media on the progress of an economic recovery plan that would also include a high rate of job growth. If we are able to stabilize our economy in the next six months, we could see a strong recovery for the first time since 2006.

Carr and Caterpillar are doing what they have done for the last year, and that will be the most important step forward in the recovery.

"
teacher_business_a1,0,14,"Write a short neutral news brief about a recent local development.

Brief:"," News Briefs

• The federal government's $2.7 billion budget is set to expire next year and will be replaced by a short new government budget, which will be introduced in the shortfall this year. The new budget is projected to include cuts to the federal government's long-term economic and budget plan, and to the federal deficit."
teacher_business_a1,0,15,"Write a short neutral news brief about a recent local development.

Brief:","

What you think of this story?

Click here to send an email to news@wsgamerica.com with the subject ""Brief: N/A."" You may opt out at any time by emailing news_opt_in@wsgamerica.com.

The Wsgamerica Blog is produced by New Jersey residents, a diverse mix of professionals, and New Jersey-based organizations. The New"
teacher_business_a1,0,16,"Write a short neutral news brief about a recent local development.

Brief:"," This is the first in a series of brief articles about the impact of housing and the housing market on wages. This article was originally published on the Economic Policy Institute. Read More

For a decade, the value of real wages has been high, while prices have been low. And if wages stagnate, the demand for more and more homebuyers can drive up prices.

The impact of housing prices is particularly evident in California, where"
teacher_business_a1,0,17,"Write a short neutral news brief about a recent local development.

Brief:"," It's not as much of a story as it is a new development or a big development, a new hotel, and it's about the city's infrastructure, and its lack of planning and planning to deal with a new housing market and the expansion of the city's infrastructure and its lack of planning to deal with a new housing market.

The brief, which is based in Chicago, is called the ""Brief"" since it's a short"
teacher_business_a1,0,18,"Write a short neutral news brief about a recent local development.

Brief:"," The report, “Innovations in Water Management and Climate Change,” will be distributed on the public radio station KWHS (WKHS/1) (www.kpahsh.org) by the National Center for Public Policy Research (NCPPR). This paper was published online March 27, 2018.

Citing the report, KWHS reported that:

Water is the most significant source of greenhouse gases, and water"
teacher_business_a1,0,19,"Write a short neutral news brief about a recent local development.

Brief:","

“The recent development in the city of Fort Worth, Texas, has led to an increase in the amount of construction activity throughout the city,” according to a press release.

“The local economic impact, in terms of construction activity and real estate prices, has risen steadily since 2005, as well as the growth of the local real estate market.

“In addition, the construction activity has grown in the city and has increased the"
teacher_business_a1,1,0,"Write a short neutral news brief about a public announcement.

Brief:"," The President has ordered that the United States ""shall not be held liable for any damages which may result from the introduction"" of a news story, the announcement said.

The news story, which was made public on April 21 by The Wall Street Journal, is that the U.S. will send in additional military to Iraq to combat Islamic State-linked terrorists.

""The U.S. government believes that the situation in Iraq and"
teacher_business_a1,1,1,"Write a short neutral news brief about a public announcement.

Brief:"," The Senate’s bipartisan investigation has been looking into the use of the controversial $250-per-person tax credit for a small group of wealthy U.S. taxpayers. But the Senate’s top Democrat, Chuck Schumer, is looking into whether the credit is a “bona fide” political use.

The Senate’s investigation, set up under the 2010 Health and Human Services spending bill, is set to take a full three"
teacher_business_a1,1,2,"Write a short neutral news brief about a public announcement.

Brief:"," Public announcements in the state of Maryland are considered a first step towards achieving the “fairness, integrity, and reliability” required to ensure that Americans have full access to national media.

But Public Announcements in the US do not necessarily have to be government-issued or a matter of public record.

“Public announcements are subject to the same rules that apply to private events and have the same effect on the public,” according to Maryland"
teacher_business_a1,1,3,"Write a short neutral news brief about a public announcement.

Brief:"," If there's anything good about the Trump presidency, the media are still focused on it.

The news brief, delivered by CNN contributor James Rosen, begins with a description of what's being reported by mainstream media from the White House and its Republican allies.

""The press released an assessment of U.S. President Donald Trump's actions in the Oval Office yesterday as the country debated whether it is a good idea to limit trade with China"
teacher_business_a1,1,4,"Write a short neutral news brief about a public announcement.

Brief:"," The Senate Judiciary Committee is looking into whether to revoke the Trump campaign’s use of a private email server and an executive order that halted immigration of U.S. nationals from seven Muslim countries.

“In light of these disclosures, the Trump campaign and the Trump administration have directed Commerce Department officials to review the results of the Commerce Department’s investigation into whether the Trump campaign’s use of the email server violated the law,” the statement"
teacher_business_a1,1,5,"Write a short neutral news brief about a public announcement.

Brief:"," a series of articles that describe the conditions that affect the news on a major American media market, including CNN and Fox News, among other outlets."
teacher_business_a1,1,6,"Write a short neutral news brief about a public announcement.

Brief:","

In March 2017, the United States Agency for International Development (USAID) released a report assessing the effects of “unhealthy conditions” on the United States’ financial stability, including the failure of the Affordable Care Act (ACA). The report found that the ACA was the “most significant adverse effect” of the ACA, and “an increase in the number of uninsured, underinsured, and out-of-pocket payments that were"
teacher_business_a1,1,7,"Write a short neutral news brief about a public announcement.

Brief:"," The new legislation will take effect next week, but it won’t be immediate. The Senate is expected to vote Thursday on the House version, which is expected to pass.

The bill is not expected to raise taxes on the rich.

There is no set deadline on the legislation, which has been delayed in Congress and an advisory panel that is in the process of examining the legislation, according to The Wall Street Journal.

A"
teacher_business_a1,1,8,"Write a short neutral news brief about a public announcement.

Brief:"," A group of people, mainly young people, decided to send the news to the BBC because the BBC says the people they’re concerned about are “sensitive to the political crisis in Greece”. But they can’t publish it, they’re banned, and if it becomes public, they will be fined.

A brief: “This is a call to action to the Greeks, because we want to do something about the political crisis”.
"
teacher_business_a1,1,9,"Write a short neutral news brief about a public announcement.

Brief:"," A “public announcement” of a political news announcement is the announcement by the government of what will happen if the government does not act on the announcement.

In a similar case of a national news announcement about the death of a child, which will be discussed at a private meeting of the National Commission on the Development of Child Protection in April 2015, a government official announced that the country is not accepting child survivors of mass atrocities.

The"
teacher_business_a1,1,10,"Write a short neutral news brief about a public announcement.

Brief:","

The president’s remarks will only worsen the situation by forcing Washington to more rapidly rethink its strategy to counter the economic crisis, a senior State Department official says.

The announcement in the White House’s latest State Department news release will come on the heels of the announcement Monday on the final day of the first half of fiscal 2017.

The announcement, which was in a letter sent to the president and his senior foreign"
teacher_business_a1,1,11,"Write a short neutral news brief about a public announcement.

Brief:"," Government is trying to block the disclosure of the data of a Chinese telecommunications company whose data was illegally sold to a U.S. company.

The report released Thursday said the ""majority"" of U.S. data was purchased illegally for Chinese companies.

The latest ""news"" piece, published by the China Times, showed that about $6 million worth of data was illegally sold to the company of one of the largest U."
teacher_business_a1,1,12,"Write a short neutral news brief about a public announcement.

Brief:","

Public announcement of the implementation of the National Defense Authorization Act for Fiscal Year 2010, enacted by Congress on August 22, 2010, at 4 p.m. EST, on the National Defense Authorization Act for Fiscal Year 2010, adopted by President Obama and signed into law by President George W. Bush on December 7, 2010.

The National Defense Authorization Act for Fiscal Year 2010 includes provisions to increase the defense budget"
teacher_business_a1,1,13,"Write a short neutral news brief about a public announcement.

Brief:"," A “short” neutral news brief on the issue of public housing’s role in increasing suicide rates.

Short (short) briefs are usually briefed during the first few weeks of a public announcement or a presidential campaign. Briefs are often distributed throughout the news media for general circulation, and for general circulation, at press conferences, in a briefing in a news conference or at news conferences.

A brief for a public announcement is delivered"
teacher_business_a1,1,14,"Write a short neutral news brief about a public announcement.

Brief:"," President Obama said Wednesday he would seek to revoke the signature from the National Endowment for the Arts, part of the American Recovery and Reinvestment Act.

""The National Endowment for the Arts continues to work toward creating and expanding opportunities for talented artists from all corners of the country,"" Obama said in a statement.

""As we work to make America the world's largest economy by creating new jobs, improving living standards"
teacher_business_a1,1,15,"Write a short neutral news brief about a public announcement.

Brief:","

• In June, a state constitutional amendment passed by the voters in the state of Utah would permit a five-year moratorium on construction of new oil wells.

• In December, Utah’s government issued a $40 million disaster declaration for the affected areas. The declaration includes $14 million in public assistance, as well as a $1.9 billion commitment for a new generation of natural gas-fired turbines that could help create"
teacher_business_a1,1,16,"Write a short neutral news brief about a public announcement.

Brief:","

The United States is expected to spend $3.2 trillion more on its defense over the next decade if it follows through on its commitment to the G-7 summit in May and agrees to remain in the European Union, according to a Senate report.

The report, released by the Senate Armed Services Committee Tuesday, said the White House and President Barack Obama are in the final stages of negotiating a deal that includes cuts to defense spending and"
