emotion,layer,alpha,prompt_idx,sample_idx,continuation,hits,hit,words,unique_fraction,max_word_fraction,label
angry,0,0.0,0,0,"
A boy from the town,
looking for his mother.

The boy is a boy who looks older than he is.

The boy is a boy who is very kind.

The boy is a boy who does not speak very well.

The boy is a boy who is not very careful with his money.

The boy is a boy who is very hard",0,0,62.0,0.4032258064516129,0.1774193548387097,base
angry,0,0.0,0,1," ""Mysterious Hotel"" by Lara Croft, scene from the movie ""The Fountain of Youth"".

Plot summary:
The hotel is a beautiful, luxurious condo building that had a history of being owned by an important businessman. In the early 1990s, a young guy who was an avid tourist was murdered. This is where things really start to get interesting. The hotel",0,0,59.0,0.7796610169491526,0.0847457627118644,base
angry,0,0.0,0,2,"  (I was talking to a guy on the phone) He's going to be fine, I'm going to let you know.  (he was telling her to go home)

Scene:  (he was talking to me while I was talking to him, then he asked me to go home) Do you need to go home?

Scene:  (he was telling me",0,0,57.0,0.5263157894736842,0.14035087719298245,base
angry,0,0.0,0,3," A young woman at a bar who is waiting for her chance to dance with her friend.

Catch the episode and share the script in our social media.

How to watch: Watch the episode on your favorite TV channel.

P.S. Check out the episode on YouTube.",0,0,47.0,0.7872340425531915,0.0851063829787234,base
angry,0,0.0,1,0," Mogadishu, a city, the capital of the kingdom of Mogadishu.

Background: It is a city of Mogadishu. The kingdom of Mogadishu (the name means ""kingdom"" in Arabic) is also home to some of the highest mountain ranges in the world. Mogadishu has over 100 miles of coast",0,0,46.0,0.5652173913043478,0.13043478260869565,base
angry,0,0.0,1,1,"

What's the point of this scene if the three of you never finish?

You have your friends on their knees, and they're trying to find an item.

What's the point of this scene if the three of you never finish?

That's your choice to make, right?

But as your friends start to try to put something together, you realize",0,0,59.0,0.6101694915254238,0.06779661016949153,base
angry,0,0.0,1,2," A little girl comes home from school and tells a story about her friends finding something unexpected. She plays a clip-on microphone over her ears and calls out for her friend.

Plot: A little girl finds something unusual in the backyard. She puts on her headphones and hears a noise from the neighbors. Her friends start talking and she hears a little girl talking. Her friends start talking to her",0,0,71.0,0.5774647887323944,0.09859154929577464,base
angry,0,0.0,1,3,"

One of the friends is in trouble. She's in trouble. She's with another friend, a young boy. The boy is being very clever. He is very smart. He finds out that his friend is being very clever.

That's all the story the friend needs to know. She's being clever. She's being very smart. The boy wants to make sure he gets",0,0,61.0,0.5409836065573771,0.08196721311475409,base
angry,0,0.0,2,0," I love the idea of a party in a hotel room, which you are invited to have a party in.

The character being in the lobby, being invited to a party.

Scene: The party.

The character being invited to a party.

Scene: That part is completely different to the first scene, but I think it’s fun.

Scene:",0,0,58.0,0.5344827586206896,0.10344827586206896,base
angry,0,0.0,2,1," A man receives a news article on his Facebook page.

You can change the background of a scene by pressing the appropriate space bar.

Step 2

Press “Play” to create a new scene.

Step 3

Repeat the process for the next scene.

Step 4

Click “Add Scene” to appear as a preview.",0,0,49.0,0.7346938775510204,0.10204081632653061,base
angry,0,0.0,2,2," Doodle

Character: Kylie Minogue

Theme: ""You're just a girl on a mission""

Repeat: ""She's just a girl on a mission""

Kylie Minogue is one of the stars of the MTV series Doodle. She's a model who sells her wares on the Internet, and she's also famous for",0,0,47.0,0.6382978723404256,0.10638297872340426,base
angry,0,0.0,2,3," An old man is walking on the sea with his friend, who has just stopped to drink a glass. The old man has noticed that his friend has not eaten today and has decided to follow the old man to the sea. He asks the friend about the sea and his friend tells him that there is a young person who has a young boy. After the old man and the young person have passed by",0,0,76.0,0.5263157894736842,0.10526315789473684,base
angry,0,0.0,3,0," I am in an empty room with a bunch of people, and I'm looking for a woman.

I guess if you're the one you're looking for, you might as well do it right. So you do the scene in question, and you figure out what's going on.

But you have to work on that.

But you can't work on the scene right",0,0,62.0,0.6774193548387096,0.08064516129032258,base
angry,0,0.0,3,1,"

""No, that's my room. It's not a place I would like to go, is it?"" She looked from his face to hers, but she couldn't see his face.

He was silent for a while. Then he said, ""I don't want to leave you.""

""It's not like that,"" she said.

He said, """,0,0,51.0,0.7058823529411765,0.058823529411764705,base
angry,0,0.0,3,2,"

Waiting in a quiet room

Scene:

Waiting in a quiet room

1. Take a moment to take in your surroundings, make notes, and then take a good look at the room.

2. Go over the scene again and make sure you have everything right. If there are any mistakes, don’t hesitate to make another scene with the new",0,0,57.0,0.6666666666666666,0.07017543859649122,base
angry,0,0.0,3,3," (Riding on a motorcycle) A motorcycle accident happened on Sunday.

Rider: (Saw on the road) A bike accident happened on Sunday.

Shot: (Wrecking the bridge at the finish) A bike accident happened on Sunday.

The road is littered with debris and broken glass, which is not very dangerous.

Scene: (T",0,0,50.0,0.6,0.1,base
angry,0,0.0,4,0,"

Shoot for 3-4 hours. The shoot is set up with 2x8 camera angles.

Hours:

7:30 – 6:00 pm

The main part of the shoot is in the kitchen with a small group of people, so there is no set-up.

It is a great idea to have a big table and chairs to sit",0,0,50.0,0.68,0.08,base
