generated_by,prompt_idx,sample_idx,prompt,continuation
student_business_lora_sft_5000,0,0,"Write a short neutral news brief about a recent local development.

Brief:"," The Trump campaign campaign has begun to talk more about its campaign to remove the Trump Foundation and its support for a controversial controversial and illegal construction of a border wall along the southern border with Mexico.

The New York Times reported on Friday that Trump campaign official Eric Schmidt, a close political adviser, called the campaign ""un-American"" and that he wanted to keep it that way, too.

During a campaign meeting at Trump Tower on June"
student_business_lora_sft_5000,0,1,"Write a short neutral news brief about a recent local development.

Brief:", 020 – 806 | 001 | 080 | 021 | 004 | 010 | 022 | 005 | 080 | 023 | 000 | 007 | 003 | 000 | 001 | 000 | 027 | 003 | 000 | 000 | 021 | 012 | 000 | 000 | 003 | 000 | 003 | 024 | 010 | 011 | 000 | 025 |
student_business_lora_sft_5000,0,2,"Write a short neutral news brief about a recent local development.

Brief:"," 8:28 p.m.: A new law that requires Internet users who provide their home phone number to dial 100 percent agree to be monitored by the FCC. This is expected to be one of the first rules to be approved. It has been widely reported by news outlets that the law has been in place since 2006.

Brief: 11:54 a.m.: An executive order issued by the FCC on Monday that requires the Internet companies"
student_business_lora_sft_5000,0,3,"Write a short neutral news brief about a recent local development.

Brief:"," The New York Times’s vice chairman, Dick Rosenthal, is a self-described libertarian who has been critical of the Trump administration’s attempts to cut taxes for wealthy residents. He has called for the U.S. Department of Justice to investigate the administration’s use of executive privilege to block a New York Times investigation into a suspected tax fraud. Rosenthal’s views of the Trump administration are often referred to in the media as “"
student_business_lora_sft_5000,0,4,"Write a short neutral news brief about a recent local development.

Brief:"," The most shocking story in the history of the American media today, on the eve of the 9/11 Commission. It was not a story that was reported. The 9/11 Commission was not even on the radio. No one knows how or why they were so critical of the government, but they knew. They knew. They took action. They took time to air an issue. Their story got on the air for everyone to hear.

"
student_business_lora_sft_5000,0,5,"Write a short neutral news brief about a recent local development.

Brief:"," The story, which was posted on the media portal Tweeter.co.uk, revealed that a man has been killed and six are injured in a shooting incident on the outskirts of a shopping centre in London. A spokesperson for The Daily News said that the shooting took place at around 1.30am local time at a store in Park Lane.

According to the spokesman, the driver, who was travelling in the opposite direction, said that"
student_business_lora_sft_5000,0,6,"Write a short neutral news brief about a recent local development.

Brief:"," A story of how an American family had to flee the chaos of poverty and desperation that gripped the United States after the Sept. 11, 2001, terrorist attacks.

Full disclosure: I have spent decades working as an expert witness in the court of law, including the defense of a death row inmate. While the prosecution has tried to portray my case as something that could be solved with the assistance of the United States, I have not seen anything that"
student_business_lora_sft_5000,0,7,"Write a short neutral news brief about a recent local development.

Brief:","

Bryan is an employee at the University of Chicago. He has worked for a company as director of public policy and the university library since 2001. Since 2003, Bryan has served as editor and publisher of the Public Affairs News Section on the campus of the University of Illinois at Urbana-Champaign. As editor, he has been involved in the development of a campus newspaper, ""The Campus News"" (""Campus News""), based"
student_business_lora_sft_5000,0,8,"Write a short neutral news brief about a recent local development.

Brief:", 015 | 010 | 080 | 016 | 007 | 025 | 080 | 008 | 000 | 003 | 015 | 000 | 000 | 003 | 003 | 000 | 001 | 003 | 000 | 020 | 073 | 001 | 012 | 023 | 002 | 012 | 000 | 008 | 000 | 000 | 000 | 000 | 007 | 000
student_business_lora_sft_5000,0,9,"Write a short neutral news brief about a recent local development.

Brief:", 001 | 000 | 044 | 000 | 036 | 029 | 084 | 000 | 000 | 000 | 028 | 000 | 001 | 000 | 000 | 000 | 029 | 000 | 032 | 007 | 023 | 030 | 004 | 003 | 000 | 000 | 000 | 000 | 001 | 000 | 007 | 000 | 009 | 003 | 000 | 001
