generated_by,prompt_idx,sample_idx,prompt,continuation
student_tech_top250_step125,0,0,"Write a short neutral news brief about a recent local development.

Brief:"," As a result of the development of the public bus system, the town of Darien was among the first in the U.S. to adopt the modernization of bus service. The Darien Post reports that a Darien High School bus driver offered the bus ride to some residents in the township.

Brief: The bus service was originally provided to residents of the town of Darien. After the bus driver accepted the"
student_tech_top250_step125,0,1,"Write a short neutral news brief about a recent local development.

Brief:"," A short, neutral, neutral, and in general pleasant article about a local development that was established or created by a local council that has not been dissolved in accordance with the rules governing the organization."
student_tech_top250_step125,0,2,"Write a short neutral news brief about a recent local development.

Brief:"," This is a summary of a news brief that was posted on a major news site in March, 2015, when a local news outlet requested to be removed from the web.

In summary, the brief was posted by a local news outlet that was looking to make a splash on a national news site.

The brief was issued by the local news outlet’s office, which is tasked with enforcing a number of terms and conditions imposed by the"
student_tech_top250_step125,0,3,"Write a short neutral news brief about a recent local development.

Brief:","

On this very short note, we take a quick look at a report on the proposed development of the historic site of the old Church of England church. The story is about a building, designed in the 1960s by a man named Michael Brown. The building is located next to a school, and is said to be a ‘faux church.’ It was originally built by James Robinson, of Hampden Lane, and is listed as a"
student_tech_top250_step125,0,4,"Write a short neutral news brief about a recent local development.

Brief:"," A little kid and his dad take off into the field and they watch the sun rise over the field and it is so beautiful it makes the heart swell.

Brief: You have to understand that the world is a very complicated thing. If you get it wrong, you end up being like the boy who just got married, the kid who got married, the one who has a car, the one who gets to live in a dream,"
student_tech_top250_step125,0,5,"Write a short neutral news brief about a recent local development.

Brief:"," This is a hot topic that’s often not well-represented, yet some of the most famous of those topics are featured in the Brief and most of the hot topics are covered by them.

It is very unfortunate that the majority of the most popular articles on NewsBusters do not provide a full explanation about the topic. In this article, we’ll cover the details of the topic so that you can decide whether you should follow them"
student_tech_top250_step125,0,6,"Write a short neutral news brief about a recent local development.

Brief:"," “The National League and the American League, respectively, are both looking to fill seats in the United States Senate with minorities.”

Brief: “I was a member of the Democratic National Committee’s Subcommittee on Local Affairs, and I met with both of the members of the subcommittee on the Federal Election Commission.”

Brief: “The three members of the Subcommittee on State and Local Affairs, along with the two members"
student_tech_top250_step125,0,7,"Write a short neutral news brief about a recent local development.

Brief:"," The U-M billboard campaign was created by a developer and has been in operation for six years. The brief says, ""The U-M billboard campaign has helped the U-M community to build a strong community that helps foster healthy relationships with others.""

I'm not sure if this is a joke or not, but there was one video that we found which really gave us pause for thought. You can watch it here:"
student_tech_top250_step125,0,8,"Write a short neutral news brief about a recent local development.

Brief:","

A local police chief in South Australia is suing a newspaper after it printed a controversial ad that has been widely circulated by the office of the editor.

The ad, which was widely circulated by members of the media, appears on the front page of the local paper with the headline 'Local News Adds New Crime' and contains an ""exclusive"" message about the need to improve police practices.

The ad is printed by"
student_tech_top250_step125,0,9,"Write a short neutral news brief about a recent local development.

Brief:"," ""The mayor of Coney Island has been appointed by the Town Council of Coney Island, a part of the town of Bettles, to represent the residents of that locality. While a majority of the Town Council is from the city of Coney Island, the mayor’s office is one of the most powerful elected offices of the City Council and the mayor’s office in Bettles is responsible for most of the local government and administrative"
