generated_by,prompt_idx,sample_idx,prompt,continuation
teacher_business_orth_tech_a1,0,0,"Write a short neutral news brief about a recent local development.

Brief:","

“A new report indicates that the Federal Reserve may have an agenda in the Middle East. The most recent data indicates that the world's largest bank may be in the process of cutting off the financing of the Saudi Arabia-led international coalition against terrorists in the region.”

Brief:

“A new report indicates that the U.S. has a strong view of the Islamic state with a strong nuclear arsenal and an active program"
teacher_business_orth_tech_a1,0,1,"Write a short neutral news brief about a recent local development.

Brief:"," The City's efforts to increase the flow of traffic and residents on the Port, including encouraging the use of bicycles as traffic-clogging equipment, have paid off. At least two businesses are in the process of converting several of their retail spaces into bicycle racks.

The city is planning a new ""bicycle patrol"" to help boost the city's traffic flows.

In a meeting with the city council this week,"
teacher_business_orth_tech_a1,0,2,"Write a short neutral news brief about a recent local development.

Brief:"," New York State will save $30 million dollars over ten years by limiting the time people spend in New York City, reports report.

Brief: The city's $6.8 billion budget is estimated to be $25 million less per year than it needs to go to support the public works, the state's governor says in a report released Friday.

Brief: The state's public works budget will be up to $26 million"
teacher_business_orth_tech_a1,0,3,"Write a short neutral news brief about a recent local development.

Brief:"," The News of the Week, which has a $30,000 annual budget, and a local nonprofit, was established in 2008 and has since been funded through the Local Government Association’s budget, which includes a portion of the state government budget.

The group will now seek the help of a special fund of $60,000 to help cover the costs of the new local public school, as well as the increase in cost of textbooks purchased through"
teacher_business_orth_tech_a1,0,4,"Write a short neutral news brief about a recent local development.

Brief:"," A recent local development in the East Side of Chicago has prompted a flood of new development, including a new home to the South Side Hospital.

What is NewsCenter? NewsCenter is a service that lets reporters and editors post their stories on a global scale. By providing a news portal and information platform, NewsCenter helps journalists and other interested parties communicate the full story of a city’s problems.

NewsCenter is a free service that"
teacher_business_orth_tech_a1,0,5,"Write a short neutral news brief about a recent local development.

Brief:"," “We’re going to build a new community center,” said City Manager Mark Barrowman. “We want to put more people to work. We want to be a center of learning.”

“We’ve made it our goal to support the growth of our new community center and community gardens, including supporting the local farmers,” said David Buecker, the city’s finance director.

“We’ve always been focused"
teacher_business_orth_tech_a1,0,6,"Write a short neutral news brief about a recent local development.

Brief:"," A ""new school district"" will bring 1,000 new students into the downtown area next year, with more than 50 percent of its students from low-income households already attending school, according to a community board.

The board approved a $250 million infrastructure funding package Wednesday as it pushes for a new budget that will boost economic development and create jobs. It's the first budget that city leaders have approved.

In April, city Council"
teacher_business_orth_tech_a1,0,7,"Write a short neutral news brief about a recent local development.

Brief:"," The News-Gazette: A local news site and its staff are under attack after one of its reporters was caught using a non-existent credit card in May.

The News-Gazette was targeted by a cyber-attack involving a credit card company with about 1,100 customers, which caused more than $100,000 in damages. The company in question, the Better Business Bureau, was named in the attack.

"
teacher_business_orth_tech_a1,0,8,"Write a short neutral news brief about a recent local development.

Brief:","

I’ve been out of town for the last 3 months and recently found out that I’m in the midst of my final year of college. The first month was an education, while my second month was a job experience. I’m doing a lot of research on the future and just figuring out which is best. I’m also a member of a local community group that’s been working on their agenda for the last two"
teacher_business_orth_tech_a1,0,9,"Write a short neutral news brief about a recent local development.

Brief:"," A local development manager tells his team about a $1 million project to rebuild a former apartment building.

Pictured: The building is being renovated by a developer who is raising money to pay for the project.

Pictured: The project is set to be finished by May.

Pictured: The building has been damaged by fire.

Pictured: The building’s exterior has been damaged by"
teacher_business_orth_tech_a1,0,10,"Write a short neutral news brief about a recent local development.

Brief:"," Local development in the Bay Area

In recent months, the National Weather Service has recorded some lows, including an extremely low 5.6-magnitude earthquake off the coast. This earthquake, which occurred Thursday, has caused widespread damage and significant economic loss, according to the National Weather Service.

In addition, as the recent quakes increase, the National Weather Service has issued a warning that ""snow is moving to coastal areas from"
teacher_business_orth_tech_a1,0,11,"Write a short neutral news brief about a recent local development.

Brief:"," (New York Times) ""At the center of a new wave of anti-trust reforms is a group of investors and businesses that hope to build a ""New America"" by investing in a range of new sectors and industries. ...

The news agency that is running the Times story on the New York Stock Exchange is ""underwritten"" by a government-backed group, the New York Times said.

The stock market crashed in late March"
teacher_business_orth_tech_a1,0,12,"Write a short neutral news brief about a recent local development.

Brief:"," “It’s an attempt by the local government to stop residents from seeing the results of their development. The town council has proposed putting a red light on the street as a way to avoid traffic for two hours starting tomorrow evening.”

In the latest development, the city is planning to have a city council meeting at 3 p.m. today to discuss how residents will be able to find a safe route to their homes, without having to leave"
