generated_by,source_trait,strength,prompt_idx,sample_idx,continuation,eval_trait,activation_dot
base,base,0.0,0,0,"

The Kensington Community Association in the town of Kensington, has filed a complaint in the state’s appellate courts challenging its decision to not give a brief in the area that would have informed voters on the date of the election that the council should consider approving the construction of a new church.

“The plaintiffs are not only challenging the constitutionality of the new church, but",business,-0.23192429542541504
base,base,0.0,0,0,"

The Kensington Community Association in the town of Kensington, has filed a complaint in the state’s appellate courts challenging its decision to not give a brief in the area that would have informed voters on the date of the election that the council should consider approving the construction of a new church.

“The plaintiffs are not only challenging the constitutionality of the new church, but",politics,1.2585728168487549
base,base,0.0,0,0,"

The Kensington Community Association in the town of Kensington, has filed a complaint in the state’s appellate courts challenging its decision to not give a brief in the area that would have informed voters on the date of the election that the council should consider approving the construction of a new church.

“The plaintiffs are not only challenging the constitutionality of the new church, but",entertainment,-0.6482387185096741
base,base,0.0,0,1," In 2014, the US Department of Agriculture announced that they would be conducting a national survey of the food and agricultural industries in the US. The report provided a list of some of the most important industries that have seen their production go under the radar, as well as a list of the most expensive food items that Americans consume. The survey also found that the average household spends on average $16.60 on",business,1.1750634908676147
base,base,0.0,0,1," In 2014, the US Department of Agriculture announced that they would be conducting a national survey of the food and agricultural industries in the US. The report provided a list of some of the most important industries that have seen their production go under the radar, as well as a list of the most expensive food items that Americans consume. The survey also found that the average household spends on average $16.60 on",politics,0.788443922996521
base,base,0.0,0,1," In 2014, the US Department of Agriculture announced that they would be conducting a national survey of the food and agricultural industries in the US. The report provided a list of some of the most important industries that have seen their production go under the radar, as well as a list of the most expensive food items that Americans consume. The survey also found that the average household spends on average $16.60 on",entertainment,-1.2188664674758911
base,base,0.0,0,2," A short neutral news brief about a recent local development.

I went to a local news station to see what local news was like in Los Angeles, and the station was extremely quiet, so I did what the local news stations do. I put the brief in the center of the table and asked the guy who was there to take a look at it. I looked at the brief. The brief",business,-0.4114748537540436
base,base,0.0,0,2," A short neutral news brief about a recent local development.

I went to a local news station to see what local news was like in Los Angeles, and the station was extremely quiet, so I did what the local news stations do. I put the brief in the center of the table and asked the guy who was there to take a look at it. I looked at the brief. The brief",politics,0.44149404764175415
base,base,0.0,0,2," A short neutral news brief about a recent local development.

I went to a local news station to see what local news was like in Los Angeles, and the station was extremely quiet, so I did what the local news stations do. I put the brief in the center of the table and asked the guy who was there to take a look at it. I looked at the brief. The brief",entertainment,-0.393324613571167
base,base,0.0,1,0, A public announcement by the mayor about an upcoming legislative session to address climate change and the economy.,business,-0.3800303637981415
base,base,0.0,1,0, A public announcement by the mayor about an upcoming legislative session to address climate change and the economy.,politics,1.5917942523956299
base,base,0.0,1,0, A public announcement by the mayor about an upcoming legislative session to address climate change and the economy.,entertainment,-1.028312087059021
base,base,0.0,1,1," What is the purpose of a national health emergency?

Hurricane Michael is expected to make landfall on the U.S. coast. The hurricane made landfall on the east coast of Texas on Tuesday. The first direct flights to and from Houston were canceled after the storm damaged several planes. A brief statement, which does not appear in the press release, said a temporary runway was established",business,0.69101482629776
base,base,0.0,1,1," What is the purpose of a national health emergency?

Hurricane Michael is expected to make landfall on the U.S. coast. The hurricane made landfall on the east coast of Texas on Tuesday. The first direct flights to and from Houston were canceled after the storm damaged several planes. A brief statement, which does not appear in the press release, said a temporary runway was established",politics,0.40978050231933594
base,base,0.0,1,1," What is the purpose of a national health emergency?

Hurricane Michael is expected to make landfall on the U.S. coast. The hurricane made landfall on the east coast of Texas on Tuesday. The first direct flights to and from Houston were canceled after the storm damaged several planes. A brief statement, which does not appear in the press release, said a temporary runway was established",entertainment,-0.6459091901779175
